sample_uid,sample_id,dataset_source,source_batch,source_condition,total_cells,condition_label
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,4490,FAP-TK PBS+DSS
FAPTK__D2,D2,FAPTK,M1,FAP-TK_PBS_DSS,1071,FAP-TK PBS+DSS
FAPTK__D3,D3,FAPTK,M1,FAP-TK_PBS_DSS,865,FAP-TK PBS+DSS
FAPTK__D4,D4,FAPTK,M1,FAP-TK_PBS_DSS,7124,FAP-TK PBS+DSS
FAPTK__D5,D5,FAPTK,M1,FAP-TK_PBS_DSS,5755,FAP-TK PBS+DSS
FAPTK__D6,D6,FAPTK,M1,FAP-TK_PBS_DSS,9660,FAP-TK PBS+DSS
FAPTK__FD2,FD2,FAPTK,M3,FAP-TK_GCV_DSS,965,FAP-TK GCV+DSS
FAPTK__FD3,FD3,FAPTK,M3,FAP-TK_GCV_DSS,8627,FAP-TK GCV+DSS
FAPTK__FD4,FD4,FAPTK,M3,FAP-TK_GCV_DSS,5313,FAP-TK GCV+DSS
FAPTK__FD5,FD5,FAPTK,M3,FAP-TK_GCV_DSS,21,FAP-TK GCV+DSS
FAPTK__FD6,FD6,FAPTK,M3,FAP-TK_GCV_DSS,338,FAP-TK GCV+DSS
FAPTK__FC2,FC2,FAPTK,M2,FAP-TK_PBS,205,FAP-TK PBS
FAPTK__FC3,FC3,FAPTK,M2,FAP-TK_PBS,685,FAP-TK PBS
FAPTK__FC4,FC4,FAPTK,M2,FAP-TK_PBS,153,FAP-TK PBS
FAPTK__FC5,FC5,FAPTK,M2,FAP-TK_PBS,1519,FAP-TK PBS
FAPTK__FC6,FC6,FAPTK,M2,FAP-TK_PBS,1219,FAP-TK PBS
