order,family_name,given_names,affiliations
1,Zhou,Yuxi,"Division of Gastroenterology and Hepatology, Mayo Clinic, Jacksonville, Florida, USA"
2,Canas,Jorge,"Division of Gastroenterology and Hepatology, Mayo Clinic, Jacksonville, Florida, USA"
3,Ye,Jiayu,"Division of Gastroenterology and Hepatology, Stanford University School of Medicine, Stanford, California, USA"
4,Hoang,Jacqueline N.,"Division of Gastroenterology and Hepatology, Stanford University School of Medicine, Stanford, California, USA"
5,Ferkel-Soltau,Sonia,"Division of Gastroenterology and Hepatology, Stanford University School of Medicine, Stanford, California, USA"
6,Holman,Derek R.,"Division of Gastroenterology and Hepatology, Stanford University School of Medicine, Stanford, California, USA"
7,Sojwal,Raoul,"Division of Gastroenterology and Hepatology, Stanford University School of Medicine, Stanford, California, USA"
8,Fardeen,Touran,"Division of Gastroenterology and Hepatology, Stanford University School of Medicine, Stanford, California, USA"
9,Vazques,Gustavo,"Department of Pathology, Stanford University School of Medicine, Stanford, California, USA"
10,Huang,Yuting,"Division of Gastroenterology and Hepatology, Mayo Clinic, Jacksonville, Florida, USA"
11,Peterson,Kathryn,"Division of Gastroenterology and Hepatology, Mayo Clinic, Jacksonville, Florida, USA"
12,Nolan,Gary,"Department of Pathology, Stanford University School of Medicine, Stanford, California, USA"
13,Sinha,Sidhartha,"Division of Gastroenterology and Hepatology, Stanford University School of Medicine, Stanford, California, USA"
14,Rogalla,Stephan,"Division of Gastroenterology and Hepatology, Stanford University School of Medicine, Stanford, California, USA"
15,Gubatan,John,"Division of Gastroenterology and Hepatology, Mayo Clinic, Jacksonville, Florida, USA; Division of Gastroenterology and Hepatology, Stanford University School of Medicine, Stanford, California, USA"
