path,column_position,column,observed_type,missing_values,nonmissing_values,first_nonmissing_example,definition,units
source_data/coculture_fluorescence/FACS_coculture_effects_figure3.csv,1,marker,text,0,5,OSM,Protein marker or assay channel as recorded,category
source_data/coculture_fluorescence/FACS_coculture_effects_figure3.csv,2,label,text,1,4,OSM,Source-defined field: label. Interpret with the file context and Methods; no unverified biological definition is assigned.,source-defined / see Methods
source_data/coculture_fluorescence/FACS_coculture_effects_figure3.csv,3,channel,text,0,5,R670-A,Source-defined field: channel. Interpret with the file context and Methods; no unverified biological definition is assigned.,source-defined / see Methods
source_data/coculture_fluorescence/FACS_coculture_effects_figure3.csv,4,metric,text,0,5,median_fi,Source-defined field: metric. Interpret with the file context and Methods; no unverified biological definition is assigned.,source-defined / see Methods
source_data/coculture_fluorescence/FACS_coculture_effects_figure3.csv,5,reference,text,0,5,N+IF,Source-defined field: reference. Interpret with the file context and Methods; no unverified biological definition is assigned.,source-defined / see Methods
source_data/coculture_fluorescence/FACS_coculture_effects_figure3.csv,6,treated,text,0,5,N+IF+ATN,Source-defined field: treated. Interpret with the file context and Methods; no unverified biological definition is assigned.,source-defined / see Methods
source_data/coculture_fluorescence/FACS_coculture_effects_figure3.csv,7,n_reference,numeric,0,5,6,Count of the source-defined unit indicated by the column name,count
source_data/coculture_fluorescence/FACS_coculture_effects_figure3.csv,8,n_treated,numeric,0,5,6,Count of the source-defined unit indicated by the column name,count
source_data/coculture_fluorescence/FACS_coculture_effects_figure3.csv,9,mean_reference,numeric,0,5,416.8611788384755,Source-defined field: mean_reference. Interpret with the file context and Methods; no unverified biological definition is assigned.,source-defined / see Methods
source_data/coculture_fluorescence/FACS_coculture_effects_figure3.csv,10,mean_treated,numeric,0,5,-78.64176657415148,Source-defined field: mean_treated. Interpret with the file context and Methods; no unverified biological definition is assigned.,source-defined / see Methods
source_data/coculture_fluorescence/FACS_coculture_effects_figure3.csv,11,difference,numeric,0,5,-495.50294541262696,Source-defined field: difference. Interpret with the file context and Methods; no unverified biological definition is assigned.,source-defined / see Methods
source_data/coculture_fluorescence/FACS_coculture_effects_figure3.csv,12,ci95_low,numeric,0,5,-669.5619767641323,Source-defined field: ci95_low. Interpret with the file context and Methods; no unverified biological definition is assigned.,source-defined / see Methods
source_data/coculture_fluorescence/FACS_coculture_effects_figure3.csv,13,ci95_high,numeric,0,5,-321.44391406112163,Source-defined field: ci95_high. Interpret with the file context and Methods; no unverified biological definition is assigned.,source-defined / see Methods
source_data/coculture_fluorescence/FACS_coculture_effects_figure3.csv,14,relative_change_percent,numeric,1,4,-55.60976850114882,Relative representation within the stated denominator,percent
source_data/coculture_fluorescence/FACS_coculture_effects_figure3.csv,15,p_exact,numeric,0,5,0.0021645021645021,P value for the source-defined test; adjustment only when identified in field name,dimensionless
source_data/coculture_fluorescence/FACS_coculture_effects_figure3.csv,16,allocations,numeric,0,5,924,Source-defined field: allocations. Interpret with the file context and Methods; no unverified biological definition is assigned.,source-defined / see Methods
source_data/coculture_fluorescence/FACS_coculture_effects_figure3.csv,17,p_holm_12,numeric,1,4,0.0259740259740259,P value for the source-defined test; adjustment only when identified in field name,dimensionless
source_data/coculture_fluorescence/FACS_coculture_effects_figure3.csv,18,p_holm_within_marker_3,numeric,1,4,0.0064935064935064,P value for the source-defined test; adjustment only when identified in field name,dimensionless
source_data/coculture_fluorescence/FACS_coculture_effects_figure3.csv,19,p_welch,numeric,4,1,0.0055497595292881,P value for the source-defined test; adjustment only when identified in field name,dimensionless
source_data/coculture_fluorescence/FACS_coculture_effects_figure3.csv,20,p_holm,numeric,4,1,0.0194805194805194,P value for the source-defined test; adjustment only when identified in field name,dimensionless
source_data/coculture_fluorescence/FACS_coculture_effects_figure3.csv,21,p_holm_5_figure3,numeric,0,5,0.0108225108225105,P value for the source-defined test; adjustment only when identified in field name,dimensionless
source_data/coculture_fluorescence/FACS_coculture_effects_figure3.csv,22,reference_sd,numeric,0,5,134.49476468935242,Source-defined field: reference_sd. Interpret with the file context and Methods; no unverified biological definition is assigned.,source-defined / see Methods
source_data/coculture_fluorescence/FACS_coculture_effects_figure3.csv,23,standardized_difference,numeric,0,5,-3.6841801727904326,Source-defined field: standardized_difference. Interpret with the file context and Methods; no unverified biological definition is assigned.,source-defined / see Methods
source_data/coculture_fluorescence/FACS_coculture_effects_figure3.csv,24,standardized_ci95_low,numeric,0,5,-4.978349739565288,Source-defined field: standardized_ci95_low. Interpret with the file context and Methods; no unverified biological definition is assigned.,source-defined / see Methods
source_data/coculture_fluorescence/FACS_coculture_effects_figure3.csv,25,standardized_ci95_high,numeric,0,5,-2.390010606015577,Source-defined field: standardized_ci95_high. Interpret with the file context and Methods; no unverified biological definition is assigned.,source-defined / see Methods
source_data/coculture_fluorescence/FACS_context_interactions.csv,1,marker,text,0,10,OSM,Protein marker or assay channel as recorded,category
source_data/coculture_fluorescence/FACS_context_interactions.csv,2,channel,text,0,10,R670-A,Source-defined field: channel. Interpret with the file context and Methods; no unverified biological definition is assigned.,source-defined / see Methods
source_data/coculture_fluorescence/FACS_context_interactions.csv,3,metric,text,0,10,median_fi,Source-defined field: metric. Interpret with the file context and Methods; no unverified biological definition is assigned.,source-defined / see Methods
source_data/coculture_fluorescence/FACS_context_interactions.csv,4,n_per_group,numeric,0,10,6,Count of the source-defined unit indicated by the column name,count
