marker,channel,metric,n_per_group,effect_in_neutrophils,effect_in_coculture,interaction,se,df,ci95_low,ci95_high,p,reference_sd,standardized_interaction,standardized_ci_low,standardized_ci_high,p_holm_5
OSM,R670-A,median_fi,6,-49.327751028395234,-495.50294541262696,-446.1751943842317,109.25379724788141,16.431620440683098,-677.2894340152977,-215.06095475316573,0.0008234545653569381,134.49476468935242,-3.3174168185265738,-5.035805189738489,-1.5990284473146597,0.0032938182614277523
CXCR4,V610-A,median_fi,6,1910.524512243794,-6260.255471041469,-8170.7799832852625,1328.7134445980437,5.557530632205423,-11485.813977989885,-4855.74598858064,0.0011274582933512183,2248.5353408049914,-3.6338232426269386,-5.108131399828425,-2.159515085425453,0.003382374880053655
MX1,B710-A,median_fi,6,2542.72054568186,4049.5599750078673,1506.839429326008,1121.6344065844698,15.670781787268513,-874.9855703785024,3888.6644290305185,0.1982643426618804,1334.7742521836012,1.1289095716829416,-0.6555307528198755,2.9133498961857587,0.1982643426618804
PADI4,B515-A,median_fi,6,2547.056277324593,14107.530851163237,11560.474573838645,2412.982486065876,13.765804824089361,6376.869404080987,16744.079743596303,0.0003010400232860048,2901.618894838835,3.984146434392705,2.1976936445456867,5.7705992242397235,0.001505200116430024
MPO,YG610-A,median_fi,6,-697.6215943941762,-2600.010954247332,-1902.3893598531558,700.1745863076133,8.66779583265457,-3495.5964148372946,-309.1823048690171,0.024525444426158383,1101.6406413633438,-1.7268692606500422,-3.1730822952494675,-0.28065622605061685,0.04905088885231677
OSM,R670-A,mean_fi,6,58.408570361405694,-473.19388378985184,-531.6024541512575,145.41339444302886,17.509984794683223,-837.7186339066025,-225.4862743959124,0.001878060670049316,152.52368228278252,-3.485376475278468,-5.4923840112478555,-1.4783689393090806,0.005634182010147948
CXCR4,V610-A,mean_fi,6,-3653.6525981247114,-7208.97892570275,-3555.3263275780373,3940.0416857972623,10.26057913619523,-12304.159149467092,5193.506494311017,0.3875593232675,6562.55966657543,-0.5417590861209387,-1.8749024427366199,0.7913842704947425,0.775118646535
MX1,B710-A,mean_fi,6,3128.3628631881265,4019.5931739409834,891.2303107528569,1178.851644897416,15.46454922198818,-1614.8744015859384,3397.335023091652,0.46100170030401466,1418.8259655426475,0.6281463212523002,-1.1381765211551578,2.394469163659758,0.775118646535
PADI4,B515-A,mean_fi,6,3153.4932585139086,14641.559254388369,11488.06599587446,2615.188887961178,13.54528863199699,5861.327136788752,17114.804854960166,0.0006614296707477575,3195.3075622934857,3.595292713427783,1.8343546035930531,5.3562308232625115,0.0031205052141075407
MPO,YG610-A,mean_fi,6,-725.828626160135,-6810.52271066342,-6084.694084503285,1089.8612991721127,7.598544622070945,-8621.219875541516,-3548.1682934650544,0.0006241010428215081,1780.5562701975166,-3.4172995183287926,-4.841868813606866,-1.9927302230507196,0.0031205052141075407
