marker,label,channel,sample,group,neutrophil_events,median_fi,mean_fi,q25,q75,negative_signal_percent,source_file,source_sha256,compensation_sha256,q25_mpo,q75_mpo
OSM,OSM,R670-A,P1-1,N,493,40.793237632266525,45.22893980985575,-56.76481552355881,135.7713503894233,39.55375253549696,jyye_john_coculture_fixed\samples_p1-1.fcs,6622cad09de2e17702355b585b129cd8339c193b7f865eece8180fecf13cd367,90424beaac125a11999b2efcf30ff270fa71e41dfa800c3dd81d150ea5693ac4,,
CXCR4,CXCR4,V610-A,P1-1,N,493,2760.557809080986,22573.247584875106,1807.239167593417,4124.130747446564,0.2028397565922921,jyye_john_coculture_fixed\samples_p1-1.fcs,6622cad09de2e17702355b585b129cd8339c193b7f865eece8180fecf13cd367,90424beaac125a11999b2efcf30ff270fa71e41dfa800c3dd81d150ea5693ac4,,
MX1,B710 (MX1 label; provisional),B710-A,P1-1,N,493,8149.846238662604,7849.759238860396,4941.53911577013,10544.91105167345,1.4198782961460443,jyye_john_coculture_fixed\samples_p1-1.fcs,6622cad09de2e17702355b585b129cd8339c193b7f865eece8180fecf13cd367,90424beaac125a11999b2efcf30ff270fa71e41dfa800c3dd81d150ea5693ac4,,
PADI4,B515 (PADI4 label; provisional),B515-A,P1-1,N,493,11223.068382381662,10762.690863784152,5848.11076408103,15308.667118746269,3.042596348884381,jyye_john_coculture_fixed\samples_p1-1.fcs,6622cad09de2e17702355b585b129cd8339c193b7f865eece8180fecf13cd367,90424beaac125a11999b2efcf30ff270fa71e41dfa800c3dd81d150ea5693ac4,,
OSM,OSM,R670-A,P1-10,N+FK,9159,-210.09061242439304,-236.58634115659203,-383.5189513048029,-61.31412556675102,83.36062888961678,jyye_john_coculture_fixed\samples_p1-10.fcs,1830b6a4e2ce8a353bff90d1a0ddd0ef7c68c5bf5f1382b23375e9dcbf0a87d4,90424beaac125a11999b2efcf30ff270fa71e41dfa800c3dd81d150ea5693ac4,,
CXCR4,CXCR4,V610-A,P1-10,N+FK,9159,3026.197548757857,3693.581552461624,2164.8490927711327,4081.788055785655,0.0,jyye_john_coculture_fixed\samples_p1-10.fcs,1830b6a4e2ce8a353bff90d1a0ddd0ef7c68c5bf5f1382b23375e9dcbf0a87d4,90424beaac125a11999b2efcf30ff270fa71e41dfa800c3dd81d150ea5693ac4,,
MX1,B710 (MX1 label; provisional),B710-A,P1-10,N+FK,9159,10568.023679490658,11149.376964555742,8120.104746514413,13381.576539825017,0.0436728900534992,jyye_john_coculture_fixed\samples_p1-10.fcs,1830b6a4e2ce8a353bff90d1a0ddd0ef7c68c5bf5f1382b23375e9dcbf0a87d4,90424beaac125a11999b2efcf30ff270fa71e41dfa800c3dd81d150ea5693ac4,,
PADI4,B515 (PADI4 label; provisional),B515-A,P1-10,N+FK,9159,19835.21802900316,20839.4720736696,15840.93962121349,24698.15129886625,0.0109182225133748,jyye_john_coculture_fixed\samples_p1-10.fcs,1830b6a4e2ce8a353bff90d1a0ddd0ef7c68c5bf5f1382b23375e9dcbf0a87d4,90424beaac125a11999b2efcf30ff270fa71e41dfa800c3dd81d150ea5693ac4,,
OSM,OSM,R670-A,P1-11,N+FK,821,33.183924882389945,-8.277675223843591,-138.84982915191267,151.03906137505024,44.45797807551767,jyye_john_coculture_fixed\samples_p1-11.fcs,254e5e2dcada88fd2ef2d93e247a048c53f2c7eaec7d9a53d269343b48479d29,90424beaac125a11999b2efcf30ff270fa71e41dfa800c3dd81d150ea5693ac4,,
CXCR4,CXCR4,V610-A,P1-11,N+FK,821,2550.8560058778503,9285.65799595652,1771.8327004552598,3782.2855501539216,0.0,jyye_john_coculture_fixed\samples_p1-11.fcs,254e5e2dcada88fd2ef2d93e247a048c53f2c7eaec7d9a53d269343b48479d29,90424beaac125a11999b2efcf30ff270fa71e41dfa800c3dd81d150ea5693ac4,,
MX1,B710 (MX1 label; provisional),B710-A,P1-11,N+FK,821,5041.465764630755,5790.183438531256,3754.284168403293,6519.455491527133,0.6090133982947624,jyye_john_coculture_fixed\samples_p1-11.fcs,254e5e2dcada88fd2ef2d93e247a048c53f2c7eaec7d9a53d269343b48479d29,90424beaac125a11999b2efcf30ff270fa71e41dfa800c3dd81d150ea5693ac4,,
PADI4,B515 (PADI4 label; provisional),B515-A,P1-11,N+FK,821,11625.879335680092,12550.200995337933,8386.900725484258,15844.428688758808,0.97442143727162,jyye_john_coculture_fixed\samples_p1-11.fcs,254e5e2dcada88fd2ef2d93e247a048c53f2c7eaec7d9a53d269343b48479d29,90424beaac125a11999b2efcf30ff270fa71e41dfa800c3dd81d150ea5693ac4,,
OSM,OSM,R670-A,P1-12,N+FK,1104,-39.20407568189567,-60.266791859674704,-136.17045816664577,45.7018779801051,62.40942028985508,jyye_john_coculture_fixed\samples_p1-12.fcs,b1b52ba68fc9ce4800b79b3c6a40c153d4f45f59d03541d871c46d325d203d29,90424beaac125a11999b2efcf30ff270fa71e41dfa800c3dd81d150ea5693ac4,,
