state,n,effect,se,low,high,p,p_signflip,same_sign,contrast,min_cells,q
CXCR4 neutrophil,6,-0.0944266728413447,0.0470880763774128,-0.215470426652178,0.0266170809694881,0.101249337028543,0.125,5,alpha_interaction,0,0.134999116038058
MX1/ISG neutrophil,6,-0.00476232312747732,0.0121622871484878,-0.0360264775511729,0.0265018312962183,0.711511173673822,0.75,4,alpha_interaction,0,0.711511173673822
OSM neutrophil,6,0.125565033539732,0.0536715052497922,-0.0124019629466428,0.263532030026107,0.0664206260075147,0.09375,5,alpha_interaction,0,0.132841252015029
PADI4 neutrophil,6,0.0228780344416456,0.00813589980764167,0.0019640381795649,0.0437920307037262,0.037460479248614,0.0625,5,alpha_interaction,0,0.132841252015029
CXCR4 neutrophil,6,-0.0244755873501688,0.006532147113483,-0.0412670060677924,-0.00768416863254522,0.0133356718813499,0.03125,6,alpha_in_UC,0,0.0177808958417999
MX1/ISG neutrophil,6,0.00924530178383331,0.00890936902690074,-0.0136569604036985,0.0321475639713651,0.346962115596114,0.5,2,alpha_in_UC,0,0.346962115596114
OSM neutrophil,6,-0.0386001474591279,0.00904554774155951,-0.0618524681769618,-0.0153478267412939,0.00795916530704484,0.03125,6,alpha_in_UC,0,0.0159183306140897
PADI4 neutrophil,6,0.00330421898606193,0.000681335616432387,0.00155279002648877,0.0050556479456351,0.00467539404278997,0.0625,5,alpha_in_UC,0,0.0159183306140897
CXCR4 neutrophil,6,0.0699510854911759,0.0436796161641106,-0.0423309424078531,0.182233113390205,0.170175221152009,0.1875,5,alpha_alone,0,0.170175221152009
MX1/ISG neutrophil,6,0.0140076249113106,0.00758727354165026,-0.00549608263685952,0.0335113324594808,0.124153807968375,0.125,5,alpha_alone,0,0.1655384106245
OSM neutrophil,6,-0.16416518099886,0.0491855625507402,-0.290600694667346,-0.0377296673303737,0.0206050175289233,0.03125,6,alpha_alone,0,0.0824200701156931
PADI4 neutrophil,6,-0.0195738154555836,0.00772596810187047,-0.0394340487209574,0.00028641780979018,0.0523057286927846,0.09375,5,alpha_alone,0,0.104611457385569
CXCR4 neutrophil,6,-0.0529074257206411,0.0199344756569741,-0.104150626747393,-0.00166422469388921,0.045204951490582,0.0625,5,UC_vs_control_fibroblasts,0,0.180819805962328
MX1/ISG neutrophil,6,-0.00658023814431799,0.00361187668405422,-0.0158648627409061,0.00270438645227011,0.128106579946955,0.1875,4,UC_vs_control_fibroblasts,0,0.256213159893909
OSM neutrophil,6,0.00475399434856066,0.0240954272329322,-0.0571852732183115,0.0666932619154328,0.851363640042971,0.78125,4,UC_vs_control_fibroblasts,0,0.851363640042971
PADI4 neutrophil,6,-0.00278346716067824,0.00546917088695024,-0.0168424184986635,0.011275484177307,0.63245223100374,0.90625,3,UC_vs_control_fibroblasts,0,0.843269641338321
CXCR4 neutrophil,6,0.037581021386474,0.00978477893689686,0.0124284463855702,0.0627335963873779,0.012114280811023,0.0625,5,UC_vs_alone,0,0.0484571232440922
MX1/ISG neutrophil,6,0.0109108211600691,0.00513571376567496,-0.0022909513590023,0.0241125936791406,0.0870081636010365,0.09375,5,UC_vs_alone,0,0.0870081636010365
OSM neutrophil,6,-0.158737466986935,0.058594913387585,-0.309360487001744,-0.00811444697212566,0.0423233557160504,0.09375,5,UC_vs_alone,0,0.0767791253986803
PADI4 neutrophil,6,-0.0165777121391753,0.00675274939914289,-0.0339362070852161,0.000780782806865398,0.0575843440490103,0.09375,5,UC_vs_alone,0,0.0767791253986803
CXCR4 neutrophil,6,0.0904884471071151,0.0261434273462736,0.0232846276495066,0.157692266564724,0.0180184277109018,0.03125,6,control_fibroblasts_vs_alone,0,0.0377951843826629
MX1/ISG neutrophil,6,0.0174910593043871,0.0075773610254241,-0.00198716730962662,0.0369692859184009,0.0690508395763672,0.09375,5,control_fibroblasts_vs_alone,0,0.0920677861018229
OSM neutrophil,6,-0.163491461335495,0.0478452004787243,-0.286481464608482,-0.0405014580625088,0.0188975921913315,0.0625,5,control_fibroblasts_vs_alone,0,0.0377951843826629
PADI4 neutrophil,6,-0.0137942449784971,0.00920610471336939,-0.0374592905316503,0.0098708005746561,0.194307473579945,0.25,4,control_fibroblasts_vs_alone,0,0.194307473579945
