DonorID,ConditionCode,all_neutrophils,resolved_cells,unresolved_fraction,median_UMI,median_genes
Donor6,N,1663,801,0.518340348767288,167,115
Donor1,N,130,55,0.576923076923077,144,103.5
Donor4,N,455,234,0.485714285714286,169,115
Donor2,NNAMPT,537,215,0.599627560521415,147,101
Donor1,NNAMPT,166,63,0.620481927710844,144,99.5
Donor5,N,133,61,0.541353383458647,164,118
Donor3,N,201,102,0.492537313432836,196,132
Donor5,NNAMPT,99,41,0.585858585858586,145,102
Donor4,NNAMPT,540,233,0.568518518518519,162,113
Donor2,N,112,47,0.580357142857143,160,109.5
Donor3,NNAMPT,59,42,0.288135593220339,299,199
Donor6,NNAMPT,26,13,0.5,140,98.5
Donor6,UF,1972,369,0.812880324543611,158,107
Donor3,UF,3890,2349,0.396143958868895,1768,745.5
Donor4,UF,6013,3393,0.435722601031099,1601,689
Donor2,UF,3019,720,0.761510433918516,165,111
Donor4,UN,2440,1239,0.492213114754098,836.5,454.5
Donor3,UN,4466,2554,0.428123600537394,1663,718
Donor2,UN,1863,461,0.752549651100376,162,108
Donor6,UN,229,54,0.764192139737991,195,128
Donor1,UF,534,140,0.737827715355805,161,109
Donor1,UN,221,87,0.606334841628959,256,163
Donor5,UF,149,28,0.812080536912752,179,120
Donor5,UN,75,26,0.653333333333333,276,155
Donor5,UD,6764,1184,0.824955647545831,215,144
Donor1,UA5,7305,1402,0.80807665982204,201,135
Donor6,UD,2875,481,0.832695652173913,216,146
Donor4,UD,3645,1847,0.493278463648834,1467,664
Donor3,UA5,4000,2053,0.48675,1639,721.5
Donor3,UD,3339,1516,0.54597184785864,635,343
Donor4,UA5,3237,1576,0.513129440840284,881,450
Donor2,UD,5139,946,0.815917493675812,197,132
Donor2,UA5,5195,944,0.818286814244466,202,136
Donor6,UA5,3261,510,0.84360625574977,231,161
Donor1,UD,915,200,0.781420765027322,237,155
Donor5,UA5,19,4,0.789473684210526,347,231
Donor3,NA5,6663,3913,0.412726999849918,1853,775
Donor4,CF,4562,2848,0.375712406839106,2041,840
Donor6,CF,6575,1249,0.810038022813688,161,106
Donor1,CF,5995,1253,0.790992493744787,163,106
Donor5,NA5,12415,2536,0.795730970600081,163,106
Donor2,NA5,5389,1148,0.78697346446465,163,105
Donor3,CF,4923,3355,0.31850497664026,2276,884
Donor4,NA5,2472,1580,0.36084142394822,2060.5,846
Donor1,NA5,310,71,0.770967741935484,187,117.5
Donor2,CF,61,22,0.639344262295082,1146,260
Donor5,CF,34,11,0.676470588235294,207,139.5
Donor6,NA5,3,1,0.666666666666667,2306,971
