DonorID,ConditionCode,cells
Donor1,N,55
Donor6,N,801
Donor5,NNAMPT,41
Donor2,NNAMPT,215
Donor1,NNAMPT,63
Donor4,NNAMPT,233
Donor4,N,234
Donor5,N,61
Donor3,N,102
Donor3,NNAMPT,42
Donor2,N,47
Donor6,NNAMPT,13
Donor4,UF,3393
Donor4,UN,1239
Donor3,UN,2554
Donor2,UF,720
Donor3,UF,2349
Donor2,UN,461
Donor6,UF,369
Donor1,UF,140
Donor5,UF,28
Donor1,UN,87
Donor6,UN,54
Donor5,UN,26
Donor4,UD,1847
Donor4,UA5,1576
Donor5,UD,1184
Donor2,UD,946
Donor3,UA5,2053
Donor1,UA5,1402
Donor2,UA5,944
Donor6,UD,481
Donor3,UD,1516
Donor6,UA5,510
Donor1,UD,200
Donor5,UA5,4
Donor4,CF,2848
Donor3,NA5,3913
Donor2,NA5,1148
Donor5,NA5,2536
Donor3,CF,3355
Donor6,CF,1249
Donor1,CF,1253
Donor4,NA5,1580
Donor1,NA5,71
Donor5,CF,11
Donor2,CF,22
Donor6,NA5,1
