n_a,n_b,effect,se,low,high,p,feature,model,p_exact,q,q_exact
6,13,-0.0317517871263484,0.0129885863401686,-0.062422694563251,-0.0010808796894458,0.0442291529712627,activated FAP fibroblast fraction,Change difference,0.00943535308860386,0.221145764856314,0.0471767654430193
6,13,-0.0316367581136959,0.0123833036343068,-0.0578881891099287,-0.00538532711746318,0.0211968710191187,activated FAP fibroblast fraction,Baseline-adjusted change,,0.105984355095593,
5,11,-0.223430761205266,0.121565948644462,-0.534855123391007,0.0879936009804741,0.124813152682369,FAP inflammatory,Change difference,0.0347985347985348,0.277758738866794,0.086996336996337
5,11,-0.202439365965987,0.102018086201198,-0.422836041787373,0.0179573098553993,0.068738089436685,FAP inflammatory,Baseline-adjusted change,,0.161388529368931,
5,11,-0.0944898358579835,0.0619162471117262,-0.24379908378517,0.0548194120692029,0.174876114630155,alpha5beta1 adhesion,Change difference,0.116071428571429,0.277758738866794,0.145089285714286
5,11,-0.0781610953388769,0.0482318642443614,-0.182359703095164,0.0260375124174099,0.129110823495144,alpha5beta1 adhesion,Baseline-adjusted change,,0.161388529368931,
5,11,-0.195193826139853,0.141410012455847,-0.551341205536628,0.160953553256922,0.222206991093435,neutrophil recruitment,Change difference,0.113782051282051,0.277758738866794,0.145089285714286
5,11,-0.187885129047988,0.107404359572199,-0.419918141035226,0.0441478829392504,0.103788125147395,neutrophil recruitment,Baseline-adjusted change,,0.161388529368931,
5,11,-0.00287850579805309,0.137692976087358,-0.331183743675722,0.325426732079616,0.983927866132099,OSM response,Change difference,0.980311355311355,0.983927866132099,0.980311355311355
5,11,0.032993791244628,0.114016967534133,-0.213324891721048,0.279312474210304,0.776857031653448,OSM response,Baseline-adjusted change,,0.776857031653448,
