n_a,n_b,effect,se,low,high,p,feature,omitted_patient
6,12,-0.0319482706799739,0.0131795862741133,-0.0627664560158198,-0.00113008534412791,0.043931687300826,activated FAP fibroblast fraction,UC1
5,13,-0.0332218486429038,0.0153604409006038,-0.0724602626180141,0.00601656533220658,0.0817480087746022,activated FAP fibroblast fraction,UC10
5,13,-0.0251116720681971,0.0131547738093969,-0.0578582418326359,0.00763489769624179,0.108281093181399,activated FAP fibroblast fraction,UC11
5,13,-0.0355796416549357,0.0147379123527244,-0.0729898749121377,0.00183059160226619,0.0584458807534039,activated FAP fibroblast fraction,UC12
5,13,-0.0364440212445093,0.0143582441275101,-0.0727375799768195,-0.000150462512199093,0.0493441713040288,activated FAP fibroblast fraction,UC13
6,12,-0.0309642835565655,0.0131534862603462,-0.0617621292431792,-0.000166437869951842,0.0490565903495697,activated FAP fibroblast fraction,UC14
6,12,-0.032009564074001,0.0131783378616098,-0.0628267665932293,-0.00119236155477262,0.0436202393617442,activated FAP fibroblast fraction,UC15
6,12,-0.0318861974813609,0.0131805071404976,-0.0627051084082815,-0.00106728655444031,0.0442481647135333,activated FAP fibroblast fraction,UC16
5,13,-0.0364258730636434,0.0143671203423233,-0.0727455524345595,-0.000106193692727324,0.0495365490609987,activated FAP fibroblast fraction,UC17
6,12,-0.0309306866809283,0.013151058152776,-0.0617266624495113,-0.000134710912345216,0.0492351077616032,activated FAP fibroblast fraction,UC18
6,12,-0.0314587263410636,0.0131774663485658,-0.0622752433476608,-0.000642209334466411,0.0464543967232169,activated FAP fibroblast fraction,UC2
6,12,-0.0317039424510059,0.0131812144380667,-0.0625234110552767,-0.000884473846735134,0.0451833009421258,activated FAP fibroblast fraction,UC22
6,12,-0.0314563370313187,0.01317740329397,-0.0622728044593696,-0.000639869603267871,0.0464668500234142,activated FAP fibroblast fraction,UC3
6,12,-0.0285462963387002,0.0127123457805526,-0.0590730249738599,0.00198043229645956,0.0624156451333234,activated FAP fibroblast fraction,UC4
5,13,-0.0237276660839011,0.0119417330483837,-0.0528921644441698,0.00543683227636763,0.0937350390753809,activated FAP fibroblast fraction,UC5
6,12,-0.0300634191739418,0.0130529017696814,-0.060787062957617,0.000660224609733452,0.0539080469372041,activated FAP fibroblast fraction,UC6
6,12,-0.0331884336630967,0.0130884644582499,-0.0639375392862922,-0.00243932803990118,0.0378804519931482,activated FAP fibroblast fraction,UC7
6,12,-0.0346213472252219,0.0128068569561925,-0.0651936985998077,-0.00404899585063618,0.0318510392798793,activated FAP fibroblast fraction,UC8
6,12,-0.033995727945351,0.0129536228627162,-0.0646529505615813,-0.00333850532912068,0.0343200457976685,activated FAP fibroblast fraction,UC9
5,10,-0.236460340542568,0.122245111042109,-0.547788321864222,0.074867640779087,0.109084257889572,FAP inflammatory,UC1
4,11,-0.224746363333252,0.153324264501458,-0.677167206045743,0.22767447937924,0.2269006866698,FAP inflammatory,UC10
4,11,-0.184897638962062,0.145039806892781,-0.609370899029858,0.239575621105735,0.279718797780138,FAP inflammatory,UC11
4,11,-0.258139474553174,0.146640342775785,-0.688020814420411,0.171741865314063,0.162802171573413,FAP inflammatory,UC12
4,11,-0.307389090658209,0.10845680995507,-0.607098231835418,-0.0076799494810002,0.0464899390096348,FAP inflammatory,UC13
5,10,-0.196258248273334,0.11936893036514,-0.508732971468707,0.116216474922039,0.16456852334634,FAP inflammatory,UC14
5,10,-0.210736129737606,0.122288176737918,-0.522055830290505,0.100583570815293,0.143549410807979,FAP inflammatory,UC16
5,10,-0.214769820018027,0.122717898247846,-0.526020108102362,0.0964804680663084,0.137870795155548,FAP inflammatory,UC2
5,10,-0.223840448188607,0.123090042742154,-0.535049644996024,0.0873687486188093,0.125411029934718,FAP inflammatory,UC22
5,10,-0.22023248786763,0.123040081726914,-0.531446193604788,0.090981217869528,0.130310106506801,FAP inflammatory,UC3
5,10,-0.228800692025005,0.122947629388812,-0.540023561185045,0.0824221771350363,0.118824430055339,FAP inflammatory,UC4
4,11,-0.141981238519636,0.111599761903793,-0.452488105686975,0.168525628647703,0.272559719278742,FAP inflammatory,UC5
5,10,-0.240306302097271,0.121668790480861,-0.551768917652352,0.0711563134578106,0.10444517221781,FAP inflammatory,UC6
5,10,-0.23489847292754,0.122436233446212,-0.546191557940059,0.0763946120849786,0.111020524111326,FAP inflammatory,UC7
5,10,-0.214843463118707,0.122724223501019,-0.526092906837167,0.0964059805997534,0.137767839434658,FAP inflammatory,UC8
5,10,-0.236591968461638,0.122227875860877,-0.547923332208868,0.0747393952855915,0.10892238293589,FAP inflammatory,UC9
5,10,-0.0982090025154031,0.0632851967423949,-0.248563461190246,0.05214545615944,0.165627240578109,alpha5beta1 adhesion,UC1
4,11,-0.127224488572897,0.0635494988188469,-0.293711067950864,0.0392620908050702,0.105247673111062,alpha5beta1 adhesion,UC10
4,11,-0.0539384031769783,0.0555317037970185,-0.19308614694784,0.0852093405938833,0.372373205057193,alpha5beta1 adhesion,UC11
4,11,-0.116450414733699,0.070856824464143,-0.308063381647498,0.0751625521800989,0.170816403921726,alpha5beta1 adhesion,UC12
4,11,-0.102158527748635,0.075673332303265,-0.310344324125449,0.106027268628179,0.246807787385054,alpha5beta1 adhesion,UC13
5,10,-0.109380077315871,0.0612448520738944,-0.258462028136897,0.0397018735051558,0.123285121827184,alpha5beta1 adhesion,UC14
5,10,-0.0826970052023197,0.0620640528842673,-0.232209098034106,0.0668150876294661,0.228087859966974,alpha5beta1 adhesion,UC16
5,10,-0.0883412972330271,0.0630532839465044,-0.238518650361826,0.0618360558957718,0.205395057402012,alpha5beta1 adhesion,UC2
5,10,-0.0851071723823376,0.0625645633055482,-0.234937036844616,0.0647226920799404,0.218427871119072,alpha5beta1 adhesion,UC22
5,10,-0.0939813727136016,0.0634161348772567,-0.244439175301034,0.0564764298738308,0.182594648235958,alpha5beta1 adhesion,UC3
5,10,-0.0837699473766244,0.0623014385849729,-0.233427793296424,0.0658878985431752,0.223793859397051,alpha5beta1 adhesion,UC4
4,11,-0.0726773450577072,0.0709330202083843,-0.264552566228785,0.119197876113371,0.359870612749295,alpha5beta1 adhesion,UC5
5,10,-0.0875418721095142,0.0629517303130338,-0.237644105777501,0.0625603615584725,0.208622546601821,alpha5beta1 adhesion,UC6
5,10,-0.107659651525385,0.0617246707885088,-0.256979491422978,0.0416601883722074,0.129400410449847,alpha5beta1 adhesion,UC7
5,10,-0.101897563054462,0.062887625264791,-0.25195315419633,0.0481580280874064,0.15109611664707,alpha5beta1 adhesion,UC8
5,10,-0.100803233009272,0.0630333690533179,-0.2509657369451,0.0493592709265553,0.155369384411096,alpha5beta1 adhesion,UC9
5,10,-0.206230324480837,0.143094874518605,-0.56257994307713,0.150119294115456,0.203043616851113,neutrophil recruitment,UC1
4,11,-0.212549631091478,0.175901324249034,-0.721660911166532,0.296561648983576,0.299830494092688,neutrophil recruitment,UC10
4,11,-0.174821714085791,0.175361372312119,-0.68209900370655,0.332455575534968,0.380578041746874,neutrophil recruitment,UC11
4,11,-0.228468236890385,0.172040707771262,-0.724458187664361,0.267521713883592,0.261037578953586,neutrophil recruitment,UC12
4,11,-0.277995931555412,0.141479096381809,-0.669458030275025,0.113466167164201,0.120252556692913,neutrophil recruitment,UC13
5,10,-0.158667837097551,0.137820135862609,-0.515789428119326,0.198453753924224,0.302981316392335,neutrophil recruitment,UC14
