program,version,min_state_cells,component,n,effect,se,low,high,p,p_signflip,same_sign,q
NETosis,full_gene,1,total,5,0.0236682208911132,0.0219887149938687,-0.0373822392232029,0.0847186810054292,0.342347570926251,0.375,3,0.479286599296751
Degranulation,full_gene,1,total,5,0.0626996053451998,0.00117250920744077,0.0594441978954016,0.0659550127949981,7.32057584635984e-07,0.0625,5,1.02488061849038e-05
Oxidative_burst,full_gene,1,total,5,-0.0473573581127812,0.0521939715265993,-0.192271054878641,0.0975563386530785,0.415548594081919,0.375,3,0.528880028831533
Phagocytosis,full_gene,1,total,5,-0.100094326623615,0.0500840916170753,-0.239150057642121,0.0389614043948917,0.1163122169165,0.1875,4,0.232624433833
Chemotaxis,full_gene,1,total,5,-0.136515676476041,0.0398071209823492,-0.247037962679501,-0.0259933902725817,0.026549541218223,0.0625,5,0.0929233942637805
OSM_inflammation,full_gene,1,total,5,-0.0734347214089509,0.030576935641347,-0.158329904702317,0.0114604618844148,0.0742243847304159,0.0625,5,0.173190231037637
Type_I_interferon,full_gene,1,total,5,0.00607607143812431,0.0148508875149731,-0.0351566025106659,0.0473087453869145,0.70339717776695,0.625,4,0.721417378692548
Immature_granulopoiesis,full_gene,1,total,5,0.0964678839963536,0.013499554745836,0.0589871112999277,0.13394865669278,0.00202873439568104,0.0625,5,0.0142011407697673
Survival_antiapoptosis,full_gene,1,total,5,-0.05393893292302,0.029454679128276,-0.135718232613894,0.0278403667678535,0.141022522602491,0.25,3,0.246789414554359
Hypoxia_glycolysis,full_gene,1,total,5,0.0113307501918699,0.0296083612637299,-0.0708752395117409,0.0935367398954807,0.721417378692548,0.75,2,0.721417378692548
ER_stress,full_gene,1,total,5,-0.106630203772457,0.0350626779796464,-0.203979804424173,-0.0092806031207415,0.0383597101248249,0.0625,5,0.10740718834951
Proliferation_stress,full_gene,1,total,5,0.0114057448149645,0.0216182723668388,-0.0486162016807777,0.0714276913107067,0.625688670151008,0.625,4,0.721417378692548
Integrin_adhesion,full_gene,1,total,5,-0.0445929602345344,0.036136401014591,-0.14492369395096,0.0557377734818915,0.284743258905425,0.3125,3,0.442933958297328
CXCR4_aging_retention,full_gene,1,total,5,-0.17814274966483,0.0422526077300032,-0.29545479557864,-0.0608307037510201,0.013519419209189,0.0625,5,0.0630906229762153
NETosis,full_gene,10,total,5,0.0155843605476421,0.0266902281210074,-0.0585195926755414,0.0896883137708256,0.590630990445523,0.6875,3,0.751712169657938
Degranulation,full_gene,10,total,5,0.0484051957102005,0.0145263677683555,0.00807353302344698,0.0887368583969541,0.0290452184615927,0.125,4,0.101658264615574
Oxidative_burst,full_gene,10,total,5,-0.049037176275313,0.0528780041580997,-0.195850052092697,0.0977756995420715,0.406227906565656,0.375,3,0.568719069191918
Phagocytosis,full_gene,10,total,5,-0.100607374963324,0.0503060626274762,-0.240279396307154,0.0390646463805063,0.116129043733662,0.1875,4,0.232258087467324
Chemotaxis,full_gene,10,total,5,-0.137829615171641,0.0400813613367588,-0.249113314664749,-0.0265459156785328,0.0263239376201091,0.0625,5,0.101658264615574
OSM_inflammation,full_gene,10,total,5,-0.0718210299978599,0.0308753554363918,-0.157544759470472,0.0139026994747521,0.0805904457311255,0.0625,5,0.188044373372626
Type_I_interferon,full_gene,10,total,5,-0.000900346998337298,0.0155225726488482,-0.0439979178493091,0.0421972238526345,0.956528637552802,1,2,0.956528637552802
Immature_granulopoiesis,full_gene,10,total,5,0.0790453536258363,0.0194860854406311,0.0249433070847301,0.133147400166942,0.0153929903039063,0.0625,5,0.101658264615574
Survival_antiapoptosis,full_gene,10,total,5,-0.0522809294129019,0.0286211779420352,-0.13174605881506,0.0271841999892567,0.141777555683062,0.25,3,0.248110722445359
Hypoxia_glycolysis,full_gene,10,total,5,0.00934514230564265,0.0299457421876283,-0.0737975670127131,0.0924878516239984,0.770578504208776,0.75,2,0.829853773763297
ER_stress,full_gene,10,total,5,-0.107853859459832,0.0355637719684283,-0.206594720063946,-0.00911299885571914,0.0386783931232266,0.0625,5,0.108299500745034
Proliferation_stress,full_gene,10,total,5,0.00790519781776247,0.0207529053204205,-0.0497141045777524,0.0655245002132773,0.722629502217322,0.75,4,0.829853773763297
