DonorID,ConditionCode,state,N,total_cells,proportion,sample_id,clr,cells,all_neutrophils,fraction_all
Donor1,CF,PADI4 neutrophil,35,1253,0.0279329608938548,Donor1||CF,-1.53575394023004,1253,5995,0.00583819849874896
Donor1,CF,OSM neutrophil,454,1253,0.362330407023144,Donor1||CF,1.01391127690612,1253,5995,0.0757297748123436
Donor1,CF,CXCR4 neutrophil,699,1253,0.557861133280128,Donor1||CF,1.44507915739412,1253,5995,0.116597164303586
Donor1,CF,MX1/ISG neutrophil,65,1253,0.0518754988028731,Donor1||CF,-0.923236494070205,1253,5995,0.0108423686405338
Donor1,N,PADI4 neutrophil,3,55,0.0545454545454545,Donor1||N,-0.41236081176195,55,130,0.0230769230769231
Donor1,N,OSM neutrophil,42,55,0.763636363636364,Donor1||N,2.08438029567305,55,130,0.323076923076923
Donor1,N,CXCR4 neutrophil,10,55,0.181818181818182,Donor1||N,0.68625147690616,55,130,0.0769230769230769
Donor1,N,MX1/ISG neutrophil,0,55,0,Donor1||N,-2.35827096081726,55,130,0
Donor1,NA5,PADI4 neutrophil,0,71,0,Donor1||NA5,-2.56524678908735,71,310,0
Donor1,NA5,OSM neutrophil,21,71,0.295774647887324,Donor1||NA5,1.19595332660621,71,310,0.067741935483871
Donor1,NA5,CXCR4 neutrophil,47,71,0.661971830985916,Donor1||NA5,1.98863010251319,71,310,0.151612903225806
Donor1,NA5,MX1/ISG neutrophil,3,71,0.0422535211267606,Donor1||NA5,-0.619336640032041,71,310,0.00967741935483871
Donor1,NNAMPT,PADI4 neutrophil,0,63,0,Donor1||NNAMPT,-1.99060392003027,63,166,0
Donor1,NNAMPT,OSM neutrophil,49,63,0.777777777777778,Donor1||NNAMPT,2.60451593010432,63,166,0.295180722891566
Donor1,NNAMPT,CXCR4 neutrophil,14,63,0.222222222222222,Donor1||NNAMPT,1.37669190995621,63,166,0.0843373493975904
Donor1,NNAMPT,MX1/ISG neutrophil,0,63,0,Donor1||NNAMPT,-1.99060392003027,63,166,0
Donor1,UA5,PADI4 neutrophil,81,1402,0.057774607703281,Donor1||UA5,-0.976672042756831,1402,7305,0.011088295687885
Donor1,UA5,OSM neutrophil,636,1402,0.453637660485021,Donor1||UA5,1.07870935499381,1402,7305,0.0870636550308008
Donor1,UA5,CXCR4 neutrophil,617,1402,0.440085592011412,Donor1||UA5,1.04840400549848,1402,7305,0.0844626967830253
Donor1,UA5,MX1/ISG neutrophil,68,1402,0.0485021398002853,Donor1||UA5,-1.15044131773547,1402,7305,0.00930869267624914
Donor1,UD,PADI4 neutrophil,16,200,0.08,Donor1||UD,-0.775249717612869,200,915,0.0174863387978142
Donor1,UD,OSM neutrophil,84,200,0.42,Donor1||UD,0.858141435843724,200,915,0.0918032786885246
Donor1,UD,CXCR4 neutrophil,87,200,0.435,Donor1||UD,0.893028694844165,200,915,0.0950819672131147
Donor1,UD,MX1/ISG neutrophil,13,200,0.065,Donor1||UD,-0.97592041307502,200,915,0.014207650273224
Donor1,UF,PADI4 neutrophil,4,140,0.0285714285714286,Donor1||UF,-1.39294199805315,140,534,0.00749063670411985
Donor1,UF,OSM neutrophil,66,140,0.471428571428571,Donor1||UF,1.30018255283238,140,534,0.123595505617978
Donor1,UF,CXCR4 neutrophil,65,140,0.464285714285714,Donor1||UF,1.28503074781178,140,534,0.121722846441948
Donor1,UF,MX1/ISG neutrophil,5,140,0.0357142857142857,Donor1||UF,-1.192271302591,140,534,0.00936329588014981
Donor1,UN,PADI4 neutrophil,3,87,0.0344827586206897,Donor1||UN,-1.2815500319802,87,221,0.0135746606334842
Donor1,UN,OSM neutrophil,46,87,0.528735632183908,Donor1||UN,1.30513931211774,87,221,0.208144796380091
Donor1,UN,CXCR4 neutrophil,34,87,0.390804597701149,Donor1||UN,1.00664632356175,87,221,0.153846153846154
Donor1,UN,MX1/ISG neutrophil,4,87,0.0459770114942529,Donor1||UN,-1.03023560369929,87,221,0.0180995475113122
Donor2,CF,PADI4 neutrophil,0,22,0,Donor2||CF,-1.92234277688242,22,61,0
