state,n,effect,se,low,high,p,p_signflip,same_sign,contrast,min_cells,q,q_signflip
CXCR4 neutrophil,6,-0.908202401393953,0.402464026175629,-1.94276911657808,0.126364313790177,0.0736644106954418,0.09375,5,alpha_interaction,0,0.131319853655551,0.15625
MX1/ISG neutrophil,6,-0.83434218215413,0.46285873522463,-2.02415843938816,0.355474075079901,0.131319853655551,0.15625,5,alpha_interaction,0,0.131319853655551,0.15625
OSM neutrophil,6,0.44596141884567,0.235638560051073,-0.159766783397116,1.05168962108846,0.116974146857662,0.125,4,alpha_interaction,0,0.131319853655551,0.15625
PADI4 neutrophil,6,1.29658316470241,0.374038795710538,0.335085830625616,2.2580804987792,0.0179177735720188,0.03125,6,alpha_interaction,0,0.0716710942880752,0.125
CXCR4 neutrophil,6,-0.341262495788961,0.197302380995019,-0.848444412502552,0.165919420924631,0.144257981737765,0.0625,5,alpha_in_UC,0,0.192343975650353,0.0833333333333333
MX1/ISG neutrophil,6,0.284146940095497,0.314958620353272,-0.525479968361697,1.09377384855269,0.40832111433442,0.5625,4,alpha_in_UC,0,0.40832111433442,0.5625
OSM neutrophil,6,-0.395178845428588,0.168991453530944,-0.829585206253011,0.0392275153958354,0.0665078863329613,0.03125,6,alpha_in_UC,0,0.133015772665923,0.0625
PADI4 neutrophil,6,0.452294401122045,0.0667203337872071,0.280784323021059,0.623804479223032,0.0010622164751624,0.03125,6,alpha_in_UC,0,0.0042488659006496,0.0625
CXCR4 neutrophil,6,0.566939905604993,0.284926908919835,-0.165488030948337,1.29936784215832,0.103279936539624,0.09375,5,alpha_alone,0,0.103279936539624,0.125
MX1/ISG neutrophil,6,1.11848912224963,0.177182685391908,0.663026529591923,1.57395171490733,0.00146906174976331,0.03125,6,alpha_alone,0,0.00587624699905324,0.0625
OSM neutrophil,6,-0.841140264274258,0.196645731745695,-1.34663421035515,-0.335646318193363,0.00788269923235185,0.03125,6,alpha_alone,0,0.0157653984647037,0.0625
PADI4 neutrophil,6,-0.844288763580361,0.407311017646764,-1.89131506699768,0.202737539836953,0.0929040849777157,0.15625,4,alpha_alone,0,0.103279936539624,0.15625
CXCR4 neutrophil,6,-0.0332941072507687,0.226033957248555,-0.614332891990898,0.547744677489361,0.888652949039976,0.90625,4,UC_vs_control_fibroblasts,0,0.90179593430507,0.90625
MX1/ISG neutrophil,6,-0.229073611969746,0.100521463826832,-0.487472260974573,0.0293250370350812,0.0716408080940157,0.03125,6,UC_vs_control_fibroblasts,0,0.143281616188031,0.125
OSM neutrophil,6,0.225944187523454,0.0856391245903307,0.00580180943175443,0.446086565615153,0.0460687638156709,0.0625,5,UC_vs_control_fibroblasts,0,0.143281616188031,0.125
PADI4 neutrophil,6,0.0364235316970655,0.280644677679092,-0.684996579012818,0.757843642406948,0.90179593430507,0.90625,5,UC_vs_control_fibroblasts,0,0.90179593430507,0.90625
CXCR4 neutrophil,6,0.563011496332403,0.159037192308512,0.154193378593544,0.971829614071263,0.0165603768038583,0.03125,6,UC_vs_alone,0,0.039361637096272,0.09375
MX1/ISG neutrophil,6,0.717685279433889,0.212352369291842,0.171816136177944,1.26355442268983,0.019680818548136,0.0625,5,UC_vs_alone,0,0.039361637096272,0.09375
OSM neutrophil,6,-0.585936060075022,0.227143919573431,-1.16982809380572,-0.00204402634432521,0.0494572424154506,0.09375,5,UC_vs_alone,0,0.0494572424154506,0.09375
PADI4 neutrophil,6,-0.694760715691263,0.261787837291748,-1.36770777502394,-0.0218136563585815,0.0452135914960678,0.09375,5,UC_vs_alone,0,0.0494572424154506,0.09375
CXCR4 neutrophil,6,0.596305603583172,0.14145797949713,0.232676290982036,0.959934916184308,0.00836448433835117,0.03125,6,control_fibroblasts_vs_alone,0,0.0200182323294338,0.0833333333333333
MX1/ISG neutrophil,6,0.946758891403635,0.234856628747593,0.34304070756629,1.55047707524098,0.0100091161647169,0.0625,5,control_fibroblasts_vs_alone,0,0.0200182323294338,0.0833333333333333
OSM neutrophil,6,-0.811880247598475,0.230001983872334,-1.40311916950101,-0.220641325695938,0.0167418389911072,0.0625,5,control_fibroblasts_vs_alone,0,0.0223224519881429,0.0833333333333333
PADI4 neutrophil,6,-0.731184247388329,0.408507847709294,-1.78128710042472,0.318918605648068,0.133483852113721,0.09375,5,control_fibroblasts_vs_alone,0,0.133483852113721,0.09375
CXCR4 neutrophil,4,-1.04835995236543,0.186179531057411,-1.64086631309855,-0.455853591632323,0.0110789660285287,0.125,4,alpha_interaction,20,0.0221579320570574,0.166666666666667
MX1/ISG neutrophil,4,-1.11900141973005,0.194699456683237,-1.73862198629236,-0.499380853167735,0.0104629900983689,0.125,4,alpha_interaction,20,0.0221579320570574,0.166666666666667
OSM neutrophil,4,0.576226500810779,0.298982769755286,-0.375270110140421,1.52772311176198,0.149563365301974,0.25,3,alpha_interaction,20,0.149563365301974,0.25
PADI4 neutrophil,4,1.5911348712847,0.496912484641766,0.00973757048715895,3.17253217208223,0.0492548343208758,0.125,4,alpha_interaction,20,0.0656731124278344,0.166666666666667
CXCR4 neutrophil,5,-0.151657887934595,0.0668392350348484,-0.337233354882264,0.0339175790130749,0.0858228709702253,0.125,4,alpha_in_UC,20,0.114430494626967,0.166666666666667
MX1/ISG neutrophil,5,-0.0211850226488918,0.0946413630092218,-0.283951571725093,0.24158152642731,0.833845815930659,0.9375,2,alpha_in_UC,20,0.833845815930659,0.9375
OSM neutrophil,5,-0.227471477733109,0.0254661595206715,-0.298176871682464,-0.156766083783755,0.000868666743813654,0.0625,5,alpha_in_UC,20,0.00289525420116434,0.125
PADI4 neutrophil,5,0.400314388316588,0.0512300870010123,0.258076864023771,0.542551912609406,0.00144762710058217,0.0625,5,alpha_in_UC,20,0.00289525420116434,0.125
CXCR4 neutrophil,5,0.824295984803903,0.149755760787238,0.408507335791004,1.2400846338168,0.00531323010283431,0.0625,5,alpha_alone,20,0.0124745867328811,0.0833333333333333
MX1/ISG neutrophil,5,1.04798401896732,0.199083152528681,0.495240574601714,1.60072746333292,0.00623729336644053,0.0625,5,alpha_alone,20,0.0124745867328811,0.0833333333333333
OSM neutrophil,5,-0.828900412084896,0.240373864528309,-1.496285251672,-0.161515572497796,0.0260930534074743,0.0625,5,alpha_alone,20,0.0347907378766324,0.0833333333333333
PADI4 neutrophil,5,-1.04337959168632,0.435198415542598,-2.2516841023094,0.16492491893676,0.0745598544104998,0.125,4,alpha_alone,20,0.0745598544104998,0.125
CXCR4 neutrophil,5,-0.244505580864953,0.09859814838398,-0.51825792732722,0.0292467655973142,0.0682243461812733,0.125,4,UC_vs_control_fibroblasts,20,0.125888897980283,0.125
