state,DonorID,delta,contrast,min_cells
CXCR4 neutrophil,Donor1,-1.53900536792033,alpha_interaction,0
CXCR4 neutrophil,Donor2,-0.634015147856591,alpha_interaction,0
CXCR4 neutrophil,Donor3,-0.992484227727734,alpha_interaction,0
CXCR4 neutrophil,Donor4,-1.02793506595708,alpha_interaction,0
CXCR4 neutrophil,Donor5,-2.07834158835774,alpha_interaction,0
CXCR4 neutrophil,Donor6,0.822566989455756,alpha_interaction,0
MX1/ISG neutrophil,Donor1,-1.69710433592969,alpha_interaction,0
MX1/ISG neutrophil,Donor2,-0.963061073416802,alpha_interaction,0
MX1/ISG neutrophil,Donor3,-0.968184345391505,alpha_interaction,0
MX1/ISG neutrophil,Donor4,-0.847655924182195,alpha_interaction,0
MX1/ISG neutrophil,Donor5,1.31609633011881,alpha_interaction,0
MX1/ISG neutrophil,Donor6,-1.8461437441234,alpha_interaction,0
OSM neutrophil,Donor1,0.66695377122827,alpha_interaction,0
OSM neutrophil,Donor2,1.35626581261978,alpha_interaction,0
OSM neutrophil,Donor3,-0.0552159311253899,alpha_interaction,0
OSM neutrophil,Donor4,0.33690235052046,alpha_interaction,0
OSM neutrophil,Donor5,-0.25584511608648,alpha_interaction,0
OSM neutrophil,Donor6,0.626707625917385,alpha_interaction,0
PADI4 neutrophil,Donor1,2.56915593262172,alpha_interaction,0
PADI4 neutrophil,Donor2,0.240810408653622,alpha_interaction,0
PADI4 neutrophil,Donor3,2.01588450424463,alpha_interaction,0
PADI4 neutrophil,Donor4,1.53868863961881,alpha_interaction,0
PADI4 neutrophil,Donor5,1.0180903743254,alpha_interaction,0
PADI4 neutrophil,Donor6,0.396869128750255,alpha_interaction,0
CXCR4 neutrophil,Donor1,-0.2366267423133,alpha_in_UC,0
CXCR4 neutrophil,Donor2,-0.272616648475391,alpha_in_UC,0
CXCR4 neutrophil,Donor3,-0.204289558158936,alpha_in_UC,0
CXCR4 neutrophil,Donor4,-0.147482989791547,alpha_in_UC,0
CXCR4 neutrophil,Donor5,-1.28928553506079,alpha_in_UC,0
CXCR4 neutrophil,Donor6,0.1027264990662,alpha_in_UC,0
MX1/ISG neutrophil,Donor1,0.0418299848555299,alpha_in_UC,0
MX1/ISG neutrophil,Donor2,0.034326192684402,alpha_in_UC,0
MX1/ISG neutrophil,Donor3,-0.00120062256526998,alpha_in_UC,0
MX1/ISG neutrophil,Donor4,0.194248437243099,alpha_in_UC,0
MX1/ISG neutrophil,Donor5,1.81080675381744,alpha_in_UC,0
MX1/ISG neutrophil,Donor6,-0.37512910546222,alpha_in_UC,0
OSM neutrophil,Donor1,-0.22147319783857,alpha_in_UC,0
OSM neutrophil,Donor2,-0.208568012224674,alpha_in_UC,0
OSM neutrophil,Donor3,-0.14517646187596,alpha_in_UC,0
OSM neutrophil,Donor4,-0.28650781742266,alpha_in_UC,0
OSM neutrophil,Donor5,-1.23371568390598,alpha_in_UC,0
OSM neutrophil,Donor6,-0.275631899303683,alpha_in_UC,0
PADI4 neutrophil,Donor1,0.416269955296319,alpha_in_UC,0
PADI4 neutrophil,Donor2,0.446858468015662,alpha_in_UC,0
PADI4 neutrophil,Donor3,0.35066664260016,alpha_in_UC,0
PADI4 neutrophil,Donor4,0.2397423699711,alpha_in_UC,0
PADI4 neutrophil,Donor5,0.71219446514933,alpha_in_UC,0
PADI4 neutrophil,Donor6,0.5480345056997,alpha_in_UC,0
CXCR4 neutrophil,Donor1,1.30237862560703,alpha_alone,0
CXCR4 neutrophil,Donor2,0.3613984993812,alpha_alone,0
CXCR4 neutrophil,Donor3,0.788194669568798,alpha_alone,0
CXCR4 neutrophil,Donor4,0.880452076165537,alpha_alone,0
CXCR4 neutrophil,Donor5,0.789056053296948,alpha_alone,0
CXCR4 neutrophil,Donor6,-0.719840490389556,alpha_alone,0
MX1/ISG neutrophil,Donor1,1.73893432078522,alpha_alone,0
MX1/ISG neutrophil,Donor2,0.997387266101204,alpha_alone,0
MX1/ISG neutrophil,Donor3,0.966983722826235,alpha_alone,0
MX1/ISG neutrophil,Donor4,1.04190436142529,alpha_alone,0
MX1/ISG neutrophil,Donor5,0.494710423698626,alpha_alone,0
MX1/ISG neutrophil,Donor6,1.47101463866118,alpha_alone,0
OSM neutrophil,Donor1,-0.88842696906684,alpha_alone,0
OSM neutrophil,Donor2,-1.56483382484445,alpha_alone,0
OSM neutrophil,Donor3,-0.08996053075057,alpha_alone,0
OSM neutrophil,Donor4,-0.62341016794312,alpha_alone,0
OSM neutrophil,Donor5,-0.9778705678195,alpha_alone,0
OSM neutrophil,Donor6,-0.902339525221068,alpha_alone,0
PADI4 neutrophil,Donor1,-2.1528859773254,alpha_alone,0
PADI4 neutrophil,Donor2,0.20604805936204,alpha_alone,0
PADI4 neutrophil,Donor3,-1.66521786164447,alpha_alone,0
PADI4 neutrophil,Donor4,-1.29894626964771,alpha_alone,0
PADI4 neutrophil,Donor5,-0.30589590917607,alpha_alone,0
PADI4 neutrophil,Donor6,0.151165376949445,alpha_alone,0
CXCR4 neutrophil,Donor1,-0.16004840958234,UC_vs_control_fibroblasts,0
