Fine_annotation_3,HS,Condition,cells
04-IEC_CT_coloncyte,FOV01_HS34_VDZ_LC_POST_2_Mayo0_Responder,VDZ_POST_Responder,630
05A-MNP-M1_Macrophage,FOV01_HS34_VDZ_LC_POST_2_Mayo0_Responder,VDZ_POST_Responder,1
05-MNP_NOS,FOV01_HS34_VDZ_LC_POST_2_Mayo0_Responder,VDZ_POST_Responder,117
01C_24_activated_fibroblast,FOV01_HS34_VDZ_LC_POST_2_Mayo0_Responder,VDZ_POST_Responder,131
05G-MNP_activated,FOV01_HS34_VDZ_LC_POST_2_Mayo0_Responder,VDZ_POST_Responder,2
1B-Fibroblast,FOV01_HS34_VDZ_LC_POST_2_Mayo0_Responder,VDZ_POST_Responder,115
15-Fibroblast_PDGFRBhi,FOV01_HS34_VDZ_LC_POST_2_Mayo0_Responder,VDZ_POST_Responder,6
12-unassigned,FOV01_HS34_VDZ_LC_POST_2_Mayo0_Responder,VDZ_POST_Responder,4
03_26-IgA_plasma_cell,FOV01_HS34_VDZ_LC_POST_2_Mayo0_Responder,VDZ_POST_Responder,18
01-IEC_crypt_base,FOV01_HS34_VDZ_LC_POST_2_Mayo0_Responder,VDZ_POST_Responder,7
07-T_cells,FOV01_HS34_VDZ_LC_POST_2_Mayo0_Responder,VDZ_POST_Responder,6
05F-MNP_monocyte_neutrophil,FOV01_HS34_VDZ_LC_POST_2_Mayo0_Responder,VDZ_POST_Responder,11
08_27_IEC_colonocyte,FOV01_HS34_VDZ_LC_POST_2_Mayo0_Responder,VDZ_POST_Responder,10
10_19-B_cells,FOV01_HS34_VDZ_LC_POST_2_Mayo0_Responder,VDZ_POST_Responder,8
05B-MNP-M2_macrophage,FOV01_HS34_VDZ_LC_POST_2_Mayo0_Responder,VDZ_POST_Responder,3
01A-Muscularis mucosae and myofibroblast,FOV01_HS34_VDZ_LC_POST_2_Mayo0_Responder,VDZ_POST_Responder,9
9-CCL3_L3_CCL4_L2hi,FOV01_HS34_VDZ_LC_POST_2_Mayo0_Responder,VDZ_POST_Responder,2
05C-MNP-mDC,FOV01_HS34_VDZ_LC_POST_2_Mayo0_Responder,VDZ_POST_Responder,6
18-unassigned,FOV01_HS34_VDZ_LC_POST_2_Mayo0_Responder,VDZ_POST_Responder,2
02-unassigned,FOV01_HS34_VDZ_LC_POST_2_Mayo0_Responder,VDZ_POST_Responder,5
20_21_23_Endothelial,FOV01_HS34_VDZ_LC_POST_2_Mayo0_Responder,VDZ_POST_Responder,3
14-unassigned,FOV01_HS34_VDZ_LC_POST_2_Mayo0_Responder,VDZ_POST_Responder,4
13-IEC_crypt_base_MHCIIhi,FOV01_HS34_VDZ_LC_POST_2_Mayo0_Responder,VDZ_POST_Responder,11
17-Fibroblast_PLAC9_FZD8hi,FOV01_HS34_VDZ_LC_POST_2_Mayo0_Responder,VDZ_POST_Responder,1
06-Cytotoxic_NK,FOV01_HS34_VDZ_LC_POST_2_Mayo0_Responder,VDZ_POST_Responder,1
13-IEC_crypt_base_MHCIIhi,FOV10_HS34_VDZ_R_POST_2_Mayo0_Responder,VDZ_POST_Responder,5
01-IEC_crypt_base,FOV10_HS34_VDZ_R_POST_2_Mayo0_Responder,VDZ_POST_Responder,533
02-unassigned,FOV10_HS34_VDZ_R_POST_2_Mayo0_Responder,VDZ_POST_Responder,63
06-Cytotoxic_NK,FOV10_HS34_VDZ_R_POST_2_Mayo0_Responder,VDZ_POST_Responder,69
12-unassigned,FOV10_HS34_VDZ_R_POST_2_Mayo0_Responder,VDZ_POST_Responder,34
11_22-IgG_plasma_cell,FOV10_HS34_VDZ_R_POST_2_Mayo0_Responder,VDZ_POST_Responder,37
01A-Muscularis mucosae and myofibroblast,FOV10_HS34_VDZ_R_POST_2_Mayo0_Responder,VDZ_POST_Responder,65
05E-MNP-pDC,FOV10_HS34_VDZ_R_POST_2_Mayo0_Responder,VDZ_POST_Responder,3
16-unassigned,FOV10_HS34_VDZ_R_POST_2_Mayo0_Responder,VDZ_POST_Responder,32
14-unassigned,FOV10_HS34_VDZ_R_POST_2_Mayo0_Responder,VDZ_POST_Responder,37
10_19-B_cells,FOV10_HS34_VDZ_R_POST_2_Mayo0_Responder,VDZ_POST_Responder,48
03_26-IgA_plasma_cell,FOV10_HS34_VDZ_R_POST_2_Mayo0_Responder,VDZ_POST_Responder,165
1B-Fibroblast,FOV10_HS34_VDZ_R_POST_2_Mayo0_Responder,VDZ_POST_Responder,90
05A-MNP-M1_Macrophage,FOV10_HS34_VDZ_R_POST_2_Mayo0_Responder,VDZ_POST_Responder,9
08_27_IEC_colonocyte,FOV10_HS34_VDZ_R_POST_2_Mayo0_Responder,VDZ_POST_Responder,67
04-IEC_CT_coloncyte,FOV10_HS34_VDZ_R_POST_2_Mayo0_Responder,VDZ_POST_Responder,68
18-unassigned,FOV10_HS34_VDZ_R_POST_2_Mayo0_Responder,VDZ_POST_Responder,27
07-T_cells,FOV10_HS34_VDZ_R_POST_2_Mayo0_Responder,VDZ_POST_Responder,57
9-CCL3_L3_CCL4_L2hi,FOV10_HS34_VDZ_R_POST_2_Mayo0_Responder,VDZ_POST_Responder,44
05-MNP_NOS,FOV10_HS34_VDZ_R_POST_2_Mayo0_Responder,VDZ_POST_Responder,57
01C_24_activated_fibroblast,FOV10_HS34_VDZ_R_POST_2_Mayo0_Responder,VDZ_POST_Responder,66
15-Fibroblast_PDGFRBhi,FOV10_HS34_VDZ_R_POST_2_Mayo0_Responder,VDZ_POST_Responder,23
05B-MNP-M2_macrophage,FOV10_HS34_VDZ_R_POST_2_Mayo0_Responder,VDZ_POST_Responder,1
20_21_23_Endothelial,FOV10_HS34_VDZ_R_POST_2_Mayo0_Responder,VDZ_POST_Responder,18
17-Fibroblast_PLAC9_FZD8hi,FOV10_HS34_VDZ_R_POST_2_Mayo0_Responder,VDZ_POST_Responder,37
05F-MNP_monocyte_neutrophil,FOV10_HS34_VDZ_R_POST_2_Mayo0_Responder,VDZ_POST_Responder,7
05G-MNP_activated,FOV10_HS34_VDZ_R_POST_2_Mayo0_Responder,VDZ_POST_Responder,3
05C-MNP-mDC,FOV10_HS34_VDZ_R_POST_2_Mayo0_Responder,VDZ_POST_Responder,6
25-Treg,FOV10_HS34_VDZ_R_POST_2_Mayo0_Responder,VDZ_POST_Responder,3
01-IEC_crypt_base,FOV11_HS33_HC_2,HC,43
10_19-B_cells,FOV11_HS33_HC_2,HC,82
11_22-IgG_plasma_cell,FOV11_HS33_HC_2,HC,21
04-IEC_CT_coloncyte,FOV11_HS33_HC_2,HC,133
08_27_IEC_colonocyte,FOV11_HS33_HC_2,HC,301
12-unassigned,FOV11_HS33_HC_2,HC,40
02-unassigned,FOV11_HS33_HC_2,HC,44
15-Fibroblast_PDGFRBhi,FOV11_HS33_HC_2,HC,40
20_21_23_Endothelial,FOV11_HS33_HC_2,HC,27
03_26-IgA_plasma_cell,FOV11_HS33_HC_2,HC,104
06-Cytotoxic_NK,FOV11_HS33_HC_2,HC,41
1B-Fibroblast,FOV11_HS33_HC_2,HC,34
05F-MNP_monocyte_neutrophil,FOV11_HS33_HC_2,HC,6
01A-Muscularis mucosae and myofibroblast,FOV11_HS33_HC_2,HC,38
07-T_cells,FOV11_HS33_HC_2,HC,47
01C_24_activated_fibroblast,FOV11_HS33_HC_2,HC,12
14-unassigned,FOV11_HS33_HC_2,HC,23
16-unassigned,FOV11_HS33_HC_2,HC,18
05-MNP_NOS,FOV11_HS33_HC_2,HC,34
17-Fibroblast_PLAC9_FZD8hi,FOV11_HS33_HC_2,HC,22
18-unassigned,FOV11_HS33_HC_2,HC,11
05G-MNP_activated,FOV11_HS33_HC_2,HC,1
9-CCL3_L3_CCL4_L2hi,FOV11_HS33_HC_2,HC,26
05A-MNP-M1_Macrophage,FOV11_HS33_HC_2,HC,4
05B-MNP-M2_macrophage,FOV11_HS33_HC_2,HC,5
05E-MNP-pDC,FOV11_HS33_HC_2,HC,1
9-CCL3_L3_CCL4_L2hi,FOV12_HS32_VDZ_RC_POST_3_Mayo0_Responder,VDZ_POST_Responder,68
12-unassigned,FOV12_HS32_VDZ_RC_POST_3_Mayo0_Responder,VDZ_POST_Responder,81
14-unassigned,FOV12_HS32_VDZ_RC_POST_3_Mayo0_Responder,VDZ_POST_Responder,65
16-unassigned,FOV12_HS32_VDZ_RC_POST_3_Mayo0_Responder,VDZ_POST_Responder,60
02-unassigned,FOV12_HS32_VDZ_RC_POST_3_Mayo0_Responder,VDZ_POST_Responder,99
01A-Muscularis mucosae and myofibroblast,FOV12_HS32_VDZ_RC_POST_3_Mayo0_Responder,VDZ_POST_Responder,60
06-Cytotoxic_NK,FOV12_HS32_VDZ_RC_POST_3_Mayo0_Responder,VDZ_POST_Responder,102
10_19-B_cells,FOV12_HS32_VDZ_RC_POST_3_Mayo0_Responder,VDZ_POST_Responder,46
18-unassigned,FOV12_HS32_VDZ_RC_POST_3_Mayo0_Responder,VDZ_POST_Responder,38
05-MNP_NOS,FOV12_HS32_VDZ_RC_POST_3_Mayo0_Responder,VDZ_POST_Responder,17
07-T_cells,FOV12_HS32_VDZ_RC_POST_3_Mayo0_Responder,VDZ_POST_Responder,97
11_22-IgG_plasma_cell,FOV12_HS32_VDZ_RC_POST_3_Mayo0_Responder,VDZ_POST_Responder,46
15-Fibroblast_PDGFRBhi,FOV12_HS32_VDZ_RC_POST_3_Mayo0_Responder,VDZ_POST_Responder,48
01-IEC_crypt_base,FOV12_HS32_VDZ_RC_POST_3_Mayo0_Responder,VDZ_POST_Responder,141
17-Fibroblast_PLAC9_FZD8hi,FOV12_HS32_VDZ_RC_POST_3_Mayo0_Responder,VDZ_POST_Responder,35
08_27_IEC_colonocyte,FOV12_HS32_VDZ_RC_POST_3_Mayo0_Responder,VDZ_POST_Responder,56
05F-MNP_monocyte_neutrophil,FOV12_HS32_VDZ_RC_POST_3_Mayo0_Responder,VDZ_POST_Responder,2
20_21_23_Endothelial,FOV12_HS32_VDZ_RC_POST_3_Mayo0_Responder,VDZ_POST_Responder,55
03_26-IgA_plasma_cell,FOV12_HS32_VDZ_RC_POST_3_Mayo0_Responder,VDZ_POST_Responder,45
