n_a,n_b,effect,se,low,high,p,marker,contrast,group_a,group_b,p_exact,inference,original_Holm_36,targeted_q
6,6,8360.36570710886,1298.19248429615,5038.00085120871,11682.730563009,0.00126919978926562,CXCR4,UC_fibroblasts_vs_alone,N+IF,N,0.00216450216450216,Unpaired biological samples; exploratory review measurements,0.0779220779220779,0.00181314255609375
6,5,5935.55233436801,1300.86449449632,2614.28051468464,9256.82415405137,0.00571029639506043,CXCR4,UC_vs_noninflamed_fibroblasts,N+IF,N+NF,0.00649350649350649,Unpaired biological samples; exploratory review measurements,0.12987012987013,0.00634477377228937
6,6,-6260.25547104147,1322.58555987002,-9576.34864522267,-2944.16229686027,0.00412944076624324,CXCR4,ATN_in_UC,N+IF+ATN,N+IF,0.00216450216450216,Unpaired biological samples; exploratory review measurements,0.0779220779220779,0.00516180095780406
6,6,1910.52451224379,127.46315027842,1614.84252104886,2206.20650343873,5.41231768455011e-07,CXCR4,ATN_alone,N+ATN,N,0.00216450216450216,Unpaired biological samples; exploratory review measurements,0.0779220779220779,5.41231768455011e-06
12,12,-8170.77998328526,1328.71344459804,-11485.8139779899,-4855.74598858064,0.00112745829335122,CXCR4,ATN_context_interaction,,,,Unpaired four-group contrast; heteroscedastic Satterthwaite interval; exploratory,,0.00181314255609375
6,6,474.218952988738,77.650588597993,297.073812137834,651.364093839642,0.0002214760477538,OSM,UC_fibroblasts_vs_alone,N+IF,N,0.00216450216450216,Unpaired biological samples; exploratory review measurements,0.0779220779220779,0.000738253492512665
6,5,455.551954030643,82.4199946473512,268.498076798441,642.605831262845,0.000395509028754685,OSM,UC_vs_noninflamed_fibroblasts,N+IF,N+NF,0.00432900432900433,Unpaired biological samples; exploratory review measurements,0.0952380952380952,0.000988772571886711
6,6,-495.502945412627,75.5219643018682,-669.561976764132,-321.443914061122,0.000173982847997393,OSM,ATN_in_UC,N+IF+ATN,N+IF,0.00216450216450216,Unpaired biological samples; exploratory review measurements,0.0779220779220779,0.000738253492512665
6,6,-49.3277510283953,78.9482433057793,-229.83688248825,131.18138043146,0.548661672509673,OSM,ATN_alone,N+ATN,N,0.58008658008658,Unpaired biological samples; exploratory review measurements,1,0.548661672509673
12,12,-446.175194384232,109.253797247881,-677.289434015298,-215.060954753166,0.000823454565356937,OSM,ATN_context_interaction,,,,Unpaired four-group contrast; heteroscedastic Satterthwaite interval; exploratory,,0.00164690913071387
