experiment,sample,group,marker,label,channel,quantile,threshold,positive_events,neutrophil_events,percent,median_fi,iqr_fi,cxcr4_parent_events,joint_with_cxcr4_events,percent_within_cxcr4,status
co,P1-1,N,CXCR4,CXCR4,V610-A,0.99,229.876206885687,492,493,99.7971602434077,2760.55780908099,2316.89157985315,492,492,100,Provisional above-unstained threshold; no matched FMO
co,P1-1,N,OSM,OSM,R670-A,0.99,29.9038450367739,263,493,53.3468559837728,40.7932376322665,192.536165912982,492,263,53.4552845528455,Provisional above-unstained threshold; no matched FMO
co,P1-10,N+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,9156,9159,99.9672453324599,3026.19754875786,1916.93896301452,9156,9156,100,Provisional above-unstained threshold; no matched FMO
co,P1-10,N+FK,OSM,OSM,R670-A,0.99,29.9038450367739,1242,9159,13.5604323616115,-210.090612424393,322.204825738052,9156,1241,13.5539536915684,Provisional above-unstained threshold; no matched FMO
co,P1-11,N+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,820,821,99.878197320341,2550.85600587785,2010.45284969866,820,820,100,Provisional above-unstained threshold; no matched FMO
co,P1-11,N+FK,OSM,OSM,R670-A,0.99,29.9038450367739,414,821,50.4263093788063,33.18392488239,289.888890526963,820,414,50.4878048780488,Provisional above-unstained threshold; no matched FMO
co,P1-12,N+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,1104,1104,100,2379.97423347445,1746.42862482719,1104,1104,100,Provisional above-unstained threshold; no matched FMO
co,P1-12,N+FK,OSM,OSM,R670-A,0.99,29.9038450367739,320,1104,28.9855072463768,-39.2040756818957,181.872336146751,1104,320,28.9855072463768,Provisional above-unstained threshold; no matched FMO
co,P1-2,N,CXCR4,CXCR4,V610-A,0.99,229.876206885687,748,752,99.468085106383,2654.20276990095,2167.47719464204,748,748,100,Provisional above-unstained threshold; no matched FMO
co,P1-2,N,OSM,OSM,R670-A,0.99,29.9038450367739,527,752,70.0797872340426,99.5764583819575,196.590475535916,748,524,70.0534759358289,Provisional above-unstained threshold; no matched FMO
co,P1-3,N,CXCR4,CXCR4,V610-A,0.99,229.876206885687,2487,2504,99.3210862619808,2855.30257618651,2193.65264982203,2487,2487,100,Provisional above-unstained threshold; no matched FMO
co,P1-3,N,OSM,OSM,R670-A,0.99,29.9038450367739,462,2504,18.4504792332268,-139.555305308783,329.674901413513,2487,455,18.2951347004423,Provisional above-unstained threshold; no matched FMO
co,P1-4,N,CXCR4,CXCR4,V610-A,0.99,229.876206885687,9904,9906,99.9798102160307,3266.19247845748,2011.81103108921,9904,9904,100,Provisional above-unstained threshold; no matched FMO
co,P1-4,N,OSM,OSM,R670-A,0.99,29.9038450367739,2534,9906,25.5804562891177,-120.919638999458,341.996427146702,9904,2533,25.5755250403877,Provisional above-unstained threshold; no matched FMO
co,P1-5,N,CXCR4,CXCR4,V610-A,0.99,229.876206885687,1679,1679,100,3204.74686090422,2736.26098835862,1679,1679,100,Provisional above-unstained threshold; no matched FMO
co,P1-5,N,OSM,OSM,R670-A,0.99,29.9038450367739,488,1679,29.064919594997,-81.5252042201831,286.216812548098,1679,488,29.064919594997,Provisional above-unstained threshold; no matched FMO
co,P1-6,N,CXCR4,CXCR4,V610-A,0.99,229.876206885687,434,435,99.7701149425287,2641.6498583799,2355.38414410604,434,434,100,Provisional above-unstained threshold; no matched FMO
co,P1-6,N,OSM,OSM,R670-A,0.99,29.9038450367739,71,435,16.3218390804598,-142.516192387374,269.8892398487,434,71,16.3594470046083,Provisional above-unstained threshold; no matched FMO
co,P1-7,N+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,2127,2127,100,2979.35241091279,2027.9614307079,2127,2127,100,Provisional above-unstained threshold; no matched FMO
co,P1-7,N+FK,OSM,OSM,R670-A,0.99,29.9038450367739,1601,2127,75.2703338034791,143.342631421944,224.718315047531,2127,1601,75.2703338034791,Provisional above-unstained threshold; no matched FMO
co,P1-8,N+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,2562,2562,100,2688.66079002062,1855.64430331505,2562,2562,100,Provisional above-unstained threshold; no matched FMO
co,P1-8,N+FK,OSM,OSM,R670-A,0.99,29.9038450367739,649,2562,25.3317720530835,-79.0282826182093,221.585925738164,2562,649,25.3317720530835,Provisional above-unstained threshold; no matched FMO
co,P1-9,N+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,11093,11099,99.9459410757726,3005.38671597732,1894.20375563438,11093,11093,100,Provisional above-unstained threshold; no matched FMO
co,P1-9,N+FK,OSM,OSM,R670-A,0.99,29.9038450367739,2284,11099,20.5784304892333,-143.710920259744,301.815893610766,11093,2281,20.5625169025512,Provisional above-unstained threshold; no matched FMO
co,P3-1,N+IF,CXCR4,CXCR4,V610-A,0.99,229.876206885687,2604,2604,100,8345.75370265006,5670.49053949042,2604,2604,100,Provisional above-unstained threshold; no matched FMO
co,P3-1,N+IF,OSM,OSM,R670-A,0.99,29.9038450367739,2580,2604,99.0783410138249,575.033502477877,430.048536382919,2604,2580,99.0783410138249,Provisional above-unstained threshold; no matched FMO
co,P3-10,N+IF+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,6185,6185,100,6957.7459014134,4609.65168055794,6185,6185,100,Provisional above-unstained threshold; no matched FMO
co,P3-10,N+IF+FK,OSM,OSM,R670-A,0.99,29.9038450367739,6113,6185,98.8358932902183,492.853458267888,339.875908474164,6185,6113,98.8358932902183,Provisional above-unstained threshold; no matched FMO
co,P3-11,N+IF+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,2028,2028,100,7077.23481592714,4830.9766057192,2028,2028,100,Provisional above-unstained threshold; no matched FMO
co,P3-11,N+IF+FK,OSM,OSM,R670-A,0.99,29.9038450367739,1999,2028,98.5700197238659,638.826532732902,370.748574299888,2028,1999,98.5700197238659,Provisional above-unstained threshold; no matched FMO
co,P3-12,N+IF+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,1392,1392,100,8192.83329848344,5703.7802739135,1392,1392,100,Provisional above-unstained threshold; no matched FMO
co,P3-12,N+IF+FK,OSM,OSM,R670-A,0.99,29.9038450367739,1328,1392,95.4022988505747,451.113920570283,340.656083152322,1392,1328,95.4022988505747,Provisional above-unstained threshold; no matched FMO
co,P3-2,N+IF,CXCR4,CXCR4,V610-A,0.99,229.876206885687,739,739,100,12230.5310562744,7350.83219313572,739,739,100,Provisional above-unstained threshold; no matched FMO
co,P3-2,N+IF,OSM,OSM,R670-A,0.99,29.9038450367739,638,739,86.3328822733424,368.842871022831,349.840279088322,739,638,86.3328822733424,Provisional above-unstained threshold; no matched FMO
co,P3-3,N+IF,CXCR4,CXCR4,V610-A,0.99,229.876206885687,4418,4418,100,10670.2015650958,6751.56458186165,4418,4418,100,Provisional above-unstained threshold; no matched FMO
co,P3-3,N+IF,OSM,OSM,R670-A,0.99,29.9038450367739,4308,4418,97.5101856043459,483.649429590589,342.341688092476,4418,4308,97.5101856043459,Provisional above-unstained threshold; no matched FMO
co,P3-4,N+IF,CXCR4,CXCR4,V610-A,0.99,229.876206885687,5561,5561,100,8260.47303750204,5696.6363636686,5561,5561,100,Provisional above-unstained threshold; no matched FMO
