experiment,sample,group,marker,label,channel,quantile,threshold,positive_events,neutrophil_events,percent,median_fi,iqr_fi,cxcr4_parent_events,joint_with_cxcr4_events,percent_within_cxcr4,status
co,P1-1,N,CXCR4,CXCR4,V610-A,0.99,229.876206885687,492,493,99.7971602434077,2760.55780908099,2316.89157985315,492,492,100,Provisional above-unstained threshold; no matched FMO
co,P1-1,N,OSM,OSM,R670-A,0.99,29.9038450367739,263,493,53.3468559837728,40.7932376322665,192.536165912982,492,263,53.4552845528455,Provisional above-unstained threshold; no matched FMO
co,P1-1,N,B515,B515 signal (marker annotation unresolved),B515-A,0.99,124.969641045739,465,493,94.3204868154158,11223.0683823817,9460.55635466524,492,464,94.3089430894309,Provisional above-unstained threshold; no matched FMO
co,P1-1,N,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,481,493,97.5659229208925,8149.8462386626,5603.37193590332,492,480,97.5609756097561,Provisional above-unstained threshold; no matched FMO
co,P1-10,N+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,9156,9159,99.9672453324599,3026.19754875786,1916.93896301452,9156,9156,100,Provisional above-unstained threshold; no matched FMO
co,P1-10,N+FK,OSM,OSM,R670-A,0.99,29.9038450367739,1242,9159,13.5604323616115,-210.090612424393,322.204825738052,9156,1241,13.5539536915684,Provisional above-unstained threshold; no matched FMO
co,P1-10,N+FK,B515,B515 signal (marker annotation unresolved),B515-A,0.99,124.969641045739,9152,9159,99.9235724424064,19835.2180290032,8857.21167765276,9156,9149,99.9235474006116,Provisional above-unstained threshold; no matched FMO
co,P1-10,N+FK,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,9154,9159,99.9454088874331,10568.0236794907,5261.4717933106,9156,9151,99.9453910004369,Provisional above-unstained threshold; no matched FMO
co,P1-11,N+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,820,821,99.878197320341,2550.85600587785,2010.45284969866,820,820,100,Provisional above-unstained threshold; no matched FMO
co,P1-11,N+FK,OSM,OSM,R670-A,0.99,29.9038450367739,414,821,50.4263093788063,33.18392488239,289.888890526963,820,414,50.4878048780488,Provisional above-unstained threshold; no matched FMO
co,P1-11,N+FK,B515,B515 signal (marker annotation unresolved),B515-A,0.99,124.969641045739,810,821,98.6601705237515,11625.8793356801,7457.52796327455,820,809,98.6585365853659,Provisional above-unstained threshold; no matched FMO
co,P1-11,N+FK,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,816,821,99.3909866017052,5041.46576463076,2765.17132312384,820,815,99.390243902439,Provisional above-unstained threshold; no matched FMO
co,P1-12,N+FK,CXCR4,CXCR4,V610-A,0.99,229.876206885687,1104,1104,100,2379.97423347445,1746.42862482719,1104,1104,100,Provisional above-unstained threshold; no matched FMO
co,P1-12,N+FK,OSM,OSM,R670-A,0.99,29.9038450367739,320,1104,28.9855072463768,-39.2040756818957,181.872336146751,1104,320,28.9855072463768,Provisional above-unstained threshold; no matched FMO
co,P1-12,N+FK,B515,B515 signal (marker annotation unresolved),B515-A,0.99,124.969641045739,1095,1104,99.1847826086957,11539.4313190266,6957.5748891606,1104,1095,99.1847826086957,Provisional above-unstained threshold; no matched FMO
co,P1-12,N+FK,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,1099,1104,99.5471014492754,5222.25947918539,3356.59414899768,1104,1099,99.5471014492754,Provisional above-unstained threshold; no matched FMO
co,P1-2,N,CXCR4,CXCR4,V610-A,0.99,229.876206885687,748,752,99.468085106383,2654.20276990095,2167.47719464204,748,748,100,Provisional above-unstained threshold; no matched FMO
co,P1-2,N,OSM,OSM,R670-A,0.99,29.9038450367739,527,752,70.0797872340426,99.5764583819575,196.590475535916,748,524,70.0534759358289,Provisional above-unstained threshold; no matched FMO
co,P1-2,N,B515,B515 signal (marker annotation unresolved),B515-A,0.99,124.969641045739,714,752,94.9468085106383,7622.86916827846,6132.44032363789,748,710,94.9197860962567,Provisional above-unstained threshold; no matched FMO
co,P1-2,N,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,733,752,97.4734042553192,5534.25220675685,3657.40953939948,748,729,97.4598930481283,Provisional above-unstained threshold; no matched FMO
co,P1-3,N,CXCR4,CXCR4,V610-A,0.99,229.876206885687,2487,2504,99.3210862619808,2855.30257618651,2193.65264982203,2487,2487,100,Provisional above-unstained threshold; no matched FMO
