experiment,sample,group,raw_events,singlet_events,neutrophil_events,viability_channel_present,viability_gate_applied,low_parent_n,source_file,matrix_sha256
co,P1-1,N,18090,3588,493,TRUE,FALSE,FALSE,jyye_john_coculture_fixed\samples_p1-1.fcs,90424beaac125a11999b2efcf30ff270fa71e41dfa800c3dd81d150ea5693ac4
co,P1-10,N+FK,16636,10702,9159,FALSE,FALSE,FALSE,jyye_john_coculture_fixed\samples_p1-10.fcs,90424beaac125a11999b2efcf30ff270fa71e41dfa800c3dd81d150ea5693ac4
co,P1-11,N+FK,12936,3573,821,FALSE,FALSE,FALSE,jyye_john_coculture_fixed\samples_p1-11.fcs,90424beaac125a11999b2efcf30ff270fa71e41dfa800c3dd81d150ea5693ac4
co,P1-12,N+FK,10000,3013,1104,FALSE,FALSE,FALSE,jyye_john_coculture_fixed\samples_p1-12.fcs,90424beaac125a11999b2efcf30ff270fa71e41dfa800c3dd81d150ea5693ac4
co,P1-2,N,16418,4890,752,TRUE,FALSE,FALSE,jyye_john_coculture_fixed\samples_p1-2.fcs,90424beaac125a11999b2efcf30ff270fa71e41dfa800c3dd81d150ea5693ac4
co,P1-3,N,20000,6310,2504,TRUE,FALSE,FALSE,jyye_john_coculture_fixed\samples_p1-3.fcs,90424beaac125a11999b2efcf30ff270fa71e41dfa800c3dd81d150ea5693ac4
co,P1-4,N,20877,11956,9906,FALSE,FALSE,FALSE,jyye_john_coculture_fixed\samples_p1-4.fcs,90424beaac125a11999b2efcf30ff270fa71e41dfa800c3dd81d150ea5693ac4
co,P1-5,N,19244,5595,1679,FALSE,FALSE,FALSE,jyye_john_coculture_fixed\samples_p1-5.fcs,90424beaac125a11999b2efcf30ff270fa71e41dfa800c3dd81d150ea5693ac4
co,P1-6,N,10000,2917,435,FALSE,FALSE,FALSE,jyye_john_coculture_fixed\samples_p1-6.fcs,90424beaac125a11999b2efcf30ff270fa71e41dfa800c3dd81d150ea5693ac4
co,P1-7,N+FK,8556,3610,2127,FALSE,FALSE,FALSE,jyye_john_coculture_fixed\samples_p1-7.fcs,90424beaac125a11999b2efcf30ff270fa71e41dfa800c3dd81d150ea5693ac4
co,P1-8,N+FK,10000,4169,2562,FALSE,FALSE,FALSE,jyye_john_coculture_fixed\samples_p1-8.fcs,90424beaac125a11999b2efcf30ff270fa71e41dfa800c3dd81d150ea5693ac4
co,P1-9,N+FK,20000,13129,11099,FALSE,FALSE,FALSE,jyye_john_coculture_fixed\samples_p1-9.fcs,90424beaac125a11999b2efcf30ff270fa71e41dfa800c3dd81d150ea5693ac4
co,P3-1,N+IF,10000,2878,2604,FALSE,FALSE,FALSE,jyye_john_coculture_fixed\samples_p3-1.fcs,90424beaac125a11999b2efcf30ff270fa71e41dfa800c3dd81d150ea5693ac4
