DonorID,ConditionCode,clean_cell_class,clean_state,cells,resolved,median_UMI,median_genes
Donor6,N,Neutrophil,Low-signal/unresolved,902,0,148,104
Donor1,N,Neutrophil,PADI4,3,3,3936,1656
Donor4,N,Neutrophil,Low-signal/unresolved,226,0,136,95
Donor2,NNAMPT,Neutrophil,Low-signal/unresolved,337,0,137,93
Donor1,NNAMPT,Neutrophil,Low-signal/unresolved,107,0,134,91
Donor6,N,Neutrophil,PADI4,70,65,838,536.5
Donor5,N,Neutrophil,Low-signal/unresolved,72,0,143,108.5
Donor3,N,Neutrophil,Low-signal/unresolved,102,0,153,102
Donor6,N,Neutrophil,OSM,575,563,176,119
Donor5,NNAMPT,Neutrophil,CXCR4,10,9,192,144.5
Donor4,NNAMPT,Neutrophil,Low-signal/unresolved,317,0,140,98
Donor1,N,Neutrophil,Low-signal/unresolved,77,0,132,92
Donor6,N,Neutrophil,CXCR4,159,156,330,207
Donor2,NNAMPT,Neutrophil,OSM,168,162,161.5,110.5
Donor6,N,Neutrophil,MX1/ISG-like,17,17,2259,1019
Donor1,N,Neutrophil,CXCR4,10,10,1247.5,585.5
Donor2,NNAMPT,Neutrophil,CXCR4,45,44,255,163
Donor4,NNAMPT,Neutrophil,OSM,165,157,187,130
Donor1,NNAMPT,Neutrophil,OSM,51,49,155,104
Donor5,N,Neutrophil,OSM,49,48,184,125
Donor5,NNAMPT,Neutrophil,Low-signal/unresolved,60,0,136.5,97
Donor1,N,Neutrophil,OSM,42,42,162.5,115
Donor5,NNAMPT,Neutrophil,OSM,34,31,151,118.5
Donor4,N,Neutrophil,CXCR4,49,47,1019,446
Donor5,N,Neutrophil,CXCR4,11,11,203,147
Donor4,N,Neutrophil,OSM,171,168,202,128
Donor2,N,Neutrophil,Low-signal/unresolved,65,0,149,102
Donor3,N,Neutrophil,CXCR4,33,32,1170,593
Donor4,NNAMPT,Neutrophil,CXCR4,62,59,1699,786
Donor4,NNAMPT,Neutrophil,PADI4,11,11,1966,885
Donor4,N,Neutrophil,MX1/ISG-like,8,7,3169.5,1250
Donor3,N,Neutrophil,OSM,61,57,213,148
Donor3,NNAMPT,Neutrophil,OSM,21,20,249,153
Donor2,N,Neutrophil,OSM,41,39,177,128
Donor3,NNAMPT,Neutrophil,CXCR4,16,16,861.5,484
Donor3,NNAMPT,Neutrophil,Low-signal/unresolved,18,0,284,160
Donor2,N,Neutrophil,CXCR4,8,8,731,412
Donor2,NNAMPT,Neutrophil,PADI4,7,6,1130,692
Donor6,NNAMPT,Neutrophil,OSM,13,12,145,107
Donor1,NNAMPT,Neutrophil,CXCR4,15,14,251,183
Donor6,NNAMPT,Neutrophil,Low-signal/unresolved,14,0,134,90.5
Donor4,N,Neutrophil,PADI4,12,12,656,365.5
Donor3,N,Neutrophil,PADI4,10,10,525.5,363
Donor4,NNAMPT,Neutrophil,MX1/ISG-like,6,6,2881,1091
Donor5,N,Neutrophil,MX1/ISG-like,1,1,4280,1506
Donor3,NNAMPT,Neutrophil,PADI4,3,3,1918,864
Donor3,N,Neutrophil,MX1/ISG-like,3,3,2638,884
Donor5,NNAMPT,Neutrophil,MX1/ISG-like,1,1,2912,1078
Donor2,NNAMPT,Neutrophil,MX1/ISG-like,3,3,2852,1156
Donor6,NNAMPT,Neutrophil,CXCR4,1,1,3435,1023
Donor3,NNAMPT,Neutrophil,MX1/ISG-like,3,3,3302,1179
Donor5,N,Neutrophil,PADI4,1,1,278,209
Donor6,UF,Neutrophil,Low-signal/unresolved,1640,0,147,101
Donor3,UF,Neutrophil,Low-signal/unresolved,1567,0,213,129
Donor4,UF,Neutrophil,OSM,2237,2162,2100,807
Donor2,UF,Neutrophil,Low-signal/unresolved,2366,0,146,99
Donor4,UF,Neutrophil,Low-signal/unresolved,2690,0,195,122
Donor4,UN,Neutrophil,Low-signal/unresolved,1230,0,152,103
Donor4,UN,Neutrophil,OSM,478,448,2338,887.5
Donor3,UN,Neutrophil,OSM,1155,1122,2023,812
Donor2,UN,Neutrophil,Low-signal/unresolved,1446,0,143,98
Donor2,UF,Neutrophil,PADI4,23,23,527,232
Donor3,UN,Neutrophil,CXCR4,1182,1169,2387,921
Donor3,UF,Neutrophil,CXCR4,844,832,2413.5,920.5
Donor3,UN,Neutrophil,Low-signal/unresolved,1968,0,199.5,125
Donor3,UF,Neutrophil,OSM,1373,1302,2114,824
