gene,logFC,logCPM,F,PValue,FDR,population,contrast,n_donors,tested_genes
A2ML1,2.2677830267595,2.24709099611011,3.48031491226535,0.0630152799633364,0.228370960712139,Resolved,alpha_interaction,4,16812
A2ML1-AS1,1.5664906537492,4.64754920480169,6.29545009541983,0.0126040319364862,0.0749309828137826,Resolved,alpha_interaction,4,16812
A3GALT2,1.7824102149759,3.17579177372002,3.78173840317023,0.0526892780031216,0.205239143139129,Resolved,alpha_interaction,4,16812
AAAS,1.46413360193194,1.12171360804114,0.560443687766934,0.454635703671173,0.668005546163474,Resolved,alpha_interaction,4,16812
AACS,0.270708209800888,3.08927295505428,0.107041439459334,0.743752744900606,0.860266332801444,Resolved,alpha_interaction,4,16812
AACSP1,2.35562426465733,1.72597808817412,2.46604588686252,0.117327260988092,0.334015918149068,Resolved,alpha_interaction,4,16812
AADACL2-AS1,-1.82664004432192,8.58930526544657,42.1301407214234,3.31069917980967e-10,2.76912809009752e-08,Resolved,alpha_interaction,4,16812
AAGAB,-1.11572238545682,3.6478690026506,1.58789132508596,0.208547678587264,0.455972491851808,Resolved,alpha_interaction,4,16812
AAK1,-0.108516617376179,5.62345123011552,0.0619903890752025,0.803539008935193,0.897270228523301,Resolved,alpha_interaction,4,16812
AAMDC,0.571523132070351,3.00516953782323,0.373216766784869,0.541689566672405,0.730629410813738,Resolved,alpha_interaction,4,16812
AAMP,0.0789223642885682,3.7441949416585,0.0115864210795434,0.914348752878539,0.959079541150205,Resolved,alpha_interaction,4,16812
AANAT,1.57926658910567,1.03963134709078,0.622905256495087,0.430556599420287,0.650682924458294,Resolved,alpha_interaction,4,16812
AARD,1.07235848936421,0.949667307233307,0.305919601878724,0.58058257611168,0.756647617797641,Resolved,alpha_interaction,4,16812
AARS1,-0.559388917431779,3.10330028188191,0.249152124117991,0.618016327459006,0.781712284108656,Resolved,alpha_interaction,4,16812
AASDH,-0.331435988694769,1.47036166582956,0.0390795164063802,0.843417521618305,0.919804460529618,Resolved,alpha_interaction,4,16812
AASDHPPT,-5.77882820245279,1.78258794699823,2.05405867359019,0.152792626343565,0.387326543137517,Resolved,alpha_interaction,4,16812
AASS,1.13964128496049,1.20855463124992,0.365937647054415,0.545660476388932,0.733656744165924,Resolved,alpha_interaction,4,16812
AATF,-0.273854993673586,5.63630274343038,0.382006248326452,0.536976337668349,0.726958938665012,Resolved,alpha_interaction,4,16812
AATK,-1.44789679560675,6.87834638340016,13.707943125329,0.000251878238817452,0.00342326350121181,Resolved,alpha_interaction,4,16812
ABAT,0.0110216066442123,4.95315519053488,0.000478387007774845,0.982563764708163,0.992004684859094,Resolved,alpha_interaction,4,16812
ABCA1,-1.43257186049582,6.72996583290777,14.031439100775,0.000213628683714052,0.0029805190295441,Resolved,alpha_interaction,4,16812
ABCA10,1.58296739225984,1.78125262505906,1.7969762936684,0.18103762100234,0.424018456992386,Resolved,alpha_interaction,4,16812
ABCA12,0.902709360388794,1.98865707635084,0.249877209503367,0.617506983161908,0.781550552705113,Resolved,alpha_interaction,4,16812
ABCA13,-1.33127405160389,4.92735812973227,4.2845727738587,0.0392665624313628,0.168706733349366,Resolved,alpha_interaction,4,16812
ABCA2,0.87003347042307,2.76273839811081,0.826441332589325,0.363984951109848,0.598381043057653,Resolved,alpha_interaction,4,16812
ABCA3,1.29917545807944,2.00191252248793,1.27862531326918,0.259000617182214,0.50835050691873,Resolved,alpha_interaction,4,16812
ABCA4,0.847546725784312,1.52239238601132,0.216361898103339,0.642143765076731,0.797261722064102,Resolved,alpha_interaction,4,16812
ABCA5,1.12984441180983,2.97785466687535,2.10699338182823,0.147611097813561,0.380543271197243,Resolved,alpha_interaction,4,16812
ABCA7,0.847835594527343,4.83143145513575,2.60968210488699,0.10720905061294,0.316592950317445,Resolved,alpha_interaction,4,16812
ABCA8,1.44268303396306,1.41775889253443,0.573612282081849,0.449388957407423,0.664888423121852,Resolved,alpha_interaction,4,16812
ABCA9,-5.54968208529832,1.60157917485598,1.66733636677099,0.19756375052673,0.443154339406989,Resolved,alpha_interaction,4,16812
ABCA9-AS1,1.62861659771776,0.871645271146063,0.65798239558969,0.417877837811507,0.640729985035889,Resolved,alpha_interaction,4,16812
ABCB1,1.25828658388942,3.0335482539471,1.98743731961559,0.159581604255238,0.396497835239544,Resolved,alpha_interaction,4,16812
ABCB10,-5.12869435020373,1.79462222197714,1.31059138782527,0.253156967631009,0.502666226504372,Resolved,alpha_interaction,4,16812
