DonorID,ConditionCode,neutrophil_cluster_annotation,N
Donor1,N,CCL3/CCL4 inflammatory neutrophil,1
Donor6,N,LTF/BPI immature neutrophil,49
Donor6,N,Low-signal neutrophil,281
Donor5,NNAMPT,Activated OSM/CXCR4 neutrophil,14
Donor6,N,Activated OSM/CXCR4 neutrophil,311
Donor2,NNAMPT,IL1R2+ inflammatory neutrophil,34
Donor1,N,Activated OSM/CXCR4 neutrophil,12
Donor6,N,IL1R2+ inflammatory neutrophil,109
Donor2,NNAMPT,Low-signal neutrophil,92
Donor2,NNAMPT,Activated OSM/CXCR4 neutrophil,80
Donor1,NNAMPT,IL1R2+ inflammatory neutrophil,7
Donor4,NNAMPT,Low-signal neutrophil,102
Donor1,N,Low-signal neutrophil,27
Donor5,NNAMPT,Low-signal neutrophil,20
Donor2,NNAMPT,LTF/BPI immature neutrophil,3
Donor4,N,RORA+ atypical neutrophil,1
Donor4,NNAMPT,Activated OSM/CXCR4 neutrophil,72
Donor5,N,Activated OSM/CXCR4 neutrophil,19
Donor4,N,Low-signal neutrophil,109
Donor3,N,DHFR+ proliferative/stress neutrophil,5
Donor3,N,Low-signal neutrophil,40
Donor4,N,IL1R2+ inflammatory neutrophil,28
Donor1,NNAMPT,Activated OSM/CXCR4 neutrophil,21
Donor4,NNAMPT,RORA+ atypical neutrophil,2
Donor6,N,CCL3/CCL4 inflammatory neutrophil,6
Donor4,NNAMPT,IL1R2+ inflammatory neutrophil,44
Donor4,N,DHFR+ proliferative/stress neutrophil,7
Donor4,NNAMPT,LTF/BPI immature neutrophil,4
Donor4,N,Activated OSM/CXCR4 neutrophil,78
Donor3,N,IL1R2+ inflammatory neutrophil,16
Donor1,NNAMPT,Low-signal neutrophil,31
Donor3,NNAMPT,Activated OSM/CXCR4 neutrophil,22
Donor2,N,Low-signal neutrophil,26
Donor3,N,Activated OSM/CXCR4 neutrophil,36
Donor5,N,CCL3/CCL4 inflammatory neutrophil,1
Donor4,N,PADI4/translation-high neutrophil,6
Donor6,N,RORA+ atypical neutrophil,4
Donor2,N,Activated OSM/CXCR4 neutrophil,17
Donor6,NNAMPT,Activated OSM/CXCR4 neutrophil,5
Donor5,N,Low-signal neutrophil,30
Donor1,N,IL1R2+ inflammatory neutrophil,10
Donor5,N,DHFR+ proliferative/stress neutrophil,4
Donor4,NNAMPT,PADI4/translation-high neutrophil,3
Donor2,NNAMPT,PADI4/translation-high neutrophil,4
Donor6,N,DHFR+ proliferative/stress neutrophil,17
Donor6,N,PADI4/translation-high neutrophil,24
Donor6,NNAMPT,Low-signal neutrophil,7
Donor1,NNAMPT,PADI4/translation-high neutrophil,3
Donor4,N,LTF/BPI immature neutrophil,3
Donor5,N,PADI4/translation-high neutrophil,1
Donor3,N,PADI4/translation-high neutrophil,2
Donor3,NNAMPT,Low-signal neutrophil,9
Donor1,N,PADI4/translation-high neutrophil,3
Donor2,NNAMPT,CCL3/CCL4 inflammatory neutrophil,1
Donor5,N,IL1R2+ inflammatory neutrophil,5
Donor3,NNAMPT,IL1R2+ inflammatory neutrophil,8
Donor5,NNAMPT,IL1R2+ inflammatory neutrophil,4
