barcode,DonorID,ConditionCode,neutrophil_cluster_annotation,neutrophil_state_annotation,lineage_eligible
A_13881,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_28390,Donor1,N,CCL3/CCL4 inflammatory neutrophil,PADI4 neutrophil,TRUE
A_32877,Donor4,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_46587,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_69322,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_99404,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_108709,Donor1,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_120905,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_125741,Donor2,NNAMPT,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_125913,Donor6,N,LTF/BPI immature neutrophil,PADI4 neutrophil,TRUE
A_150240,Donor5,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_152928,Donor6,N,LTF/BPI immature neutrophil,PADI4 neutrophil,TRUE
A_159116,Donor1,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_160903,Donor3,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_180243,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_182998,Donor5,NNAMPT,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_188245,Donor6,N,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_206614,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_211278,Donor6,N,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_226174,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_245149,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_275667,Donor1,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_395785,Donor6,N,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_398132,Donor2,NNAMPT,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_417739,Donor6,N,Activated OSM/CXCR4 neutrophil,MX1/ISG neutrophil,TRUE
A_428205,Donor6,N,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_434415,Donor1,N,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_454984,Donor6,N,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_465797,Donor6,N,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_488458,Donor2,NNAMPT,Low-signal neutrophil,CXCR4 neutrophil,TRUE
A_520334,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_521467,Donor2,NNAMPT,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_528274,Donor6,N,LTF/BPI immature neutrophil,Low-signal/unresolved neutrophil,TRUE
A_540692,Donor1,NNAMPT,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_551203,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_564317,Donor6,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_653769,Donor4,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_660562,Donor5,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_668548,Donor2,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_679733,Donor5,NNAMPT,LTF/BPI immature neutrophil,Low-signal/unresolved neutrophil,TRUE
A_679794,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_692476,Donor5,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_698076,Donor6,N,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_719108,Donor1,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_727826,Donor5,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_750803,Donor2,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_751179,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_799354,Donor6,N,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_868781,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_869795,Donor6,N,Low-signal neutrophil,CXCR4 neutrophil,TRUE
A_872505,Donor6,N,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
A_878530,Donor6,N,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_887554,Donor5,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_887749,Donor2,NNAMPT,LTF/BPI immature neutrophil,CXCR4 neutrophil,TRUE
A_893788,Donor4,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_903976,Donor6,N,LTF/BPI immature neutrophil,PADI4 neutrophil,TRUE
A_915472,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_924986,Donor4,N,RORA+ atypical neutrophil,CXCR4 neutrophil,TRUE
A_933366,Donor5,NNAMPT,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_933878,Donor3,N,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
A_943737,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_951645,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_958205,Donor4,NNAMPT,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
A_966970,Donor2,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_978364,Donor5,N,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_983723,Donor4,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_1003579,Donor1,NNAMPT,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1007489,Donor4,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_1024125,Donor6,N,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
A_1024454,Donor4,NNAMPT,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1058105,Donor6,N,Low-signal neutrophil,OSM neutrophil,TRUE
A_1077407,Donor6,N,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1078851,Donor2,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1082091,Donor4,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1082524,Donor1,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1094347,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1107265,Donor3,N,DHFR+ proliferative/stress neutrophil,CXCR4 neutrophil,TRUE
A_1185816,Donor1,NNAMPT,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1187654,Donor6,N,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1218532,Donor3,N,Low-signal neutrophil,CXCR4 neutrophil,TRUE
A_1228139,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1234486,Donor2,NNAMPT,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1237872,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1265495,Donor6,N,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1265652,Donor1,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1265683,Donor4,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
A_1312625,Donor2,NNAMPT,Low-signal neutrophil,OSM neutrophil,TRUE
A_1320078,Donor1,NNAMPT,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
