program,population,version,n,effect,se,low,high,p,p_signflip,same_sign,contrast,min_cells,q,q_signflip
NETosis,All annotated,full_gene,6,-0.0361368912143095,0.0363336222458267,-0.129535440582303,0.0572616581536842,0.36560285635438,0.4375,3,alpha_interaction,0,0.393726152997025,0.471153846153846
NETosis,All annotated,identity_markers_removed,6,-0.0313929935505436,0.0414940485658007,-0.138056841080802,0.0752708539797147,0.483413306084202,0.46875,3,alpha_interaction,0,0.483413306084202,0.504807692307692
NETosis,Resolved,full_gene,6,-0.203056442045609,0.0600407358373832,-0.357396066987424,-0.0487168171037935,0.0196318737558942,0.03125,6,alpha_interaction,0,0.0392637475117884,0.04375
NETosis,Resolved,identity_markers_removed,6,-0.209958065414605,0.0653682115271471,-0.377992402594321,-0.041923728234888,0.023677729821198,0.03125,6,alpha_interaction,0,0.047355459642396,0.0486111111111111
NETosis,Resolved; >=100 genes,full_gene,6,-0.193280793569952,0.0606184527029714,-0.34910548699259,-0.0374561001473151,0.0243062657384373,0.03125,6,alpha_interaction,0,0.0470699508260786,0.0486111111111111
NETosis,Resolved; >=100 genes,identity_markers_removed,6,-0.20224666484344,0.0653034034088159,-0.370114407451372,-0.0343789222355069,0.0269437062350392,0.03125,6,alpha_interaction,0,0.0470699508260786,0.0486111111111111
Degranulation,All annotated,full_gene,6,0.0855735788616771,0.0297526272751747,0.00909201562565551,0.162055142097699,0.0347432145831686,0.03125,6,alpha_interaction,0,0.0810675006940601,0.0625
Degranulation,All annotated,identity_markers_removed,6,0.0855735788616771,0.0297526272751747,0.00909201562565551,0.162055142097699,0.0347432145831686,0.03125,6,alpha_interaction,0,0.0810675006940601,0.0625
Degranulation,Resolved,full_gene,6,-0.0374055874152107,0.0542762697109447,-0.176927180440263,0.102116005609841,0.521385867509984,0.5625,4,alpha_interaction,0,0.521385867509984,0.5625
Degranulation,Resolved,identity_markers_removed,6,-0.0374055874152107,0.0542762697109447,-0.176927180440263,0.102116005609841,0.521385867509984,0.5625,4,alpha_interaction,0,0.521385867509984,0.5625
Degranulation,Resolved; >=100 genes,full_gene,6,0.00614942737160463,0.0617490695276999,-0.152581609123745,0.164880463866954,0.924541551668813,0.9375,3,alpha_interaction,0,0.924541551668813,0.9375
Degranulation,Resolved; >=100 genes,identity_markers_removed,6,0.00614942737160463,0.0617490695276999,-0.152581609123745,0.164880463866954,0.924541551668813,0.9375,3,alpha_interaction,0,0.924541551668813,0.9375
Oxidative_burst,All annotated,full_gene,6,-0.138279783224911,0.0761618581810119,-0.334060072433329,0.0575005059835075,0.129137620078364,0.15625,5,alpha_interaction,0,0.164356971008827,0.198863636363636
Oxidative_burst,All annotated,identity_markers_removed,6,-0.138279783224911,0.0761618581810119,-0.334060072433329,0.0575005059835075,0.129137620078364,0.15625,5,alpha_interaction,0,0.161792235039517,0.182291666666667
Oxidative_burst,Resolved,full_gene,6,-0.509364594104744,0.188735370304267,-0.994524308750986,-0.0242048794585013,0.0428439467092397,0.03125,6,alpha_interaction,0,0.066646139325484,0.04375
Oxidative_burst,Resolved,identity_markers_removed,6,-0.509364594104744,0.188735370304267,-0.994524308750986,-0.0242048794585013,0.0428439467092397,0.03125,6,alpha_interaction,0,0.066646139325484,0.0486111111111111
Oxidative_burst,Resolved; >=100 genes,full_gene,6,-0.500973151544061,0.192751097961225,-0.996455622762143,-0.00549068032597977,0.0483038882075849,0.03125,6,alpha_interaction,0,0.0676254434906188,0.0486111111111111
Oxidative_burst,Resolved; >=100 genes,identity_markers_removed,6,-0.500973151544061,0.192751097961225,-0.996455622762143,-0.00549068032597977,0.0483038882075849,0.03125,6,alpha_interaction,0,0.0676254434906188,0.0486111111111111
Phagocytosis,All annotated,full_gene,6,-0.329562295462884,0.092454667693895,-0.567224584856602,-0.0919000060691658,0.016136002117194,0.03125,6,alpha_interaction,0,0.0451808059281432,0.0625
Phagocytosis,All annotated,identity_markers_removed,6,-0.329562295462884,0.092454667693895,-0.567224584856602,-0.0919000060691658,0.016136002117194,0.03125,6,alpha_interaction,0,0.0451808059281432,0.0625
Phagocytosis,Resolved,full_gene,6,-0.717108602793027,0.115349594042682,-1.01362417398717,-0.420593031598887,0.00157405178427356,0.03125,6,alpha_interaction,0,0.00734557499327661,0.04375
Phagocytosis,Resolved,identity_markers_removed,6,-0.717108602793027,0.115349594042682,-1.01362417398717,-0.420593031598887,0.00157405178427356,0.03125,6,alpha_interaction,0,0.00734557499327661,0.0486111111111111
Phagocytosis,Resolved; >=100 genes,full_gene,6,-0.715362490660136,0.121000038339385,-1.02640299132666,-0.404321989993614,0.00197200757346762,0.03125,6,alpha_interaction,0,0.00690202650713667,0.0486111111111111
Phagocytosis,Resolved; >=100 genes,identity_markers_removed,6,-0.715362490660136,0.121000038339385,-1.02640299132666,-0.404321989993614,0.00197200757346762,0.03125,6,alpha_interaction,0,0.00690202650713667,0.0486111111111111
Chemotaxis,All annotated,full_gene,6,-0.310652100448357,0.0792727024485392,-0.514429069424375,-0.10687513147234,0.0111957378708615,0.03125,6,alpha_interaction,0,0.0451808059281432,0.0625
Chemotaxis,All annotated,identity_markers_removed,6,-0.300434633602039,0.0716072649743783,-0.484506968244773,-0.116362298959306,0.00852572288476701,0.03125,6,alpha_interaction,0,0.0431674494277047,0.0625
Chemotaxis,Resolved,full_gene,6,-0.713567028589187,0.0555120724837851,-0.856265353774531,-0.570868703403843,5.07353211264712e-05,0.03125,6,alpha_interaction,0,0.000644213479689807,0.04375
Chemotaxis,Resolved,identity_markers_removed,6,-0.657360928316556,0.0392765238415932,-0.758324447070693,-0.55639740956242,1.39149016784756e-05,0.03125,6,alpha_interaction,0,0.000145951566314847,0.0486111111111111
Chemotaxis,Resolved; >=100 genes,full_gene,6,-0.714602417739158,0.0701209085492716,-0.89485395155423,-0.534350883924085,0.000156108942758244,0.03125,6,alpha_interaction,0,0.00144201369280399,0.0486111111111111
Chemotaxis,Resolved; >=100 genes,identity_markers_removed,6,-0.672359873682612,0.0556910976383188,-0.815518397678323,-0.529201349686901,6.88364471520247e-05,0.03125,6,alpha_interaction,0,0.00071211428161881,0.0486111111111111
OSM_inflammation,All annotated,full_gene,6,-0.176172900181804,0.0872687328586796,-0.400504319687324,0.0481585193237158,0.0995301036296922,0.09375,5,alpha_interaction,0,0.143184113490505,0.145833333333333
OSM_inflammation,All annotated,identity_markers_removed,6,-0.156559998322237,0.0887101363714445,-0.384596663515493,0.0714766668710185,0.137859381259744,0.15625,5,alpha_interaction,0,0.161792235039517,0.182291666666667
OSM_inflammation,Resolved,full_gene,6,-0.511160103846036,0.0984707772030915,-0.764287295065294,-0.258032912626779,0.0034931751985055,0.03125,6,alpha_interaction,0,0.0097808905558154,0.04375
OSM_inflammation,Resolved,identity_markers_removed,6,-0.470464275631875,0.0918614780188489,-0.706601722421833,-0.234326828841918,0.00370260062308006,0.03125,6,alpha_interaction,0,0.0103672817446242,0.0486111111111111
OSM_inflammation,Resolved; >=100 genes,full_gene,6,-0.527355681715849,0.102088557886965,-0.789782674246388,-0.26492868918531,0.00356777664858216,0.03125,6,alpha_interaction,0,0.00998977461603005,0.0486111111111111
OSM_inflammation,Resolved; >=100 genes,identity_markers_removed,6,-0.481261832836771,0.0960002787806642,-0.728038405686369,-0.234485259987174,0.00405886874474373,0.03125,6,alpha_interaction,0,0.0113648324852824,0.0486111111111111
Type_I_interferon,All annotated,full_gene,6,-0.0165123680144426,0.0109444988369228,-0.044646097924779,0.0116213618958939,0.191739681961742,0.1875,4,alpha_interaction,0,0.223696295622032,0.21875
Type_I_interferon,All annotated,identity_markers_removed,6,-0.0219857310590705,0.0124901346067133,-0.0540926442037401,0.0101211820855991,0.1386790586053,0.15625,4,alpha_interaction,0,0.161792235039517,0.182291666666667
Type_I_interferon,Resolved,full_gene,6,-0.0880405100324063,0.0559935530472143,-0.231976520408314,0.0558955003435012,0.176679775585506,0.03125,6,alpha_interaction,0,0.190270527553622,0.04375
Type_I_interferon,Resolved,identity_markers_removed,6,-0.0950506618648056,0.0620078242355261,-0.254446848511978,0.0643455247823668,0.185880302197252,0.0625,5,alpha_interaction,0,0.200178786981656,0.0875
Type_I_interferon,Resolved; >=100 genes,full_gene,6,-0.0818870408833528,0.0576095529448341,-0.229977111242472,0.0662030294757663,0.214453603260656,0.09375,5,alpha_interaction,0,0.250195870470765,0.119318181818182
Type_I_interferon,Resolved; >=100 genes,identity_markers_removed,6,-0.0892517248933214,0.0637712699900091,-0.253180993165098,0.074677543378455,0.220527735947775,0.125,4,alpha_interaction,0,0.252958060388079,0.145833333333333
Immature_granulopoiesis,All annotated,full_gene,6,0.188102008389131,0.0423876619952608,0.0791410544090222,0.297062962369241,0.00677960079397502,0.03125,6,alpha_interaction,0,0.0451808059281432,0.0625
Immature_granulopoiesis,All annotated,identity_markers_removed,6,0.188102008389131,0.0423876619952608,0.0791410544090222,0.297062962369241,0.00677960079397502,0.03125,6,alpha_interaction,0,0.0431674494277047,0.0625
Immature_granulopoiesis,Resolved,full_gene,6,0.152579208165395,0.0618888851050031,-0.0065112357133085,0.311669652044099,0.0568521859387013,0.09375,5,alpha_interaction,0,0.0795930603141818,0.109375
Immature_granulopoiesis,Resolved,identity_markers_removed,6,0.152579208165395,0.0618888851050031,-0.0065112357133085,0.311669652044099,0.0568521859387013,0.09375,5,alpha_interaction,0,0.0795930603141818,0.109375
