program,population,version,DonorID,delta,contrast,min_cells
NETosis,All annotated,full_gene,Donor1,0.00372281419826689,alpha_interaction,0
NETosis,All annotated,full_gene,Donor2,0.022335538253389,alpha_interaction,0
NETosis,All annotated,full_gene,Donor3,-0.0667407886886308,alpha_interaction,0
NETosis,All annotated,full_gene,Donor4,-0.157590962526809,alpha_interaction,0
NETosis,All annotated,full_gene,Donor5,0.0841744592415196,alpha_interaction,0
NETosis,All annotated,full_gene,Donor6,-0.102722407763592,alpha_interaction,0
NETosis,All annotated,identity_markers_removed,Donor1,0.0201962971564557,alpha_interaction,0
NETosis,All annotated,identity_markers_removed,Donor2,0.0283843530774081,alpha_interaction,0
NETosis,All annotated,identity_markers_removed,Donor3,-0.0605444686913657,alpha_interaction,0
NETosis,All annotated,identity_markers_removed,Donor4,-0.152203256829971,alpha_interaction,0
NETosis,All annotated,identity_markers_removed,Donor5,0.108793300834282,alpha_interaction,0
NETosis,All annotated,identity_markers_removed,Donor6,-0.132984186850071,alpha_interaction,0
NETosis,Resolved,full_gene,Donor1,-0.200853857342931,alpha_interaction,0
NETosis,Resolved,full_gene,Donor2,-0.143151020955687,alpha_interaction,0
NETosis,Resolved,full_gene,Donor3,-0.0159504074436431,alpha_interaction,0
NETosis,Resolved,full_gene,Donor4,-0.1063099247547,alpha_interaction,0
NETosis,Resolved,full_gene,Donor5,-0.362992998028565,alpha_interaction,0
NETosis,Resolved,full_gene,Donor6,-0.389080443748126,alpha_interaction,0
NETosis,Resolved,identity_markers_removed,Donor1,-0.198753227350151,alpha_interaction,0
NETosis,Resolved,identity_markers_removed,Donor2,-0.135622053568084,alpha_interaction,0
NETosis,Resolved,identity_markers_removed,Donor3,-0.0208528853577037,alpha_interaction,0
NETosis,Resolved,identity_markers_removed,Donor4,-0.10714017560308,alpha_interaction,0
NETosis,Resolved,identity_markers_removed,Donor5,-0.348855758292655,alpha_interaction,0
NETosis,Resolved,identity_markers_removed,Donor6,-0.448524292315953,alpha_interaction,0
NETosis,Resolved; >=100 genes,full_gene,Donor1,-0.169376934269883,alpha_interaction,0
NETosis,Resolved; >=100 genes,full_gene,Donor2,-0.146493449677854,alpha_interaction,0
NETosis,Resolved; >=100 genes,full_gene,Donor3,-0.026124974454719,alpha_interaction,0
NETosis,Resolved; >=100 genes,full_gene,Donor4,-0.0721382911277262,alpha_interaction,0
NETosis,Resolved; >=100 genes,full_gene,Donor5,-0.387338196555681,alpha_interaction,0
NETosis,Resolved; >=100 genes,full_gene,Donor6,-0.358212915333851,alpha_interaction,0
NETosis,Resolved; >=100 genes,identity_markers_removed,Donor1,-0.174635392657915,alpha_interaction,0
NETosis,Resolved; >=100 genes,identity_markers_removed,Donor2,-0.137302964143496,alpha_interaction,0
NETosis,Resolved; >=100 genes,identity_markers_removed,Donor3,-0.0340368458595737,alpha_interaction,0
NETosis,Resolved; >=100 genes,identity_markers_removed,Donor4,-0.0719245839236055,alpha_interaction,0
NETosis,Resolved; >=100 genes,identity_markers_removed,Donor5,-0.373263490393236,alpha_interaction,0
NETosis,Resolved; >=100 genes,identity_markers_removed,Donor6,-0.422316712082811,alpha_interaction,0
Degranulation,All annotated,full_gene,Donor1,0.0269450932926898,alpha_interaction,0
Degranulation,All annotated,full_gene,Donor2,0.0626059659911545,alpha_interaction,0
Degranulation,All annotated,full_gene,Donor3,0.141218259774627,alpha_interaction,0
Degranulation,All annotated,full_gene,Donor4,0.00535018115280376,alpha_interaction,0
Degranulation,All annotated,full_gene,Donor5,0.0777385580019376,alpha_interaction,0
Degranulation,All annotated,full_gene,Donor6,0.199583414956851,alpha_interaction,0
Degranulation,All annotated,identity_markers_removed,Donor1,0.0269450932926898,alpha_interaction,0
Degranulation,All annotated,identity_markers_removed,Donor2,0.0626059659911545,alpha_interaction,0
Degranulation,All annotated,identity_markers_removed,Donor3,0.141218259774627,alpha_interaction,0
Degranulation,All annotated,identity_markers_removed,Donor4,0.00535018115280376,alpha_interaction,0
Degranulation,All annotated,identity_markers_removed,Donor5,0.0777385580019376,alpha_interaction,0
Degranulation,All annotated,identity_markers_removed,Donor6,0.199583414956851,alpha_interaction,0
Degranulation,Resolved,full_gene,Donor1,-0.0690075864777625,alpha_interaction,0
Degranulation,Resolved,full_gene,Donor2,-0.0871335122973577,alpha_interaction,0
Degranulation,Resolved,full_gene,Donor3,0.164194267224185,alpha_interaction,0
Degranulation,Resolved,full_gene,Donor4,0.0155633975591608,alpha_interaction,0
Degranulation,Resolved,full_gene,Donor5,-0.239028903974756,alpha_interaction,0
