DonorID,ConditionCode,program,value,cells,population,version
Donor1,N,NETosis,-0.13834192855229,55,Resolved,full_gene
Donor6,N,NETosis,-0.0837527471666482,801,Resolved,full_gene
Donor5,NNAMPT,NETosis,-0.171164525027177,41,Resolved,full_gene
Donor2,NNAMPT,NETosis,-0.143750653786462,215,Resolved,full_gene
Donor1,NNAMPT,NETosis,-0.182123335631435,63,Resolved,full_gene
Donor4,NNAMPT,NETosis,-0.0413404094492213,233,Resolved,full_gene
Donor4,N,NETosis,-0.0730857172523245,234,Resolved,full_gene
Donor5,N,NETosis,-0.186692736693044,61,Resolved,full_gene
Donor3,N,NETosis,0.0680430790951504,102,Resolved,full_gene
Donor3,NNAMPT,NETosis,0.0944874482602941,42,Resolved,full_gene
Donor2,N,NETosis,-0.150719735940564,47,Resolved,full_gene
Donor6,NNAMPT,NETosis,-0.246870983958615,13,Resolved,full_gene
Donor4,UF,NETosis,0.0559651112294259,3393,Resolved,full_gene
Donor4,UN,NETosis,0.0967412674098508,1239,Resolved,full_gene
Donor3,UN,NETosis,0.0615746741944269,2554,Resolved,full_gene
Donor2,UF,NETosis,0.0103587500690254,720,Resolved,full_gene
Donor3,UF,NETosis,0.0538820887038371,2349,Resolved,full_gene
Donor2,UN,NETosis,0.0262548590873701,461,Resolved,full_gene
Donor6,UF,NETosis,-0.00293289074446986,369,Resolved,full_gene
Donor1,UF,NETosis,0.0223851545647845,140,Resolved,full_gene
Donor5,UF,NETosis,0.0884185511663724,28,Resolved,full_gene
Donor1,UN,NETosis,0.00852779353257691,87,Resolved,full_gene
Donor6,UN,NETosis,0.0262661456503623,54,Resolved,full_gene
Donor5,UN,NETosis,0.0586245918952947,26,Resolved,full_gene
Donor4,UD,NETosis,0.142655790042039,1847,Resolved,full_gene
Donor4,UA5,NETosis,0.143636440346446,1576,Resolved,full_gene
Donor5,UD,NETosis,-0.00804757572702138,1184,Resolved,full_gene
Donor2,UD,NETosis,-0.0117560814473259,946,Resolved,full_gene
Donor3,UA5,NETosis,0.107151071024133,2053,Resolved,full_gene
Donor1,UA5,NETosis,0.00559847270658277,1402,Resolved,full_gene
Donor2,UA5,NETosis,0.0361619224009838,944,Resolved,full_gene
Donor6,UD,NETosis,-0.0130826430733554,481,Resolved,full_gene
Donor3,UD,NETosis,0.0661469877913126,1516,Resolved,full_gene
Donor6,UA5,NETosis,-0.0345485881999773,510,Resolved,full_gene
Donor1,UD,NETosis,0.0119033747204662,200,Resolved,full_gene
Donor5,UA5,NETosis,-0.0714959157849628,4,Resolved,full_gene
Donor4,CF,NETosis,0.133674228905587,2848,Resolved,full_gene
Donor3,NA5,NETosis,0.13726246885909,3913,Resolved,full_gene
Donor2,NA5,NETosis,0.0182344573470819,1148,Resolved,full_gene
Donor5,NA5,NETosis,0.0163857943841865,2536,Resolved,full_gene
Donor3,CF,NETosis,0.158821973511167,3355,Resolved,full_gene
Donor6,CF,NETosis,-0.0125315478137974,1249,Resolved,full_gene
Donor1,CF,NETosis,0.0292410229249031,1253,Resolved,full_gene
Donor4,NA5,NETosis,0.120895536619396,1580,Resolved,full_gene
Donor1,NA5,NETosis,0.0457252469324398,71,Resolved,full_gene
Donor5,CF,NETosis,0.146846132951373,11,Resolved,full_gene
Donor2,CF,NETosis,-0.119578788958488,22,Resolved,full_gene
Donor6,NA5,NETosis,0.27371199912597,1,Resolved,full_gene
Donor1,N,Degranulation,-0.126710181389344,55,Resolved,full_gene
Donor6,N,Degranulation,0.102599769653346,801,Resolved,full_gene
Donor5,NNAMPT,Degranulation,-0.0860443297177231,41,Resolved,full_gene
Donor2,NNAMPT,Degranulation,-0.0573142051871114,215,Resolved,full_gene
Donor1,NNAMPT,Degranulation,-0.142867838260764,63,Resolved,full_gene
Donor4,NNAMPT,Degranulation,0.0453770381110573,233,Resolved,full_gene
Donor4,N,Degranulation,-0.00494364425668239,234,Resolved,full_gene
Donor5,N,Degranulation,-0.129923474863375,61,Resolved,full_gene
Donor3,N,Degranulation,0.147076635287308,102,Resolved,full_gene
Donor3,NNAMPT,Degranulation,0.0721743110268206,42,Resolved,full_gene
Donor2,N,Degranulation,-0.141388237410874,47,Resolved,full_gene
Donor6,NNAMPT,Degranulation,-0.0737354008501198,13,Resolved,full_gene
Donor4,UF,Degranulation,-0.0163551623667551,3393,Resolved,full_gene
Donor4,UN,Degranulation,0.0625989794328927,1239,Resolved,full_gene
Donor3,UN,Degranulation,0.013293062541777,2554,Resolved,full_gene
Donor2,UF,Degranulation,0.0183233694857057,720,Resolved,full_gene
Donor3,UF,Degranulation,-0.00495986927946825,2349,Resolved,full_gene
Donor2,UN,Degranulation,0.043066278688323,461,Resolved,full_gene
Donor6,UF,Degranulation,-0.00354346753256458,369,Resolved,full_gene
Donor1,UF,Degranulation,-0.00723630164884753,140,Resolved,full_gene
