program,gene,in_full,in_reduced,identity_marker
NETosis,PADI4,TRUE,TRUE,TRUE
NETosis,MPO,TRUE,TRUE,FALSE
NETosis,ELANE,TRUE,TRUE,FALSE
NETosis,PRTN3,TRUE,FALSE,FALSE
NETosis,CTSG,TRUE,TRUE,FALSE
NETosis,AZU1,TRUE,TRUE,FALSE
NETosis,CYBB,TRUE,TRUE,FALSE
NETosis,NCF1,TRUE,FALSE,FALSE
NETosis,NCF2,TRUE,FALSE,FALSE
NETosis,S100A8,TRUE,TRUE,FALSE
NETosis,S100A9,TRUE,TRUE,FALSE
Degranulation,LTF,TRUE,TRUE,FALSE
Degranulation,BPI,TRUE,TRUE,FALSE
Degranulation,CAMP,TRUE,TRUE,FALSE
Degranulation,LCN2,TRUE,TRUE,FALSE
Degranulation,MMP8,TRUE,TRUE,FALSE
Degranulation,MMP9,TRUE,FALSE,FALSE
Degranulation,OLFM4,TRUE,TRUE,FALSE
Degranulation,CEACAM8,TRUE,TRUE,FALSE
Degranulation,FCGR3B,TRUE,TRUE,FALSE
Oxidative_burst,CYBB,TRUE,TRUE,FALSE
Oxidative_burst,CYBA,TRUE,FALSE,FALSE
Oxidative_burst,NCF1,TRUE,FALSE,FALSE
Oxidative_burst,NCF2,TRUE,FALSE,FALSE
Oxidative_burst,NCF4,TRUE,FALSE,FALSE
Oxidative_burst,RAC2,TRUE,FALSE,FALSE
Oxidative_burst,MPO,TRUE,TRUE,FALSE
Phagocytosis,FCGR3B,TRUE,TRUE,FALSE
Phagocytosis,FCGR2A,TRUE,FALSE,FALSE
Phagocytosis,ITGAM,TRUE,FALSE,FALSE
Phagocytosis,ITGB2,TRUE,FALSE,FALSE
Phagocytosis,FPR1,TRUE,TRUE,FALSE
Phagocytosis,FPR2,TRUE,FALSE,FALSE
Phagocytosis,C5AR1,TRUE,TRUE,FALSE
Phagocytosis,TREM1,TRUE,FALSE,FALSE
Phagocytosis,SYK,TRUE,FALSE,FALSE
Phagocytosis,LYN,TRUE,FALSE,FALSE
Chemotaxis,CXCR1,TRUE,FALSE,FALSE
Chemotaxis,CXCR2,TRUE,FALSE,FALSE
Chemotaxis,CXCR4,TRUE,TRUE,TRUE
Chemotaxis,FPR1,TRUE,TRUE,FALSE
Chemotaxis,FPR2,TRUE,FALSE,FALSE
Chemotaxis,C5AR1,TRUE,TRUE,FALSE
Chemotaxis,CCR1,TRUE,TRUE,FALSE
Chemotaxis,CCRL2,TRUE,FALSE,FALSE
OSM_inflammation,OSM,TRUE,TRUE,TRUE
OSM_inflammation,IL1B,TRUE,TRUE,FALSE
OSM_inflammation,TNF,TRUE,TRUE,FALSE
OSM_inflammation,NFKBIA,TRUE,TRUE,FALSE
OSM_inflammation,CXCL8,TRUE,TRUE,FALSE
OSM_inflammation,CCL3,TRUE,TRUE,FALSE
OSM_inflammation,CCL4,TRUE,TRUE,FALSE
OSM_inflammation,IL1R2,TRUE,TRUE,FALSE
OSM_inflammation,SOCS3,TRUE,TRUE,FALSE
Type_I_interferon,MX1,TRUE,TRUE,TRUE
Type_I_interferon,ISG15,TRUE,TRUE,FALSE
Type_I_interferon,IFIT1,TRUE,TRUE,FALSE
Type_I_interferon,IFIT2,TRUE,TRUE,FALSE
Type_I_interferon,IFIT3,TRUE,TRUE,FALSE
Type_I_interferon,IFI6,TRUE,TRUE,FALSE
