gene,reference_mean,reference_sd
PADI4,0.134393671881623,0.524521621763173
MPO,0.0181462029762769,0.246170934580602
ELANE,0.0109100201135126,0.164434933444668
PRTN3,0.0018754261313153,0.0768163204297933
CTSG,0.000383559010215996,0.0280277434273954
AZU1,0.0105420781497993,0.146596305279657
CYBB,0.438219925343096,0.950533205004673
NCF1,0.198216338876864,0.628246273646881
NCF2,1.22615574691273,1.32854024782332
S100A8,1.4068322280371,1.55879208561496
S100A9,0.759852868214873,1.17790556363998
LTF,0.192456013097612,0.655673914383688
BPI,0.0845482514434633,0.444866627165178
CAMP,0.0615447960808796,0.407760230995405
LCN2,0.0299557339755891,0.262138925751915
MMP8,0.00935664481987343,0.17008157532582
MMP9,0.30753857876089,0.715240840581097
OLFM4,0.0211359031248429,0.231226340926324
CEACAM8,0.0352636629139411,0.301023836001321
FCGR3B,1.27883126225908,1.50829418237175
CYBA,0.240869669617605,0.650009581234329
NCF4,0.347008820459963,0.761680510710542
RAC2,1.18552736614792,1.33060541276653
FCGR2A,0.274823291322851,0.725610504638532
ITGAM,0.0875814027690038,0.430422966840947
ITGB2,0.361121082257014,0.748434535400362
FPR1,1.05975033444133,1.27714017518591
FPR2,0.207420336796886,0.588395441119862
C5AR1,2.4617357649942,1.77712806530224
TREM1,1.05902380215766,1.26156964792697
SYK,0.317189937858972,0.778276086745883
LYN,1.86235380836506,1.64028670987967
CXCR1,0.122101498834439,0.453179755073947
CXCR2,0.637932954069583,1.07748039799639
CXCR4,2.56999734132183,1.75379246206824
CCR1,0.133558990327437,0.511221976446227
CCRL2,0.585514884594279,1.05088414893272
OSM,0.924491496193757,1.16967392541622
IL1B,1.31016939834704,1.66769507042128
TNF,0.564785506143781,1.18898712348635
NFKBIA,2.59625335565187,1.76581693542914
CXCL8,5.31481519106069,1.54798532109385
CCL3,1.09566270695682,1.66523196675627
CCL4,1.26561084181575,1.75598370182113
IL1R2,0.784874577011529,1.31826313074142
SOCS3,0.270058491437705,0.755479158304548
MX1,0.00909062055842809,0.140769533693631
ISG15,0.00295858951749722,0.0826249910951663
IFIT1,0.00913717504625078,0.124577560350614
IFIT2,0.0630819632246,0.356796196074789
IFIT3,0.0503808845827467,0.301519149021655
IFI6,0.0037259302897516,0.0768343774261784
OAS1,0.000602556119394562,0.0300284423101564
OAS2,0.00242663386063375,0.0621249938404132
OASL,0.0307360489622997,0.224189298262627
RSAD2,0.00087829544551601,0.0435389270831048
IRF7,0.0256004364976962,0.206836512794541
STAT1,0.133470595349781,0.515067600049679
DEFA4,0.0194051931475528,0.239672372363639
MS4A3,0.0298642309223366,0.286659893590491
BCL2A1,1.6148095675649,1.62110942459432
MCL1,1.50850340708637,1.48816297794277
BCL2L1,0.0273599930060732,0.232694803443244
CFLAR,1.34987699343021,1.43860483899445
FAS,0.0208810992912658,0.204659030191163
BAX,0.283464316383695,0.689982848314278
BBC3,0.0675841082206535,0.358555803784203
CASP3,0.0195507185211899,0.191758659952036
HIF1A,0.769109518244304,1.12797943971298
SLC2A1,0.00781999427855682,0.120957825432445
HK2,0.0714919451614376,0.390738821448407
PFKP,0.017687377604626,0.17219859701404
ALDOA,0.00172871728395138,0.0670840231466485
GAPDH,0.416870509838562,0.854335449511067
PGK1,0.554846326032566,0.947766893697659
LDHA,0.089570671960216,0.443592385477782
ENO1,0.0912700640575085,0.402724080655127
XBP1,0.12227149010459,0.502466993864538
ATF4,0.421177758874408,0.839307746039674
DDIT3,0.911125882641753,1.19031511902292
HSPA5,0.265276415685537,0.677509037790474
HERPUD1,0.343990067632828,0.798150088525581
DNAJB9,0.308344402941041,0.72635341073447
ERO1A,0.0618437579415143,0.342172708276035
MKI67,0.00954987260586541,0.171455728512025
PCNA,0.13924028450191,0.495794219533918
TYMS,0.00344303002629245,0.101231796303922
DHFR,0.288814903219577,0.754987497355113
TUBA1B,0.0953768429722768,0.459649732083578
STMN1,0.00287389901093905,0.0763460745940172
ITGA5,0.188602379883105,0.631087930185678
ITGB1,0.0509839132360964,0.345502280905892
SELPLG,0.115528196787931,0.447790050963571
ICAM1,1.11099658678981,1.31547222854337
SELL,0.67076143226213,1.12419856609151
PECAM1,0.230082465132648,0.63593767075688
