marker,model,n,effect,se,low,high,p,p_signflip,same_sign,q
CXCR4,Unadjusted,17,0.250746653274721,0.0404736734013511,0.164946298552247,0.336547007997196,1.28383264050148e-05,,16,5.13533056200591e-05
CXCR4,Density + anatomy adjusted,17,0.0656443907682749,0.0474558820482401,-0.0349575850650081,0.166246366601558,0.185580331120026,,11,0.242018555225782
OSM,Unadjusted,17,0.148167859251599,0.0453534833287831,0.0520227696047693,0.244312948898429,0.00484498052766394,,13,0.00645997403688526
OSM,Density + anatomy adjusted,17,0.0568523353673737,0.0467947666024867,-0.0423481383290595,0.156052809063807,0.242018555225782,,12,0.242018555225782
CD16,Unadjusted,17,0.177713999299754,0.0607515847504896,0.0489263928511021,0.306501605748406,0.00990743026319414,,14,0.00990743026319414
CD16,Density + anatomy adjusted,17,0.128406274874897,0.036813309527847,0.0503655449249415,0.206447004824852,0.00303936292880037,,14,0.00828246019084983
CD11b,Unadjusted,17,0.216331851391656,0.0445690508551127,0.121849684302641,0.310814018480671,0.000175937799542159,,15,0.000351875599084319
CD11b,Density + anatomy adjusted,17,0.161749916768718,0.0484070295349213,0.059131598338079,0.264368235199358,0.00414123009542492,,14,0.00828246019084983
CXCR4,Continuous nearest fibroblast FAP,17,0.0638206319961815,0.0518658381187675,-0.0461300330803454,0.173771297072708,0.236296361419564,,13,0.236296361419564
OSM,Continuous nearest fibroblast FAP,17,0.0841469865940785,0.0549890910167146,-0.0324246788516146,0.200718652039772,0.145485090700594,,13,0.193980120934125
CD16,Continuous nearest fibroblast FAP,17,0.159896572727485,0.0357919325975478,0.0840210651445734,0.235772080310396,0.000388916373128942,,15,0.000777832746257885
CD11b,Continuous nearest fibroblast FAP,17,0.192613958850931,0.0309748829385388,0.126950140366765,0.258277777335098,1.22981127509405e-05,,16,4.91924510037618e-05
CXCR4,Continuous nearest fibroblast a5,17,-0.047235154623562,0.0323983480492473,-0.115916584339176,0.021446275092052,0.164203557905621,,12,0.656814231622486
OSM,Continuous nearest fibroblast a5,17,-0.00319829911663532,0.0421306374520086,-0.0925112607107177,0.0861146624774471,0.940428754570801,,12,0.940428754570801
CD16,Continuous nearest fibroblast a5,17,0.0322758093025063,0.040044658314952,-0.0526150740648649,0.117166692669878,0.432062301362009,,9,0.864124602724018
CD11b,Continuous nearest fibroblast a5,17,-0.0050298470325717,0.0429081812557423,-0.0959911278565658,0.0859314337914224,0.908141831570302,,11,0.940428754570801
CXCR4,Continuous nearest fibroblast FAP_a5,17,0.0242654040523523,0.0217592715742439,-0.0218621910650818,0.0703929991697865,0.281245615087495,,11,0.374994153449994
OSM,Continuous nearest fibroblast FAP_a5,17,0.026706144024161,0.0355584168399852,-0.0486743322668419,0.102086620315164,0.463526674584335,,8,0.463526674584335
CD16,Continuous nearest fibroblast FAP_a5,17,0.0368181818004901,0.0232174693613308,-0.0124006545331021,0.0860370181340823,0.132348849793465,,12,0.264697699586931
CD11b,Continuous nearest fibroblast FAP_a5,17,0.0603457094519496,0.0262558144559872,0.00468586925133244,0.116005549652567,0.0353582675805566,,12,0.141433070322226
