Diagnosis2,marker,model,n,effect,se,low,high,p,p_signflip,same_sign,q
Control,CXCR4,Unadjusted,6,0.273950448606694,0.0595331211359271,0.120915688795943,0.426985208417444,0.00583159595482839,0.03125,6,0.00777546127310452
Control,CXCR4,Density + anatomy adjusted,6,0.136712199604622,0.0382759070185064,0.0383208482803454,0.2351035509289,0.0160138950199853,0.0625,5,0.0460867205341574
Control,OSM,Unadjusted,6,0.21095556427957,0.0590535239153895,0.0591536483723553,0.362757480186785,0.0160050617215241,0.03125,6,0.0160050617215241
Control,OSM,Density + anatomy adjusted,6,0.137149272772549,0.0488591873257329,0.0115527333290677,0.26274581221603,0.0376798440283683,0.0625,5,0.0502397920378244
Control,CD16,Unadjusted,6,0.170294226909234,0.0331659207448246,0.0850385134804344,0.255549940338034,0.00366185481416688,0.03125,6,0.00732370962833376
Control,CD16,Density + anatomy adjusted,6,0.108304380349537,0.0569300635346038,-0.0380390068741366,0.254647767573211,0.115505395184427,0.15625,5,0.115505395184427
Control,CD11b,Unadjusted,6,0.17932697018005,0.0260666951289927,0.112320397166391,0.246333543193708,0.000992871708799471,0.03125,6,0.00397148683519788
Control,CD11b,Density + anatomy adjusted,6,0.0918198989991759,0.0283717192669305,0.0188880728058316,0.16475172519252,0.0230433602670787,0.03125,6,0.0460867205341574
Control,CXCR4,Continuous nearest fibroblast FAP,6,0.165310213861142,0.034168048230571,0.0774784497204906,0.253141978001793,0.00472259131746867,0.03125,6,0.00754149770223011
Control,OSM,Continuous nearest fibroblast FAP,6,0.208781937253732,0.0429457545269692,0.098386360749009,0.319177513758455,0.00462697314120427,0.03125,6,0.00754149770223011
Control,CD16,Continuous nearest fibroblast FAP,6,0.181856886770206,0.0392321908630596,0.0810073295654076,0.282706443975004,0.00565612327667258,0.03125,6,0.00754149770223011
Control,CD11b,Continuous nearest fibroblast FAP,6,0.195670742740446,0.048126980359993,0.0719564012230224,0.31938508425787,0.00967457073540382,0.0625,5,0.00967457073540382
Control,CXCR4,Continuous nearest fibroblast a5,6,-0.0296819182687718,0.0188294807105896,-0.0780846393578778,0.0187208028203342,0.175767542423465,0.15625,4,0.234356723231287
Control,OSM,Continuous nearest fibroblast a5,6,-0.0399483817355814,0.0188589891175452,-0.088426956599606,0.00853019312844326,0.0876979269711751,0.125,5,0.234356723231287
Control,CD16,Continuous nearest fibroblast a5,6,0.0121547634686654,0.0333024567028655,-0.0734519268137856,0.0977614537511164,0.730055307457088,0.71875,3,0.730055307457088
Control,CD11b,Continuous nearest fibroblast a5,6,-0.0425173914669294,0.024314192161012,-0.105019012184198,0.0199842292503388,0.140764198653817,0.1875,4,0.234356723231287
Control,CXCR4,Continuous nearest fibroblast FAP_a5,6,-0.0642671480529011,0.0396215541112632,-0.166117595350995,0.0375832992451933,0.165724830692611,0.125,5,0.391260641892067
Control,OSM,Continuous nearest fibroblast FAP_a5,6,-0.0373424291214003,0.0266247067846643,-0.105783416761201,0.0310985585184007,0.219687774495549,0.1875,4,0.391260641892067
Control,CD16,Continuous nearest fibroblast FAP_a5,6,-0.0310857921957772,0.0270414294716607,-0.100597999605269,0.0384264152137143,0.302323428901279,0.34375,4,0.391260641892067
Control,CD11b,Continuous nearest fibroblast FAP_a5,6,-0.0310660796784285,0.0331159417821571,-0.116193318093631,0.0540611587367743,0.391260641892067,0.40625,5,0.391260641892067
UC_Inflamed,CXCR4,Unadjusted,9,0.300249277940038,0.0537572341871395,0.176284873607356,0.424213682272721,0.000519087455257698,0.0078125,8,0.0010381749105154
UC_Inflamed,CXCR4,Density + anatomy adjusted,9,0.160059851194736,0.0477275051569598,0.0500000269398089,0.270119675449664,0.0100262873891132,0.0078125,8,0.0100262873891132
UC_Inflamed,OSM,Unadjusted,9,0.201812610378181,0.0643699788606588,0.0533751729424967,0.350250047813864,0.0139056892037779,0.01953125,8,0.0139056892037779
UC_Inflamed,OSM,Density + anatomy adjusted,9,0.167749386241531,0.0346306913434683,0.087890868798514,0.247607903684548,0.00128167152194298,0.00390625,9,0.00256334304388596
UC_Inflamed,CD16,Unadjusted,9,0.264244921870643,0.0637803839290471,0.117167092785351,0.411322750955935,0.00323979615779094,0.00390625,9,0.00431972821038792
UC_Inflamed,CD16,Density + anatomy adjusted,9,0.138225358782667,0.0388084898654591,0.0487328206718894,0.227717896893445,0.00738208370906151,0.00390625,9,0.00984277827874868
UC_Inflamed,CD11b,Unadjusted,9,0.219820992135181,0.0272961299517648,0.156876003591341,0.282765980679021,4.16327032110507e-05,0.00390625,9,0.000166530812844203
UC_Inflamed,CD11b,Density + anatomy adjusted,9,0.193551836187076,0.0323352528506966,0.118986609400497,0.268117062973654,0.00032856151544049,0.00390625,9,0.00131424606176196
UC_Inflamed,CXCR4,Continuous nearest fibroblast FAP,9,0.123013169326593,0.0401708205481472,0.0303790910280211,0.215647247625165,0.0155294244041411,0.01953125,8,0.0155294244041411
UC_Inflamed,OSM,Continuous nearest fibroblast FAP,9,0.137136265052023,0.0371279222294756,0.0515191228593136,0.222753407244733,0.00609837803376081,0.015625,7,0.00813117071168108
UC_Inflamed,CD16,Continuous nearest fibroblast FAP,9,0.132139809055952,0.0302068303349626,0.0624827333921176,0.201796884719786,0.00236616143623954,0.0078125,8,0.00473232287247908
UC_Inflamed,CD11b,Continuous nearest fibroblast FAP,9,0.192552267867026,0.0211995425754592,0.14366603502358,0.241438500710472,1.73230484209854e-05,0.00390625,9,6.92921936839416e-05
UC_Inflamed,CXCR4,Continuous nearest fibroblast a5,9,-0.0370192224795523,0.0228221115444242,-0.0896471060750853,0.0156086611159807,0.143444133545092,0.15625,6,0.286888267090184
UC_Inflamed,OSM,Continuous nearest fibroblast a5,9,-0.0491983748408501,0.0264995545527626,-0.110306457220589,0.0119097075388889,0.100457796622683,0.10546875,8,0.286888267090184
UC_Inflamed,CD16,Continuous nearest fibroblast a5,9,-0.0139916117061248,0.0214216316987657,-0.0633899829862992,0.0354067595740497,0.531975703486182,0.52734375,4,0.531975703486182
UC_Inflamed,CD11b,Continuous nearest fibroblast a5,9,-0.0337666897048743,0.0272294435236735,-0.0965578990697736,0.0290245196600251,0.25008350087043,0.25,7,0.333444667827239
UC_Inflamed,CXCR4,Continuous nearest fibroblast FAP_a5,9,0.0342778701361612,0.0315778265248867,-0.0385407284109874,0.10709646868331,0.309322243538784,0.3125,6,0.719520293204146
UC_Inflamed,OSM,Continuous nearest fibroblast FAP_a5,9,-0.0148360017341672,0.035448362808998,-0.0965800729579341,0.0669080694895997,0.686573475032963,0.6875,5,0.719520293204146
UC_Inflamed,CD16,Continuous nearest fibroblast FAP_a5,9,-0.0140058735199358,0.0239513462526884,-0.0692377770223422,0.0412260299824705,0.574823802808031,0.62890625,5,0.719520293204146
UC_Inflamed,CD11b,Continuous nearest fibroblast FAP_a5,9,-0.00765368499466433,0.0205718583403775,-0.0550924753964092,0.0397851054070805,0.719520293204146,0.734375,5,0.719520293204146
UC_Noninflamed,CXCR4,Unadjusted,8,0.19505620052624,0.0583452874313586,0.0570915188998974,0.333020882152582,0.0123664385985578,0.0078125,8,0.0494657543942312
UC_Noninflamed,CXCR4,Density + anatomy adjusted,8,-0.0405730022114941,0.0704659328244403,-0.207198455879274,0.126052451456285,0.582791360944557,0.6171875,5,0.582791360944557
UC_Noninflamed,OSM,Unadjusted,8,0.0878175142341955,0.0606686743274678,-0.0556411043925194,0.23127613286091,0.191016861280092,0.1953125,5,0.254689148373456
UC_Noninflamed,OSM,Density + anatomy adjusted,8,-0.0679068468660533,0.0699567868553863,-0.233328361627807,0.0975146678957004,0.364036768576076,0.3515625,5,0.485382358101435
UC_Noninflamed,CD16,Unadjusted,8,0.0803667114075041,0.100693445829667,-0.157735452577771,0.318468875392779,0.451016845547273,0.46875,5,0.451016845547273
UC_Noninflamed,CD16,Density + anatomy adjusted,8,0.117359805478655,0.0679202169761583,-0.0432459867566131,0.277965597713923,0.127638682725948,0.1328125,5,0.482922302162763
UC_Noninflamed,CD11b,Unadjusted,8,0.21240656805519,0.0931993239490256,-0.00797481358672794,0.432787949697108,0.0567150619074827,0.0703125,6,0.113430123814965
UC_Noninflamed,CD11b,Density + anatomy adjusted,8,0.125972757423066,0.0984467024941361,-0.106816702783908,0.35876221763004,0.241461151081382,0.265625,5,0.482922302162763
UC_Noninflamed,CXCR4,Continuous nearest fibroblast FAP,8,-0.00277097250053131,0.0989681004391973,-0.236793342933128,0.231251397932065,0.978444742260357,0.9765625,3,0.978444742260357
UC_Noninflamed,OSM,Continuous nearest fibroblast FAP,8,0.0245340483288908,0.109342392754511,-0.234019625305609,0.283087721963391,0.828871712797584,0.84375,6,0.978444742260357
