marker,n,effect,se,low,high,p,p_signflip,same_sign,omitted_id
CXCR4,16,0.0611839218257177,0.0502969875058221,-0.0460215693365924,0.168389412988028,0.242608115603535,0.24981689453125,10,P07
OSM,16,0.0476636409753436,0.0488469769141471,-0.0564512257702841,0.151778507720971,0.344651178764701,0.34197998046875,11,P07
CD16,16,0.133987006430172,0.0387378181221033,0.051419301597838,0.216554711262507,0.00350779886672563,0.00335693359375,13,P07
CD11b,16,0.159594484224303,0.0514821059670255,0.0498629728564262,0.26932599559218,0.00731724342872511,0.0057373046875,13,P07
CXCR4,16,0.0673620062884861,0.0504875424531112,-0.0402496431296276,0.1749736557066,0.202031462322085,0.20709228515625,10,P08
OSM,16,0.0540942234017189,0.049730226218417,-0.0519032446721108,0.160091691475549,0.293873749738225,0.290863037109375,11,P08
CD16,16,0.131735375269917,0.0390301818530225,0.0485445118961767,0.214926238643657,0.00416423208931167,0.00396728515625,13,P08
CD11b,16,0.156362890061841,0.0512131152981475,0.0472047187329044,0.265521061390778,0.00805106501592034,0.006072998046875,13,P08
CXCR4,16,0.0555467850162408,0.0493637415410005,-0.0496695394584548,0.160763109490936,0.278164541299779,0.288787841796875,10,P09
OSM,16,0.0508502744341844,0.0494053523287395,-0.0544547413351279,0.156155290203497,0.319675570240707,0.31640625,11,P09
CD16,16,0.134466156187214,0.0386561415102033,0.0520725409321964,0.216859771442231,0.00336879589483387,0.00323486328125,13,P09
CD11b,16,0.166906667293887,0.0512399735565054,0.0576912489423785,0.276122085645395,0.00530280321376119,0.00433349609375,13,P09
CXCR4,16,0.0627869112251576,0.0504289760473952,-0.0446999068541078,0.170273729304423,0.232211688040007,0.23858642578125,10,P10
OSM,16,0.0479337344749514,0.048903679869412,-0.0563019917589077,0.15216946070881,0.342549469785339,0.339996337890625,11,P10
CD16,16,0.126735500162819,0.0391503772602746,0.0432884463429128,0.210182553982725,0.00552696357720137,0.004974365234375,13,P10
CD11b,16,0.161803524744421,0.0515331865809821,0.0519631376251394,0.271643911863702,0.00674570778714484,0.005462646484375,13,P10
CXCR4,16,0.058614431495155,0.0499632445110809,-0.0478797033126803,0.16510856630299,0.259028408387467,0.267364501953125,10,P11
OSM,16,0.0484284413823107,0.0490029925995434,-0.0560189649250551,0.152875847689676,0.338692477523279,0.33636474609375,11,P11
CD16,16,0.127440151945606,0.039177262285613,0.0439357940506596,0.210944509840551,0.00535128935968049,0.00482177734375,13,P11
CD11b,16,0.154616474553534,0.0509705971971261,0.0459752183208091,0.263257730786259,0.00838170096382332,0.006195068359375,13,P11
CXCR4,16,0.0393004697153436,0.0420214196151342,-0.0502660660271109,0.128867005457798,0.364473583492606,0.371826171875,10,P12
OSM,16,0.0360916489373362,0.0446457533372008,-0.0590685217244142,0.131251819599087,0.431495197823916,0.42742919921875,11,P12
CD16,16,0.110047697039587,0.0339696927965554,0.037643010765564,0.18245238331361,0.00549942220946412,0.005401611328125,13,P12
CD11b,16,0.148069232259758,0.0494323439702777,0.0427066851683555,0.253431779351161,0.00905732217208016,0.006378173828125,13,P12
CXCR4,16,0.0612408296358227,0.050302670330442,-0.0459767741804411,0.168458433452086,0.242240908963251,0.24920654296875,10,P13
OSM,16,0.0505232743939692,0.0493590814783489,-0.0546831173923054,0.155729666180244,0.322256016693508,0.31866455078125,11,P13
CD16,16,0.128018397879374,0.0391885852998889,0.0444899055507951,0.211546890207953,0.00520190092521046,0.004791259765625,13,P13
CD11b,16,0.159667999284032,0.0514855346517763,0.0499291798476009,0.269406818720462,0.007299009497298,0.0057373046875,13,P13
CXCR4,16,0.0604331867759032,0.0502151169780232,-0.0465978014871352,0.167464175038942,0.247438623484427,0.254669189453125,10,P14
OSM,16,0.0536888158578513,0.049702863456612,-0.0522503298697639,0.159627961585467,0.297117725891031,0.2938232421875,11,P14
CD16,16,0.127018293486785,0.0391628952990017,0.0435445580989229,0.210492028874648,0.00545735542914076,0.004913330078125,13,P14
CD11b,16,0.165269952678536,0.051396788190834,0.0557202918459509,0.274819613511121,0.00577671166501589,0.004791259765625,13,P14
CXCR4,16,0.071222278446763,0.050170452439914,-0.0357135096068199,0.178158066500346,0.176170302345582,0.180419921875,11,P15
