Diagnosis2,fibroblast_state,radius_um,n,median_log2_observed_expected,p_value,fdr
Control,FAP+/a5B1+,15,6,-1.1561532770645828,0.15625,0.3201219512195122
Control,FAP+/a5B1+,25,6,-0.7782642351240334,0.3125,0.5833333333333334
Control,FAP+/a5B1+,35,6,-0.468581723842311,0.6875,0.9956896551724138
Control,FAP+/a5B1+,50,6,-0.2713598138720991,0.84375,1.0
Control,FAP+/a5B1+,75,6,-0.06591657791250038,1.0,1.0
Control,FAP+/a5B1+,100,6,-0.015071925569732235,1.0,1.0
Control,FAP+/a5B1+,150,6,0.07324352504385767,1.0,1.0
Control,FAP+/a5B1-,15,6,0.22390809020007352,0.4375,0.735
Control,FAP+/a5B1-,25,6,0.16934643765948532,0.5625,0.9038915094339623
Control,FAP+/a5B1-,35,6,0.08702468046838313,0.6875,0.9956896551724138
Control,FAP+/a5B1-,50,6,-0.02163546073675013,0.84375,1.0
Control,FAP+/a5B1-,75,6,-0.07196864664725841,0.6875,0.9956896551724138
Control,FAP+/a5B1-,100,6,-0.04605184740100134,0.4375,0.735
Control,FAP+/a5B1-,150,6,-0.025832246473494736,0.84375,1.0
Control,FAP-/a5B1+,15,6,-0.7689854142579846,0.03125,0.07720588235294118
Control,FAP-/a5B1+,25,6,-0.35286731549708705,0.03125,0.07720588235294118
Control,FAP-/a5B1+,35,6,-0.20619639012722002,0.21875,0.4375
Control,FAP-/a5B1+,50,6,-0.0913998250188557,0.5625,0.9038915094339623
Control,FAP-/a5B1+,75,6,-0.01591077044209201,0.6875,0.9956896551724138
Control,FAP-/a5B1+,100,6,0.008391282721914133,1.0,1.0
Control,FAP-/a5B1+,150,6,0.0770625882412971,0.84375,1.0
Control,FAP-/a5B1-,15,6,0.2167710454126343,0.03125,0.07720588235294118
Control,FAP-/a5B1-,25,6,0.17122701157650702,0.03125,0.07720588235294118
Control,FAP-/a5B1-,35,6,0.09980165203032905,0.15625,0.3201219512195122
Control,FAP-/a5B1-,50,6,0.04750994874585433,0.4375,0.735
Control,FAP-/a5B1-,75,6,-0.0019168459289796297,0.84375,1.0
Control,FAP-/a5B1-,100,6,-0.016857824294306885,1.0,1.0
Control,FAP-/a5B1-,150,6,-0.025539222666763676,0.84375,1.0
UC_Inflamed,FAP+/a5B1+,15,9,-0.6645388718294148,0.0390625,0.09375
UC_Inflamed,FAP+/a5B1+,25,9,-1.1919642198864067,0.01953125,0.06310096153846154
UC_Inflamed,FAP+/a5B1+,35,9,-0.910712760224729,0.01953125,0.06310096153846154
UC_Inflamed,FAP+/a5B1+,50,9,-0.7504203234526532,0.01953125,0.06310096153846154
UC_Inflamed,FAP+/a5B1+,75,9,-0.5629937255757079,0.01171875,0.0546875
UC_Inflamed,FAP+/a5B1+,100,9,-0.35614631974442995,0.02734375,0.07656249999999999
UC_Inflamed,FAP+/a5B1+,150,9,-0.009452057169464803,0.359375,0.6422872340425532
UC_Inflamed,FAP+/a5B1-,15,9,0.11507488286099843,0.8203125,1.0
UC_Inflamed,FAP+/a5B1-,25,9,0.102820885221248,0.8203125,1.0
