Diagnosis2,fibroblast_state,marker,n,median_near_enrichment_slope,p_value,fdr
Control,FAP+/a5B1+,CD11b,6,0.09612468333324807,0.03125,0.1
Control,FAP+/a5B1+,CD16,6,0.11136099427310564,0.09375,0.28125
Control,FAP+/a5B1+,CXCR4,6,0.1589916191867351,0.03125,0.1
Control,FAP+/a5B1+,OSM,6,0.16070533049071983,0.03125,0.1
Control,FAP+/a5B1-,CD11b,6,0.23245105124735177,0.03125,0.1
Control,FAP+/a5B1-,CD16,6,0.1957197313944101,0.03125,0.1
Control,FAP+/a5B1-,CXCR4,6,0.3464654326204707,0.03125,0.1
Control,FAP+/a5B1-,OSM,6,0.2839115029573359,0.03125,0.1
Control,FAP-/a5B1+,CD11b,6,-0.051826435029673185,0.84375,0.9
Control,FAP-/a5B1+,CD16,6,0.0017925481234225362,0.84375,0.9
Control,FAP-/a5B1+,CXCR4,6,-0.06921004712742491,0.5625,0.8295454545454546
Control,FAP-/a5B1+,OSM,6,-0.0643594835876409,0.84375,0.9
Control,FAP-/a5B1-,CD11b,6,0.026905355492933,0.6875,0.868421052631579
Control,FAP-/a5B1-,CD16,6,0.04675119691103957,0.84375,0.9
Control,FAP-/a5B1-,CXCR4,6,0.11231883199411483,0.4375,0.7241379310344828
Control,FAP-/a5B1-,OSM,6,0.08814987344033887,0.3125,0.576923076923077
UC_Inflamed,FAP+/a5B1+,CD11b,9,0.07280578448728889,0.5703125,0.8295454545454546
UC_Inflamed,FAP+/a5B1+,CD16,9,0.1110638278731154,0.203125,0.4431818181818182
UC_Inflamed,FAP+/a5B1+,CXCR4,9,0.07230728386641516,0.5703125,0.8295454545454546
UC_Inflamed,FAP+/a5B1+,OSM,9,-0.07709306525615488,0.25,0.5
UC_Inflamed,FAP+/a5B1-,CD11b,9,0.2981647137662105,0.00390625,0.0625
UC_Inflamed,FAP+/a5B1-,CD16,9,0.2763967738948453,0.0078125,0.075
UC_Inflamed,FAP+/a5B1-,CXCR4,9,0.38252425310893884,0.0078125,0.075
UC_Inflamed,FAP+/a5B1-,OSM,9,0.26691280197094347,0.65234375,0.8462837837837838
UC_Inflamed,FAP-/a5B1+,CD11b,9,0.003892538018619038,0.5703125,0.8295454545454546
UC_Inflamed,FAP-/a5B1+,CD16,9,0.09748517325888076,0.1640625,0.39375
UC_Inflamed,FAP-/a5B1+,CXCR4,9,0.03160984829206676,0.30078125,0.576923076923077
UC_Inflamed,FAP-/a5B1+,OSM,9,-0.023002905666624846,0.65234375,0.8462837837837838
UC_Inflamed,FAP-/a5B1-,CD11b,9,0.042628975092196666,0.65234375,0.8462837837837838
UC_Inflamed,FAP-/a5B1-,CD16,9,0.1967512831356653,0.25,0.5
UC_Inflamed,FAP-/a5B1-,CXCR4,9,0.22855204194565282,0.01953125,0.1
UC_Inflamed,FAP-/a5B1-,OSM,9,0.03307480408095881,0.91015625,0.91015625
UC_Noninflamed,FAP+/a5B1+,CD11b,9,0.254370826861228,0.12890625,0.34375
UC_Noninflamed,FAP+/a5B1+,CD16,9,0.08216961761094681,0.91015625,0.91015625
UC_Noninflamed,FAP+/a5B1+,CXCR4,9,0.2948371124166114,0.01953125,0.1
UC_Noninflamed,FAP+/a5B1+,OSM,9,0.3984940061708755,0.00390625,0.0625
UC_Noninflamed,FAP+/a5B1-,CD11b,9,0.19426011546366906,0.1640625,0.39375
UC_Noninflamed,FAP+/a5B1-,CD16,9,0.08603084143044881,0.734375,0.88125
UC_Noninflamed,FAP+/a5B1-,CXCR4,9,0.19513955840734157,0.02734375,0.1
UC_Noninflamed,FAP+/a5B1-,OSM,9,0.07003324728972696,0.8203125,0.9
UC_Noninflamed,FAP-/a5B1+,CD11b,9,0.002947116903035892,0.734375,0.88125
UC_Noninflamed,FAP-/a5B1+,CD16,9,-0.1360241485212122,0.359375,0.6388888888888888
UC_Noninflamed,FAP-/a5B1+,CXCR4,9,-0.04311981100842594,0.42578125,0.7241379310344828
UC_Noninflamed,FAP-/a5B1+,OSM,9,0.25622674663086764,0.91015625,0.91015625
UC_Noninflamed,FAP-/a5B1-,CD11b,9,0.2144514817692504,0.203125,0.4431818181818182
UC_Noninflamed,FAP-/a5B1-,CD16,9,-0.002154588043609161,0.65234375,0.8462837837837838
UC_Noninflamed,FAP-/a5B1-,CXCR4,9,0.46470363252113067,0.00390625,0.0625
UC_Noninflamed,FAP-/a5B1-,OSM,9,0.2964682996912836,0.12890625,0.34375
