Diagnosis2,fibroblast_state,immune_target,n,median_log2_observed_expected,p_value,fdr
Control,FAP+/a5B1+,B / plasma,6,0.03909593413758036,1.0,1.0
Control,FAP+/a5B1+,CD4 T,6,-0.47483716586479774,0.0625,0.125
Control,FAP+/a5B1+,CD8 T,6,0.30644728923204273,0.0625,0.125
Control,FAP+/a5B1+,Dendritic,6,0.20276856482115577,0.6875,0.7734375
Control,FAP+/a5B1+,Macrophage,6,0.25670452666947763,0.09375,0.17578125
Control,FAP+/a5B1+,Neutrophil,6,1.2377008737098705,0.09375,0.17578125
Control,FAP+/a5B1-,B / plasma,6,0.2795476048040636,0.03125,0.075
Control,FAP+/a5B1-,CD4 T,6,-0.3236457511833294,0.03125,0.075
Control,FAP+/a5B1-,CD8 T,6,-0.013922713314465696,0.5625,0.673155737704918
Control,FAP+/a5B1-,Dendritic,6,-0.6675537826685507,0.21875,0.30882352941176466
Control,FAP+/a5B1-,Macrophage,6,0.45390204229788517,0.03125,0.075
Control,FAP+/a5B1-,Neutrophil,6,0.08098012248877857,0.6875,0.7734375
Control,FAP-/a5B1+,B / plasma,6,0.02571315997871545,0.5625,0.673155737704918
Control,FAP-/a5B1+,CD4 T,6,-0.4689400939766336,0.03125,0.075
Control,FAP-/a5B1+,CD8 T,6,0.21290479864219244,0.0625,0.125
Control,FAP-/a5B1+,Dendritic,6,-0.22157675480989217,0.4375,0.5526315789473685
Control,FAP-/a5B1+,Macrophage,6,0.17822502437417292,0.15625,0.24456521739130438
Control,FAP-/a5B1+,Neutrophil,6,1.4532981969508034,0.03125,0.075
Control,FAP-/a5B1-,B / plasma,6,0.3237491196318343,0.03125,0.075
Control,FAP-/a5B1-,CD4 T,6,-0.28950616967627846,0.03125,0.075
Control,FAP-/a5B1-,CD8 T,6,0.09658926825569827,0.03125,0.075
Control,FAP-/a5B1-,Dendritic,6,-0.3835138321534928,0.03125,0.075
Control,FAP-/a5B1-,Macrophage,6,0.12518303139388653,0.0625,0.125
Control,FAP-/a5B1-,Neutrophil,6,0.49460719587889246,0.03125,0.075
UC_Inflamed,FAP+/a5B1+,B / plasma,9,0.1591366911212834,0.42578125,0.5474330357142857
UC_Inflamed,FAP+/a5B1+,CD4 T,9,-0.36569272735853103,0.09765625,0.17578125
UC_Inflamed,FAP+/a5B1+,CD8 T,9,0.09809382469253257,1.0,1.0
UC_Inflamed,FAP+/a5B1+,Dendritic,9,-0.9457204514401965,0.12890625,0.20625
UC_Inflamed,FAP+/a5B1+,Macrophage,9,0.6568800901779098,0.00390625,0.040178571428571425
UC_Inflamed,FAP+/a5B1+,Neutrophil,9,-0.9449669492818746,0.02734375,0.075
UC_Inflamed,FAP+/a5B1-,B / plasma,9,0.352414559759756,0.0078125,0.040178571428571425
UC_Inflamed,FAP+/a5B1-,CD4 T,9,-0.27029533089837315,0.01953125,0.07401315789473684
UC_Inflamed,FAP+/a5B1-,CD8 T,9,0.18803407106759476,0.91015625,0.9636948529411765
UC_Inflamed,FAP+/a5B1-,Dendritic,9,-0.48353280469570986,0.12890625,0.20625
UC_Inflamed,FAP+/a5B1-,Macrophage,9,0.21598587131498523,0.0078125,0.040178571428571425
UC_Inflamed,FAP+/a5B1-,Neutrophil,9,-0.2985288343165221,0.12890625,0.20625
UC_Inflamed,FAP-/a5B1+,B / plasma,9,0.21195294392407035,0.0390625,0.09072580645161289
UC_Inflamed,FAP-/a5B1+,CD4 T,9,-0.653819419682293,0.01953125,0.07401315789473684
UC_Inflamed,FAP-/a5B1+,CD8 T,9,0.44091382486918695,0.0078125,0.040178571428571425
UC_Inflamed,FAP-/a5B1+,Dendritic,9,-0.7639003138809825,0.01171875,0.049632352941176475
UC_Inflamed,FAP-/a5B1+,Macrophage,9,0.3153204324076089,0.0078125,0.040178571428571425
UC_Inflamed,FAP-/a5B1+,Neutrophil,9,-0.14924667794614146,0.203125,0.29250000000000004
UC_Inflamed,FAP-/a5B1-,B / plasma,9,0.21204196803578426,0.0078125,0.040178571428571425
UC_Inflamed,FAP-/a5B1-,CD4 T,9,-0.6415816215196702,0.0078125,0.040178571428571425
UC_Inflamed,FAP-/a5B1-,CD8 T,9,0.42918232147900803,0.00390625,0.040178571428571425
UC_Inflamed,FAP-/a5B1-,Dendritic,9,-1.6786207126148458,0.00390625,0.040178571428571425
UC_Inflamed,FAP-/a5B1-,Macrophage,9,0.08916237589922037,0.1640625,0.24609375
UC_Inflamed,FAP-/a5B1-,Neutrophil,9,-0.019776784889488898,0.5703125,0.673155737704918
UC_Noninflamed,FAP+/a5B1+,B / plasma,9,-0.058737422701815804,0.91015625,0.9636948529411765
UC_Noninflamed,FAP+/a5B1+,CD4 T,9,-0.37749253741420546,0.01171875,0.049632352941176475
