Diagnosis2,omitted_patient,original_median,leave_one_out_median
Control,P01,-0.02163546073675013,0.11828527743046649
Control,P02,-0.02163546073675013,-0.16155619890396675
Control,P03,-0.02163546073675013,-0.16155619890396675
Control,P04,-0.02163546073675013,0.11828527743046649
Control,P05,-0.02163546073675013,-0.16155619890396675
Control,P06,-0.02163546073675013,0.11828527743046649
UC_Noninflamed,P16,0.0554269709268599,0.04686003769293691
UC_Noninflamed,P17,0.0554269709268599,0.04686003769293691
UC_Noninflamed,P18,0.0554269709268599,0.10117953741224392
UC_Noninflamed,P19,0.0554269709268599,0.10117953741224392
UC_Noninflamed,P20,0.0554269709268599,0.04686003769293691
UC_Noninflamed,P21,0.0554269709268599,0.04686003769293691
UC_Noninflamed,P22,0.0554269709268599,0.10117953741224392
UC_Noninflamed,P23,0.0554269709268599,0.10117953741224392
UC_Noninflamed,P24,0.0554269709268599,0.09261260417832093
UC_Inflamed,P07,0.06324577378664199,0.16539857195842864
UC_Inflamed,P08,0.06324577378664199,0.16539857195842864
UC_Inflamed,P09,0.06324577378664199,0.16539857195842864
UC_Inflamed,P10,0.06324577378664199,-0.034023731360140835
UC_Inflamed,P11,0.06324577378664199,-0.1361765295319275
UC_Inflamed,P12,0.06324577378664199,-0.1361765295319275
UC_Inflamed,P13,0.06324577378664199,-0.1361765295319275
UC_Inflamed,P14,0.06324577378664199,0.16539857195842864
UC_Inflamed,P15,0.06324577378664199,-0.1361765295319275
