SampleID,DonorID,ConditionCode,condition_label,fibroblast_cells,FAP,ITGA5,ITGB1,alpha5beta1_score,alpha5beta1_double_positive_pct
C1,Donor1,UF,"UC fibroblast
co-culture",3,0,1.42072708179751,0.933871662688069,0.46428310401684,33.3333333333333
C10,Donor4,UN,"UC +
NAMPTi",5,0,0.363832022254376,0,0,0
C2,Donor2,UF,"UC fibroblast
co-culture",5,0.503350212166314,0.308588827546282,1.8267835768628,0.616492939501536,40
C3,Donor3,UF,"UC fibroblast
co-culture",13,0.379064020735298,1.02689154785687,0.348174911821986,0.259868001844679,15.3846153846154
C4,Donor4,UF,"UC fibroblast
co-culture",13,0.067961304371356,0.437304925999784,0.627729484266689,0.105462491425704,7.69230769230769
C7,Donor1,UN,"UC +
NAMPTi",2,0.238366885328793,0.886068056456637,1.66391330648089,1.21422420894407,50
C8,Donor2,UN,"UC +
NAMPTi",7,0,0.54809808005584,0.454216989478409,0.208724173178289,28.5714285714286
C9,Donor3,UN,"UC +
NAMPTi",19,0,0.235490585428541,0.167971339993748,0,0
D1,Donor1,UA5,"UC +
alpha5beta1i",16,0.0489909885508978,0.0986642402649272,0.568688906238168,0.151648763383911,12.5
D10,Donor4,UD,"UC +
dual blockade",16,0,0.232296701696157,0.191748323381115,0.0325604018190257,6.25
D11,Donor5,UD,"UC +
dual blockade",13,0.537357654685192,0.170328750218273,0.173940302497487,0.172125054355795,7.69230769230769
D12,Donor6,UD,"UC +
dual blockade",3,0,0,0,0,0
D2,Donor2,UA5,"UC +
alpha5beta1i",12,0,0.570856985233906,0.700554224670449,0.151699532043821,8.33333333333333
D3,Donor3,UA5,"UC +
alpha5beta1i",21,0.0722522471120462,0.305222384909281,0.563450734543274,0.332801542504099,19.0476190476191
D4,Donor4,UA5,"UC +
alpha5beta1i",14,0,0.159452612097677,0.170764490261416,0,0
D6,Donor6,UA5,"UC +
alpha5beta1i",4,0,0,0,0,0
D7,Donor1,UD,"UC +
dual blockade",2,0,0,0,0,0
D8,Donor2,UD,"UC +
dual blockade",8,0.0770959611699084,0.359922356730413,0.748523189321327,0.410174200412524,37.5
D9,Donor3,UD,"UC +
dual blockade",15,0.217939034490864,0.553251266345503,0.444293253027491,0.261422490483565,20
E1,Donor1,CF,"Control fibroblast
co-culture",4,0,0,0.55127788315772,0,0
E3,Donor3,CF,"Control fibroblast
co-culture",20,0,0,0.245353864963618,0,0
E4,Donor4,CF,"Control fibroblast
co-culture",17,0.296952962405829,0,0,0,0
E6,Donor6,CF,"Control fibroblast
co-culture",6,0,0,0.252746151275686,0,0
