ConditionCode,condition_label,metric,samples,median,mean,q1,q3
CF,"Control fibroblast
co-culture",FAP,4,0,0.0742382406014573,0,0.0742382406014573
CF,"Control fibroblast
co-culture",ITGA5,4,0,0,0,0
CF,"Control fibroblast
co-culture",ITGB1,4,0.249050008119652,0.262344474849256,0.184015398722713,0.327379084246195
CF,"Control fibroblast
co-culture",alpha5beta1_double_positive_pct,4,0,0,0,0
CF,"Control fibroblast
co-culture",alpha5beta1_score,4,0,0,0,0
UF,"UC fibroblast
co-culture",FAP,4,0.223512662553327,0.237593884318242,0.050970978278517,0.410135568593052
UF,"UC fibroblast
co-culture",ITGA5,4,0.732098236928328,0.798378095800112,0.405125901386408,1.12535043134203
UF,"UC fibroblast
co-culture",ITGB1,4,0.780800573477379,0.934139908909886,0.557840841155513,1.15709964123175
UF,"UC fibroblast
co-culture",alpha5beta1_double_positive_pct,4,24.3589743589744,24.1025641025641,13.4615384615385,35
UF,"UC fibroblast
co-culture",alpha5beta1_score,4,0.36207555293076,0.36152663419719,0.221266624239935,0.502335562888014
UN,"UC +
NAMPTi",FAP,4,0,0.0595917213321982,0,0.0595917213321982
UN,"UC +
NAMPTi",ITGA5,4,0.455965051155108,0.508372186048849,0.331746663047917,0.632590574156039
UN,"UC +
NAMPTi",ITGB1,4,0.311094164736078,0.571525408988263,0.125978504995311,0.75664106872903
UN,"UC +
NAMPTi",alpha5beta1_double_positive_pct,4,14.2857142857143,19.6428571428571,0,33.9285714285714
UN,"UC +
NAMPTi",alpha5beta1_score,4,0.104362086589144,0.355737095530591,0,0.460099182119735
UA5,"UC +
alpha5beta1i",FAP,5,0,0.0242486471325888,0,0.0489909885508978
UA5,"UC +
alpha5beta1i",ITGA5,5,0.159452612097677,0.226839244501158,0.0986642402649272,0.305222384909281
UA5,"UC +
alpha5beta1i",ITGB1,5,0.563450734543274,0.400691671142661,0.170764490261416,0.568688906238168
UA5,"UC +
alpha5beta1i",alpha5beta1_double_positive_pct,5,8.33333333333333,7.97619047619048,0,12.5
UA5,"UC +
alpha5beta1i",alpha5beta1_score,5,0.151648763383911,0.127229967586366,0,0.151699532043821
UD,"UC +
dual blockade",FAP,6,0.0385479805849542,0.138732108390994,0,0.182728266160625
UD,"UC +
dual blockade",ITGA5,6,0.201312725957215,0.219299845831724,0.0425821875545682,0.328015942971849
UD,"UC +
dual blockade",ITGB1,6,0.182844312939301,0.25975084470457,0.0434850756243718,0.381157020615897
UD,"UC +
dual blockade",alpha5beta1_double_positive_pct,6,6.97115384615385,11.9070512820513,1.5625,16.9230769230769
UD,"UC +
dual blockade",alpha5beta1_score,6,0.10234272808741,0.146047024511818,0.00814010045475643,0.239098131451623
