"Subcluster","Confidence","Freq"
"1","High stromal confidence",4
"2","High stromal confidence",0
"3","High stromal confidence",9
"4","High stromal confidence",0
"1","Low-confidence/ambient-like",110
"2","Low-confidence/ambient-like",37
"3","Low-confidence/ambient-like",6
"4","Low-confidence/ambient-like",29
"1","Mixed immune-stromal",2
"2","Mixed immune-stromal",1
"3","Mixed immune-stromal",13
"4","Mixed immune-stromal",0
"1","Moderate stromal confidence",20
"2","Moderate stromal confidence",1
"3","Moderate stromal confidence",6
"4","Moderate stromal confidence",0
