SampleID,fibroblast_annotation,DonorID,ConditionCode,condition_label,total_fibroblasts,cells,proportion,annotation_short
C7,COL1A1+ inflammatory ECM fibroblast,Donor1,UN,"UC +
NAMPTi",2,1,0.5,COL1A1+ inflammatory ECM
C7,CSF3R+ immune-like fibroblast,Donor1,UN,"UC +
NAMPTi",2,0,0,CSF3R+ immune-like
C7,CCN1/CCN2+ activated fibroblast,Donor1,UN,"UC +
NAMPTi",2,1,0.5,CCN1/CCN2+ activated
C7,S100A8/A9+ immune-like fibroblast,Donor1,UN,"UC +
NAMPTi",2,0,0,S100A8/A9+ immune-like
C8,COL1A1+ inflammatory ECM fibroblast,Donor2,UN,"UC +
NAMPTi",7,2,0.285714285714286,COL1A1+ inflammatory ECM
C8,CSF3R+ immune-like fibroblast,Donor2,UN,"UC +
NAMPTi",7,0,0,CSF3R+ immune-like
C8,CCN1/CCN2+ activated fibroblast,Donor2,UN,"UC +
NAMPTi",7,3,0.428571428571429,CCN1/CCN2+ activated
C8,S100A8/A9+ immune-like fibroblast,Donor2,UN,"UC +
NAMPTi",7,2,0.285714285714286,S100A8/A9+ immune-like
C9,COL1A1+ inflammatory ECM fibroblast,Donor3,UN,"UC +
NAMPTi",19,18,0.947368421052632,COL1A1+ inflammatory ECM
C9,CSF3R+ immune-like fibroblast,Donor3,UN,"UC +
NAMPTi",19,0,0,CSF3R+ immune-like
C9,CCN1/CCN2+ activated fibroblast,Donor3,UN,"UC +
NAMPTi",19,1,0.0526315789473684,CCN1/CCN2+ activated
C9,S100A8/A9+ immune-like fibroblast,Donor3,UN,"UC +
NAMPTi",19,0,0,S100A8/A9+ immune-like
C4,COL1A1+ inflammatory ECM fibroblast,Donor4,UF,"UC fibroblast
co-culture",13,12,0.923076923076923,COL1A1+ inflammatory ECM
C4,CSF3R+ immune-like fibroblast,Donor4,UF,"UC fibroblast
co-culture",13,0,0,CSF3R+ immune-like
C4,CCN1/CCN2+ activated fibroblast,Donor4,UF,"UC fibroblast
co-culture",13,1,0.0769230769230769,CCN1/CCN2+ activated
C4,S100A8/A9+ immune-like fibroblast,Donor4,UF,"UC fibroblast
co-culture",13,0,0,S100A8/A9+ immune-like
C3,COL1A1+ inflammatory ECM fibroblast,Donor3,UF,"UC fibroblast
co-culture",13,11,0.846153846153846,COL1A1+ inflammatory ECM
C3,CSF3R+ immune-like fibroblast,Donor3,UF,"UC fibroblast
co-culture",13,0,0,CSF3R+ immune-like
C3,CCN1/CCN2+ activated fibroblast,Donor3,UF,"UC fibroblast
co-culture",13,2,0.153846153846154,CCN1/CCN2+ activated
C3,S100A8/A9+ immune-like fibroblast,Donor3,UF,"UC fibroblast
co-culture",13,0,0,S100A8/A9+ immune-like
C1,COL1A1+ inflammatory ECM fibroblast,Donor1,UF,"UC fibroblast
co-culture",3,2,0.666666666666667,COL1A1+ inflammatory ECM
C1,CSF3R+ immune-like fibroblast,Donor1,UF,"UC fibroblast
co-culture",3,0,0,CSF3R+ immune-like
C1,CCN1/CCN2+ activated fibroblast,Donor1,UF,"UC fibroblast
co-culture",3,1,0.333333333333333,CCN1/CCN2+ activated
C1,S100A8/A9+ immune-like fibroblast,Donor1,UF,"UC fibroblast
co-culture",3,0,0,S100A8/A9+ immune-like
C10,COL1A1+ inflammatory ECM fibroblast,Donor4,UN,"UC +
NAMPTi",5,5,1,COL1A1+ inflammatory ECM
C10,CSF3R+ immune-like fibroblast,Donor4,UN,"UC +
NAMPTi",5,0,0,CSF3R+ immune-like
C10,CCN1/CCN2+ activated fibroblast,Donor4,UN,"UC +
NAMPTi",5,0,0,CCN1/CCN2+ activated
C10,S100A8/A9+ immune-like fibroblast,Donor4,UN,"UC +
NAMPTi",5,0,0,S100A8/A9+ immune-like
C2,COL1A1+ inflammatory ECM fibroblast,Donor2,UF,"UC fibroblast
co-culture",5,2,0.4,COL1A1+ inflammatory ECM
C2,CSF3R+ immune-like fibroblast,Donor2,UF,"UC fibroblast
co-culture",5,0,0,CSF3R+ immune-like
C2,CCN1/CCN2+ activated fibroblast,Donor2,UF,"UC fibroblast
co-culture",5,3,0.6,CCN1/CCN2+ activated
C2,S100A8/A9+ immune-like fibroblast,Donor2,UF,"UC fibroblast
co-culture",5,0,0,S100A8/A9+ immune-like
D10,COL1A1+ inflammatory ECM fibroblast,Donor4,UD,"UC +
dual blockade",16,13,0.8125,COL1A1+ inflammatory ECM
D10,CSF3R+ immune-like fibroblast,Donor4,UD,"UC +
dual blockade",16,0,0,CSF3R+ immune-like
D10,CCN1/CCN2+ activated fibroblast,Donor4,UD,"UC +
dual blockade",16,2,0.125,CCN1/CCN2+ activated
D10,S100A8/A9+ immune-like fibroblast,Donor4,UD,"UC +
dual blockade",16,1,0.0625,S100A8/A9+ immune-like
D11,COL1A1+ inflammatory ECM fibroblast,Donor5,UD,"UC +
dual blockade",13,9,0.692307692307692,COL1A1+ inflammatory ECM
D11,CSF3R+ immune-like fibroblast,Donor5,UD,"UC +
dual blockade",13,0,0,CSF3R+ immune-like
D11,CCN1/CCN2+ activated fibroblast,Donor5,UD,"UC +
dual blockade",13,3,0.230769230769231,CCN1/CCN2+ activated
D11,S100A8/A9+ immune-like fibroblast,Donor5,UD,"UC +
dual blockade",13,1,0.0769230769230769,S100A8/A9+ immune-like
D3,COL1A1+ inflammatory ECM fibroblast,Donor3,UA5,"UC +
alpha5beta1i",21,12,0.571428571428571,COL1A1+ inflammatory ECM
D3,CSF3R+ immune-like fibroblast,Donor3,UA5,"UC +
alpha5beta1i",21,0,0,CSF3R+ immune-like
D3,CCN1/CCN2+ activated fibroblast,Donor3,UA5,"UC +
alpha5beta1i",21,3,0.142857142857143,CCN1/CCN2+ activated
D3,S100A8/A9+ immune-like fibroblast,Donor3,UA5,"UC +
alpha5beta1i",21,6,0.285714285714286,S100A8/A9+ immune-like
D8,COL1A1+ inflammatory ECM fibroblast,Donor2,UD,"UC +
dual blockade",8,4,0.5,COL1A1+ inflammatory ECM
D8,CSF3R+ immune-like fibroblast,Donor2,UD,"UC +
dual blockade",8,0,0,CSF3R+ immune-like
D8,CCN1/CCN2+ activated fibroblast,Donor2,UD,"UC +
dual blockade",8,2,0.25,CCN1/CCN2+ activated
D8,S100A8/A9+ immune-like fibroblast,Donor2,UD,"UC +
dual blockade",8,2,0.25,S100A8/A9+ immune-like
