canonical_cluster,condition,Freq
1,PRE,3511
2,PRE,302
3,PRE,396
4,PRE,2449
5,PRE,69
6,PRE,1
1,N,410
2,N,179
3,N,599
4,N,47
5,N,56
6,N,9
1,NNAMPT,205
2,NNAMPT,61
3,NNAMPT,299
4,NNAMPT,29
5,NNAMPT,8
6,NNAMPT,5
1,NA5,5752
2,NA5,1909
3,NA5,1346
4,NA5,146
5,NA5,32
6,NA5,64
1,CF,5733
2,CF,1847
3,CF,979
4,CF,114
5,CF,31
6,CF,34
1,UF,3640
2,UF,2627
3,UF,601
4,UF,84
5,UF,40
6,UF,7
1,UN,2759
2,UN,1217
3,UN,373
4,UN,47
5,UN,21
6,UN,4
1,UA5,3077
2,UA5,1503
3,UA5,1393
4,UA5,357
5,UA5,122
6,UA5,37
1,UD,2896
2,UD,1248
3,UD,1432
4,UD,442
5,UD,122
6,UD,34
