resolution_0_2,resolution_0_4,resolution_0_6,Freq
1,1,1,5467
2,1,1,0
3,1,1,0
4,1,1,0
5,1,1,0
1,2,1,9391
2,2,1,6
3,2,1,0
4,2,1,0
5,2,1,0
1,3,1,139
2,3,1,14
3,3,1,0
4,3,1,0
5,3,1,0
1,4,1,28
2,4,1,0
3,4,1,2
4,4,1,0
5,4,1,0
1,5,1,3
2,5,1,0
3,5,1,0
4,5,1,0
5,5,1,0
1,6,1,0
2,6,1,0
3,6,1,0
4,6,1,0
5,6,1,0
1,1,2,11222
2,1,2,0
3,1,2,0
4,1,2,0
5,1,2,0
1,2,2,1359
2,2,2,0
3,2,2,2
4,2,2,0
5,2,2,0
1,3,2,42
2,3,2,3
3,3,2,0
4,3,2,0
5,3,2,0
1,4,2,7
2,4,2,0
3,4,2,3
4,4,2,0
5,4,2,0
1,5,2,0
2,5,2,0
3,5,2,0
4,5,2,0
5,5,2,0
1,6,2,0
2,6,2,0
3,6,2,0
4,6,2,0
5,6,2,0
1,1,3,10839
2,1,3,0
3,1,3,1
4,1,3,0
5,1,3,0
1,2,3,97
2,2,3,0
3,2,3,0
4,2,3,0
5,2,3,0
1,3,3,3
2,3,3,1
3,3,3,0
4,3,3,0
5,3,3,0
1,4,3,0
2,4,3,0
3,4,3,2
4,4,3,0
5,4,3,0
1,5,3,1
2,5,3,0
3,5,3,0
4,5,3,0
5,5,3,0
1,6,3,0
2,6,3,0
3,6,3,0
4,6,3,0
5,6,3,0
1,1,4,431
2,1,4,0
3,1,4,0
4,1,4,0
5,1,4,0
1,2,4,27
2,2,4,4
3,2,4,0
4,2,4,0
5,2,4,0
1,3,4,322
2,3,4,6849
3,3,4,21
4,3,4,1
5,3,4,2
1,4,4,0
2,4,4,0
3,4,4,25
4,4,4,0
5,4,4,0
1,5,4,0
2,5,4,0
3,5,4,0
4,5,4,0
5,5,4,0
1,6,4,0
2,6,4,0
3,6,4,0
4,6,4,0
5,6,4,0
1,1,5,16
2,1,5,0
3,1,5,0
4,1,5,0
5,1,5,0
1,2,5,3
2,2,5,0
3,2,5,1
4,2,5,0
5,2,5,0
1,3,5,0
2,3,5,0
3,3,5,2
4,3,5,0
5,3,5,0
1,4,5,13
2,4,5,0
3,4,5,3629
4,4,5,0
5,4,5,0
1,5,5,0
2,5,5,0
3,5,5,0
4,5,5,0
5,5,5,0
1,6,5,0
2,6,5,0
3,6,5,0
4,6,5,0
5,6,5,0
1,1,6,4
2,1,6,0
3,1,6,0
4,1,6,0
5,1,6,0
1,2,6,2
2,2,6,0
3,2,6,0
4,2,6,1
5,2,6,0
1,3,6,2
2,3,6,7
3,3,6,0
4,3,6,1
5,3,6,0
1,4,6,0
2,4,6,1
3,4,6,5
4,4,6,0
5,4,6,0
1,5,6,13
2,5,6,5
3,5,6,2
4,5,6,477
5,5,6,0
1,6,6,0
2,6,6,0
3,6,6,0
4,6,6,0
5,6,6,0
1,1,7,3
2,1,7,0
3,1,7,0
4,1,7,0
5,1,7,0
1,2,7,0
2,2,7,0
3,2,7,0
4,2,7,0
5,2,7,0
1,3,7,0
2,3,7,8
3,3,7,0
4,3,7,0
5,3,7,1
1,4,7,0
2,4,7,0
3,4,7,0
4,4,7,0
5,4,7,0
1,5,7,0
2,5,7,0
3,5,7,0
4,5,7,0
5,5,7,0
1,6,7,2
2,6,7,5
3,6,7,1
4,6,7,0
5,6,7,187
