panel,contrast,reference,comparison,paired,state,neighborhoods,median_logFC,mean_logFC,weighted_mean_logFC,median_state_fraction,da_neighborhoods_spatial_FDR_0_05,da_up_spatial_FDR_0_05,da_down_spatial_FDR_0_05,da_fraction_spatial_FDR_0_05,minimum_SpatialFDR
Figure A subcluster annotations,Control fibroblast vs neutrophils alone,N,CF,TRUE,Activated OSM/CXCR4 neutrophil,4799,2.0740707097236,2.01502394958726,2.24625510308936,0.961538461538461,0,0,0,0,0.322867090138323
Figure A subcluster annotations,Control fibroblast vs neutrophils alone,N,CF,TRUE,DHFR+ proliferative/stress neutrophil,10,1.03753564483157,1.11909302781373,1.44747505232883,0.575358851674641,0,0,0,0,0.38659941439163
Figure A subcluster annotations,Control fibroblast vs neutrophils alone,N,CF,TRUE,IL1R2+ inflammatory neutrophil,201,0.809043151943659,0.738657590215863,0.87448186330427,0.65,0,0,0,0,0.395171254023313
Figure A subcluster annotations,Control fibroblast vs neutrophils alone,N,CF,TRUE,LTF/BPI immature neutrophil,26,-0.507828464648804,-0.742055117394222,-0.892861070728443,0.942460317460317,0,0,0,0,0.395171254023313
Figure A subcluster annotations,Control fibroblast vs neutrophils alone,N,CF,TRUE,Low-signal neutrophil,1790,0.714237590200712,0.524840016100089,0.579228703222791,0.800662251655629,0,0,0,0,0.322867090138323
Figure A subcluster annotations,Control fibroblast vs neutrophils alone,N,CF,TRUE,PADI4/translation-high neutrophil,121,0.532536995071146,0.475840550386791,0.674658473304705,0.883333333333333,0,0,0,0,0.395171254023313
Figure A subcluster annotations,Control fibroblast vs neutrophils alone,N,CF,TRUE,RORA+ atypical neutrophil,8,2.26990301794444,2.00908183632465,2.02743882692245,0.842040729288837,0,0,0,0,0.395171254023313
Figure A subcluster annotations,Dual blockade vs UC,UF,UD,TRUE,Activated OSM/CXCR4 neutrophil,4857,-0.154629904375055,-0.142107145422769,-0.111744548621884,0.96137339055794,0,0,0,0,0.481832940180552
Figure A subcluster annotations,Dual blockade vs UC,UF,UD,TRUE,DHFR+ proliferative/stress neutrophil,12,0.890917646443367,0.597584699821979,0.736154953661934,0.629904306220096,0,0,0,0,0.938506608832485
Figure A subcluster annotations,Dual blockade vs UC,UF,UD,TRUE,IL1R2+ inflammatory neutrophil,210,0.476912960609215,0.556530516532655,0.5845043706714,0.649468085106383,0,0,0,0,0.661877443393577
