g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,gene
94345.6084065131,27808.6820451935,22769.0675830734,13522.3931699994,3314.99399789364,5766.4176797404,3431.14737400314,3597.6950498129,12481.1100543655,364.099675390353,182.517625261042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2621.29774865918,0,0,0,OLFM4
5673606.74221801,17758487.5420277,1260947.08535986,560925.270481185,677522.826397332,596581.867276487,91116.6930852637,111307.961646351,556573.005852679,40537.3608177662,61197.0302811084,238.095238095238,0,322.58064516129,0,0,333.333333333333,0,0,39.5718582757139,66.6666666666667,1584.57426498664,0,322.58064516129,39.0233151959145,0,0,81782.2607705123,0,196.078431372549,333.333333333333,S100A8
2615884.40313909,4613926.43984476,494629.054678711,205512.279759837,106600.356405056,210800.504079165,24929.8229681581,105059.490621627,23717.7363526431,19331.9304027553,11859.39918531,0,0,0,0,214.285714285714,333.333333333333,0,0,37.7358490566038,200,0,97.323600973236,0,518.189348572818,384.615384615385,0,43251.935650805,0,0,0,IL1B
596038.951374883,942790.609133056,214497.939931032,69580.7055547007,102965.017104285,135653.798458173,21860.472136781,15396.3629868356,5710.08777581597,3182.2981110082,6140.33683954248,684.523809523809,0,322.58064516129,0,0,0,0,0,18.8679245283019,0,0,0,0,9.32835820895522,0,0,8702.35200445661,0,0,0,JUN
4737162.71121009,19360339.2341573,986977.156552885,390657.349009568,714048.229344257,624976.101014273,59819.5533906287,95974.7765882133,237455.420180775,27272.5442347631,64805.9651610768,238.095238095238,0,0,0,0,0,0,0,0,66.6666666666667,370.37037037037,0,0,0,0,0,71513.0940994537,0,196.078431372549,588.235294117647,S100A9
168778.576652259,650767.875161918,39892.586145763,6108.4776376844,22513.5079548137,6170.90912224657,7874.2274928357,6844.82319388658,52.8778290249512,733.389038584252,2203.89947135323,0,0,0,0,0,0,0,0,0,0,0,0,0,9.32835820895522,0,0,4607.82040160335,0,0,0,IFIT2
628443.006881642,539436.915669836,130280.615024881,45720.0682352791,19781.1200269083,12901.3933075108,56103.7498719139,16964.9644861858,23015.283995511,2370.95277288433,1277.14304865395,0,0,0,0,0,0,0,0,0,0,0,24.330900243309,0,0,0,0,9249.48418055465,0,0,0,PADI4
2419702.07050341,8700247.07881553,662493.05477874,267609.948480958,267025.049004683,54339.5906215279,33585.4751363917,54093.050311314,22236.7602166882,11024.5683309692,23688.4239166815,0,0,0,0,48.3091787439614,0,0,0,0,66.6666666666667,0,0,0,28.8400158069125,0,0,41177.013133013,0,0,0,FCGR3B
120644.435585758,178465.033380326,25885.3364851326,2240.67638174527,9508.93119571883,6325.76841808029,3565.79250386218,713.261263819318,16.5076692376672,630.787575616566,828.837289437019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859.059076225082,0,0,0,MX1
5218247.046058,12651673.4701463,1528766.17793595,532037.784055434,603905.341741077,240404.369515971,213700.729458951,97521.136645139,66008.0122330134,38576.762912422,45913.2437554852,0,0,0,263.157894736842,476.88060731539,333.333333333333,0,0,343.294659947654,963.934426229508,576.555937380679,243.30900243309,0,240.124479435815,0,0,82814.2446113359,500,0,0,CXCR4
