"Condition","Donor","Freq"
"CF","Donor1",6135
"N","Donor1",132
"NA5","Donor1",320
"NNAMPT","Donor1",173
"PRE","Donor1",0
"UA5","Donor1",7666
"UD","Donor1",945
"UF","Donor1",546
"UN","Donor1",227
"CF","Donor2",63
"N","Donor2",114
"NA5","Donor2",5505
"NNAMPT","Donor2",560
"PRE","Donor2",0
"UA5","Donor2",5412
"UD","Donor2",5379
"UF","Donor2",3090
"UN","Donor2",1912
"CF","Donor3",5043
"N","Donor3",209
"NA5","Donor3",6783
"NNAMPT","Donor3",61
"PRE","Donor3",0
"UA5","Donor3",4115
"UD","Donor3",3458
"UF","Donor3",4004
"UN","Donor3",4573
"CF","Donor4",4645
"N","Donor4",466
"NA5","Donor4",2518
"NNAMPT","Donor4",561
"PRE","Donor4",0
"UA5","Donor4",3381
"UD","Donor4",3782
"UF","Donor4",6172
"UN","Donor4",2517
"CF","Donor5",34
"N","Donor5",134
"NA5","Donor5",12741
"NNAMPT","Donor5",105
"PRE","Donor5",0
"UA5","Donor5",19
"UD","Donor5",7124
"UF","Donor5",155
"UN","Donor5",76
"CF","Donor6",6723
"N","Donor6",1723
"NA5","Donor6",3
"NNAMPT","Donor6",28
"PRE","Donor6",0
"UA5","Donor6",3429
"UD","Donor6",3039
"UF","Donor6",2016
"UN","Donor6",232
"CF","NC1",0
"N","NC1",0
"NA5","NC1",0
"NNAMPT","NC1",0
"PRE","NC1",16634
"UA5","NC1",0
"UD","NC1",0
"UF","NC1",0
"UN","NC1",0
"CF","NC2",0
"N","NC2",0
"NA5","NC2",0
"NNAMPT","NC2",0
"PRE","NC2",10172
"UA5","NC2",0
"UD","NC2",0
"UF","NC2",0
"UN","NC2",0
"CF","NC3",0
"N","NC3",0
"NA5","NC3",0
"NNAMPT","NC3",0
"PRE","NC3",15671
"UA5","NC3",0
"UD","NC3",0
"UF","NC3",0
"UN","NC3",0
"CF","NC4",0
"N","NC4",0
"NA5","NC4",0
"NNAMPT","NC4",0
"PRE","NC4",5202
"UA5","NC4",0
"UD","NC4",0
"UF","NC4",0
"UN","NC4",0
"CF","NC5",0
"N","NC5",0
"NA5","NC5",0
"NNAMPT","NC5",0
"PRE","NC5",3606
"UA5","NC5",0
"UD","NC5",0
"UF","NC5",0
"UN","NC5",0
