DonorID,ConditionCode,condition_label,neutrophil_state_annotation,cells,total_neutrophils,proportion
Donor1,N,Neutrophils alone,PADI4 neutrophil,3,55,0.0545454545454545
Donor1,N,Neutrophils alone,OSM neutrophil,42,55,0.763636363636364
Donor1,N,Neutrophils alone,CXCR4 neutrophil,10,55,0.181818181818182
Donor1,NNAMPT,Neutrophils + NAMPTi,OSM neutrophil,49,63,0.777777777777778
Donor1,NNAMPT,Neutrophils + NAMPTi,CXCR4 neutrophil,14,63,0.222222222222222
Donor1,NA5,Neutrophils + alpha5beta1i,OSM neutrophil,21,71,0.295774647887324
Donor1,NA5,Neutrophils + alpha5beta1i,CXCR4 neutrophil,47,71,0.661971830985916
Donor1,NA5,Neutrophils + alpha5beta1i,MX1/ISG neutrophil,3,71,0.0422535211267606
Donor1,CF,Control fibroblast co-culture,PADI4 neutrophil,35,1253,0.0279329608938548
Donor1,CF,Control fibroblast co-culture,OSM neutrophil,454,1253,0.362330407023144
Donor1,CF,Control fibroblast co-culture,CXCR4 neutrophil,699,1253,0.557861133280128
Donor1,CF,Control fibroblast co-culture,MX1/ISG neutrophil,65,1253,0.0518754988028731
Donor1,UF,UC fibroblast co-culture,PADI4 neutrophil,4,140,0.0285714285714286
Donor1,UF,UC fibroblast co-culture,OSM neutrophil,66,140,0.471428571428571
Donor1,UF,UC fibroblast co-culture,CXCR4 neutrophil,65,140,0.464285714285714
Donor1,UF,UC fibroblast co-culture,MX1/ISG neutrophil,5,140,0.0357142857142857
Donor1,UN,UC + NAMPTi,PADI4 neutrophil,3,87,0.0344827586206897
Donor1,UN,UC + NAMPTi,OSM neutrophil,46,87,0.528735632183908
Donor1,UN,UC + NAMPTi,CXCR4 neutrophil,34,87,0.390804597701149
Donor1,UN,UC + NAMPTi,MX1/ISG neutrophil,4,87,0.0459770114942529
Donor1,UA5,UC + alpha5beta1i,PADI4 neutrophil,81,1402,0.057774607703281
Donor1,UA5,UC + alpha5beta1i,OSM neutrophil,636,1402,0.453637660485021
Donor1,UA5,UC + alpha5beta1i,CXCR4 neutrophil,617,1402,0.440085592011412
Donor1,UA5,UC + alpha5beta1i,MX1/ISG neutrophil,68,1402,0.0485021398002853
Donor1,UD,UC + dual blockade,PADI4 neutrophil,16,200,0.08
Donor1,UD,UC + dual blockade,OSM neutrophil,84,200,0.42
Donor1,UD,UC + dual blockade,CXCR4 neutrophil,87,200,0.435
Donor1,UD,UC + dual blockade,MX1/ISG neutrophil,13,200,0.065
Donor2,N,Neutrophils alone,OSM neutrophil,39,47,0.829787234042553
Donor2,N,Neutrophils alone,CXCR4 neutrophil,8,47,0.170212765957447
Donor2,NNAMPT,Neutrophils + NAMPTi,PADI4 neutrophil,6,215,0.027906976744186
Donor2,NNAMPT,Neutrophils + NAMPTi,OSM neutrophil,162,215,0.753488372093023
Donor2,NNAMPT,Neutrophils + NAMPTi,CXCR4 neutrophil,44,215,0.204651162790698
Donor2,NNAMPT,Neutrophils + NAMPTi,MX1/ISG neutrophil,3,215,0.013953488372093
Donor2,NA5,Neutrophils + alpha5beta1i,PADI4 neutrophil,31,1148,0.0270034843205575
Donor2,NA5,Neutrophils + alpha5beta1i,OSM neutrophil,423,1148,0.368466898954704
Donor2,NA5,Neutrophils + alpha5beta1i,CXCR4 neutrophil,625,1148,0.544425087108014
Donor2,NA5,Neutrophils + alpha5beta1i,MX1/ISG neutrophil,69,1148,0.0601045296167247
Donor2,CF,Control fibroblast co-culture,OSM neutrophil,9,22,0.409090909090909
Donor2,CF,Control fibroblast co-culture,CXCR4 neutrophil,11,22,0.5
Donor2,CF,Control fibroblast co-culture,MX1/ISG neutrophil,2,22,0.0909090909090909
Donor2,UF,UC fibroblast co-culture,PADI4 neutrophil,23,720,0.0319444444444444
Donor2,UF,UC fibroblast co-culture,OSM neutrophil,314,720,0.436111111111111
Donor2,UF,UC fibroblast co-culture,CXCR4 neutrophil,348,720,0.483333333333333
Donor2,UF,UC fibroblast co-culture,MX1/ISG neutrophil,35,720,0.0486111111111111
Donor2,UN,UC + NAMPTi,PADI4 neutrophil,15,461,0.0325379609544469
Donor2,UN,UC + NAMPTi,OSM neutrophil,198,461,0.429501084598699
Donor2,UN,UC + NAMPTi,CXCR4 neutrophil,218,461,0.472885032537961
Donor2,UN,UC + NAMPTi,MX1/ISG neutrophil,30,461,0.0650759219088937
Donor2,UA5,UC + alpha5beta1i,PADI4 neutrophil,58,944,0.0614406779661017
Donor2,UA5,UC + alpha5beta1i,OSM neutrophil,406,944,0.430084745762712
Donor2,UA5,UC + alpha5beta1i,CXCR4 neutrophil,422,944,0.447033898305085
Donor2,UA5,UC + alpha5beta1i,MX1/ISG neutrophil,58,944,0.0614406779661017
Donor2,UD,UC + dual blockade,PADI4 neutrophil,52,946,0.0549682875264271
Donor2,UD,UC + dual blockade,OSM neutrophil,395,946,0.417547568710359
Donor2,UD,UC + dual blockade,CXCR4 neutrophil,455,946,0.480972515856237
Donor2,UD,UC + dual blockade,MX1/ISG neutrophil,44,946,0.0465116279069768
Donor3,N,Neutrophils alone,PADI4 neutrophil,10,102,0.0980392156862745
Donor3,N,Neutrophils alone,OSM neutrophil,57,102,0.558823529411765
Donor3,N,Neutrophils alone,CXCR4 neutrophil,32,102,0.313725490196078
Donor3,N,Neutrophils alone,MX1/ISG neutrophil,3,102,0.0294117647058824
Donor3,NNAMPT,Neutrophils + NAMPTi,PADI4 neutrophil,3,42,0.0714285714285714
Donor3,NNAMPT,Neutrophils + NAMPTi,OSM neutrophil,20,42,0.476190476190476
Donor3,NNAMPT,Neutrophils + NAMPTi,CXCR4 neutrophil,16,42,0.380952380952381
Donor3,NNAMPT,Neutrophils + NAMPTi,MX1/ISG neutrophil,3,42,0.0714285714285714
Donor3,NA5,Neutrophils + alpha5beta1i,PADI4 neutrophil,57,3913,0.0145668285203169
Donor3,NA5,Neutrophils + alpha5beta1i,OSM neutrophil,1521,3913,0.388704318936877
Donor3,NA5,Neutrophils + alpha5beta1i,CXCR4 neutrophil,2069,3913,0.528750319447994
Donor3,NA5,Neutrophils + alpha5beta1i,MX1/ISG neutrophil,266,3913,0.0679785330948122
Donor3,CF,Control fibroblast co-culture,PADI4 neutrophil,60,3355,0.0178837555886736
Donor3,CF,Control fibroblast co-culture,OSM neutrophil,1596,3355,0.475707898658718
Donor3,CF,Control fibroblast co-culture,CXCR4 neutrophil,1448,3355,0.431594634873323
Donor3,CF,Control fibroblast co-culture,MX1/ISG neutrophil,251,3355,0.0748137108792847
Donor3,UF,UC fibroblast co-culture,PADI4 neutrophil,46,2349,0.0195828011919966
Donor3,UF,UC fibroblast co-culture,OSM neutrophil,1302,2349,0.554278416347382
Donor3,UF,UC fibroblast co-culture,CXCR4 neutrophil,832,2349,0.354193273733504
Donor3,UF,UC fibroblast co-culture,MX1/ISG neutrophil,169,2349,0.0719455087271179
Donor3,UN,UC + NAMPTi,PADI4 neutrophil,45,2554,0.0176194205168363
Donor3,UN,UC + NAMPTi,OSM neutrophil,1122,2554,0.439310884886453
Donor3,UN,UC + NAMPTi,CXCR4 neutrophil,1169,2554,0.457713390759593
Donor3,UN,UC + NAMPTi,MX1/ISG neutrophil,218,2554,0.0853563038371182
Donor3,UA5,UC + alpha5beta1i,PADI4 neutrophil,66,2053,0.0321480759863614
Donor3,UA5,UC + alpha5beta1i,OSM neutrophil,1134,2053,0.552362396492937
Donor3,UA5,UC + alpha5beta1i,CXCR4 neutrophil,683,2053,0.332683877252801
Donor3,UA5,UC + alpha5beta1i,MX1/ISG neutrophil,170,2053,0.0828056502679006
Donor3,UD,UC + dual blockade,PADI4 neutrophil,52,1516,0.0343007915567282
Donor3,UD,UC + dual blockade,OSM neutrophil,754,1516,0.497361477572559
Donor3,UD,UC + dual blockade,CXCR4 neutrophil,551,1516,0.363456464379947
Donor3,UD,UC + dual blockade,MX1/ISG neutrophil,159,1516,0.104881266490765
Donor4,N,Neutrophils alone,PADI4 neutrophil,12,234,0.0512820512820513
Donor4,N,Neutrophils alone,OSM neutrophil,168,234,0.717948717948718
Donor4,N,Neutrophils alone,CXCR4 neutrophil,47,234,0.200854700854701
Donor4,N,Neutrophils alone,MX1/ISG neutrophil,7,234,0.0299145299145299
Donor4,NNAMPT,Neutrophils + NAMPTi,PADI4 neutrophil,11,233,0.0472103004291846
Donor4,NNAMPT,Neutrophils + NAMPTi,OSM neutrophil,157,233,0.67381974248927
Donor4,NNAMPT,Neutrophils + NAMPTi,CXCR4 neutrophil,59,233,0.253218884120172
Donor4,NNAMPT,Neutrophils + NAMPTi,MX1/ISG neutrophil,6,233,0.0257510729613734
Donor4,NA5,Neutrophils + alpha5beta1i,PADI4 neutrophil,23,1580,0.0145569620253165
Donor4,NA5,Neutrophils + alpha5beta1i,OSM neutrophil,622,1580,0.393670886075949
Donor4,NA5,Neutrophils + alpha5beta1i,CXCR4 neutrophil,789,1580,0.499367088607595
Donor4,NA5,Neutrophils + alpha5beta1i,MX1/ISG neutrophil,146,1580,0.0924050632911393
Donor4,CF,Control fibroblast co-culture,PADI4 neutrophil,58,2848,0.0203651685393258
Donor4,CF,Control fibroblast co-culture,OSM neutrophil,1266,2848,0.444522471910112
Donor4,CF,Control fibroblast co-culture,CXCR4 neutrophil,1309,2848,0.459620786516854
Donor4,CF,Control fibroblast co-culture,MX1/ISG neutrophil,215,2848,0.0754915730337079
Donor4,UF,UC fibroblast co-culture,PADI4 neutrophil,74,3393,0.0218096080165046
Donor4,UF,UC fibroblast co-culture,OSM neutrophil,2162,3393,0.63719422340112
Donor4,UF,UC fibroblast co-culture,CXCR4 neutrophil,944,3393,0.278219864426761
Donor4,UF,UC fibroblast co-culture,MX1/ISG neutrophil,213,3393,0.0627763041556145
Donor4,UN,UC + NAMPTi,PADI4 neutrophil,18,1239,0.0145278450363196
Donor4,UN,UC + NAMPTi,OSM neutrophil,448,1239,0.361581920903955
Donor4,UN,UC + NAMPTi,CXCR4 neutrophil,698,1239,0.563357546408394
Donor4,UN,UC + NAMPTi,MX1/ISG neutrophil,75,1239,0.0605326876513317
Donor4,UA5,UC + alpha5beta1i,PADI4 neutrophil,53,1576,0.0336294416243655
Donor4,UA5,UC + alpha5beta1i,OSM neutrophil,917,1576,0.581852791878173
Donor4,UA5,UC + alpha5beta1i,CXCR4 neutrophil,460,1576,0.291878172588832
