DonorID,ConditionCode,neutrophil_state_annotation,cells,total_neutrophils,proportion,condition_label
NC1,PRE,Low RNA neutrophils,12848,15428,0.832771584132746,Pre-culture
NC1,PRE,PADI4 neutrophil,1193,15428,0.077326938034742,Pre-culture
NC1,PRE,OSM neutrophil,1094,15428,0.070910033704952,Pre-culture
NC1,PRE,CXCR4 neutrophil,293,15428,0.0189914441275603,Pre-culture
NC1,PRE,MX1/ISG neutrophil,0,15428,0,Pre-culture
NC2,PRE,Low RNA neutrophils,7847,9437,0.831514252410724,Pre-culture
NC2,PRE,PADI4 neutrophil,666,9437,0.0705732754053195,Pre-culture
NC2,PRE,OSM neutrophil,790,9437,0.0837130443997033,Pre-culture
NC2,PRE,CXCR4 neutrophil,133,9437,0.0140934619052665,Pre-culture
NC2,PRE,MX1/ISG neutrophil,1,9437,0.000105965878986966,Pre-culture
NC3,PRE,Low RNA neutrophils,13322,14974,0.88967543742487,Pre-culture
NC3,PRE,PADI4 neutrophil,916,14974,0.0611726993455323,Pre-culture
NC3,PRE,OSM neutrophil,588,14974,0.0392680646453853,Pre-culture
NC3,PRE,CXCR4 neutrophil,148,14974,0.00988379858421264,Pre-culture
NC3,PRE,MX1/ISG neutrophil,0,14974,0,Pre-culture
NC4,PRE,Low RNA neutrophils,4415,4907,0.899735072345629,Pre-culture
NC4,PRE,PADI4 neutrophil,263,4907,0.0535969023843489,Pre-culture
NC4,PRE,OSM neutrophil,213,4907,0.0434073772162217,Pre-culture
NC4,PRE,CXCR4 neutrophil,16,4907,0.00326064805380069,Pre-culture
NC4,PRE,MX1/ISG neutrophil,0,4907,0,Pre-culture
NC5,PRE,Low RNA neutrophils,3029,3443,0.879756026720883,Pre-culture
NC5,PRE,PADI4 neutrophil,193,3443,0.056055765320941,Pre-culture
NC5,PRE,OSM neutrophil,188,3443,0.0546035434214348,Pre-culture
NC5,PRE,CXCR4 neutrophil,32,3443,0.00929422015683997,Pre-culture
NC5,PRE,MX1/ISG neutrophil,1,3443,0.000290444379901249,Pre-culture
Donor1,N,Low RNA neutrophils,0,55,0,Neutrophils alone
Donor1,N,PADI4 neutrophil,3,55,0.0545454545454545,Neutrophils alone
Donor1,N,OSM neutrophil,42,55,0.763636363636364,Neutrophils alone
Donor1,N,CXCR4 neutrophil,10,55,0.181818181818182,Neutrophils alone
Donor1,N,MX1/ISG neutrophil,0,55,0,Neutrophils alone
Donor2,N,Low RNA neutrophils,0,47,0,Neutrophils alone
Donor2,N,PADI4 neutrophil,0,47,0,Neutrophils alone
Donor2,N,OSM neutrophil,39,47,0.829787234042553,Neutrophils alone
Donor2,N,CXCR4 neutrophil,8,47,0.170212765957447,Neutrophils alone
Donor2,N,MX1/ISG neutrophil,0,47,0,Neutrophils alone
Donor3,N,Low RNA neutrophils,0,102,0,Neutrophils alone
Donor3,N,PADI4 neutrophil,10,102,0.0980392156862745,Neutrophils alone
Donor3,N,OSM neutrophil,57,102,0.558823529411765,Neutrophils alone
Donor3,N,CXCR4 neutrophil,32,102,0.313725490196078,Neutrophils alone
Donor3,N,MX1/ISG neutrophil,3,102,0.0294117647058824,Neutrophils alone
Donor4,N,Low RNA neutrophils,0,234,0,Neutrophils alone
Donor4,N,PADI4 neutrophil,12,234,0.0512820512820513,Neutrophils alone
Donor4,N,OSM neutrophil,168,234,0.717948717948718,Neutrophils alone
Donor4,N,CXCR4 neutrophil,47,234,0.200854700854701,Neutrophils alone
Donor4,N,MX1/ISG neutrophil,7,234,0.0299145299145299,Neutrophils alone
Donor5,N,Low RNA neutrophils,0,61,0,Neutrophils alone
Donor5,N,PADI4 neutrophil,1,61,0.0163934426229508,Neutrophils alone
Donor5,N,OSM neutrophil,48,61,0.786885245901639,Neutrophils alone
Donor5,N,CXCR4 neutrophil,11,61,0.180327868852459,Neutrophils alone
Donor5,N,MX1/ISG neutrophil,1,61,0.0163934426229508,Neutrophils alone
Donor6,N,Low RNA neutrophils,0,801,0,Neutrophils alone
