p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.14838269653619e-121,0.25602040153617,0.039,0.289,3.93550750102952e-118,1,RTN4
3.90691007308411e-89,0.359661865150799,0.048,0.256,1.33889808204593e-85,1,ACSL1
4.44790974116475e-71,0.215899582450631,0.041,0.224,1.52429866829716e-67,1,YBX1
1.68514171044403e-67,0.611120238752828,0.036,0.198,5.77498064169169e-64,1,AOAH
9.38416323254582e-62,0.981176837501629,0.072,0.262,3.21595273979345e-58,1,SVIL
2.31082134916718e-53,0.733455812547819,0.057,0.227,7.91918476359593e-50,1,PLXDC2
1.49217864316925e-51,0.86807867368688,0.119,0.299,5.11369621014103e-48,1,MAILR
2.6887082132491e-50,0.285267723235559,0.027,0.135,9.21420304680466e-47,1,IL1R1
1.52306039734202e-48,0.903705412529023,0.039,0.164,5.2195279816911e-45,1,CAST
6.89619437565209e-48,0.30365585044418,0.023,0.142,2.36332581253597e-44,1,GNAQ
1.09733184373772e-47,0.983575547126446,0.036,0.157,3.76055622848917e-44,1,CD44
1.19206976044914e-44,0.533372007021058,0.037,0.154,4.08522306905919e-41,1,CDK14
1.3039410927098e-44,0.533888863107958,0.042,0.164,4.46860612471649e-41,1,EIF2AK3
3.83476494083294e-44,0.353645630318493,0.03,0.148,1.31417394522345e-40,1,DNAH17
3.40626057528678e-43,0.583475906357991,0.027,0.129,1.16732549915078e-39,1,SLC49A4
3.72179625553184e-42,0.270258480770825,0.017,0.105,1.27545957677076e-38,1,CTSB
1.26987342885473e-41,1.30766223664657,0.086,0.236,4.35185624068517e-38,1,NFKB1
1.54503093800763e-40,0.502785046496345,0.024,0.13,5.29482102455214e-37,1,STAT1
2.11330913646957e-39,0.382882637731938,0.015,0.112,7.24231041068124e-36,1,MATR3
1.80242611899467e-37,0.510946342290527,0.025,0.125,6.17691430979473e-34,1,PRKDC
2.25654460962179e-37,0.752704571702481,0.039,0.144,7.73317837717387e-34,1,TRPM2
1.26620803080093e-36,0.599230416961065,0.048,0.176,4.3392949215548e-33,1,SYNE2
2.39975972887309e-36,0.833445500626637,0.08,0.237,8.22397659084809e-33,1,ENSG00000188897
5.78527469271716e-36,0.498810131292694,0.021,0.107,1.98261363719417e-32,1,EIF3A
3.17218290221311e-35,1.22951434548047,0.088,0.252,1.08710708058843e-31,1,ZSWIM6
2.92946756948985e-33,0.599775886563288,0.032,0.137,1.00392853606417e-29,1,SPIDR
4.73182822340232e-33,1.25077353894626,0.105,0.258,1.62159753215997e-29,1,ENSG00000286533
9.21871257778978e-33,0.270726331270832,0.021,0.111,3.15925280040856e-29,1,PPIA
2.03334443440091e-32,0.515931183239495,0.028,0.12,6.9682713766919e-29,1,FAM210A
4.48589195729995e-32,1.01591116041504,0.053,0.189,1.53731517376669e-28,1,SIPA1L1
2.71248493435408e-31,1.52517043215559,0.547,0.565,9.29568587003142e-28,1,GRIP1
3.50399068007501e-31,0.340589627955786,0.026,0.132,1.2008176060617e-27,1,ANP32B
1.29868884748007e-30,0.851782452830865,0.025,0.101,4.45060668031419e-27,1,MTDH
1.37240290356973e-30,1.27307850926948,0.049,0.156,4.70322475053346e-27,1,TANC2
2.41330426495539e-29,0.764308396460362,0.045,0.141,8.2703937160021e-26,1,OOEP
1.13629538096453e-28,1.50816348906112,0.06,0.162,3.89408427056545e-25,1,LINC01619
8.58494018216014e-28,0.446872204719329,0.025,0.103,2.94205900042628e-24,1,JAK2
2.02102067231921e-26,0.903122249753981,0.033,0.11,6.92603784403793e-23,1,SLC8A1
