"neutrophil_subcluster","neutrophil_cluster_annotation","annotation_confidence","defining_features"
"1","Low-signal neutrophil","Moderate","Low RNA signal; majority prior low-signal/LowRNA calls"
"2","Activated OSM/CXCR4 neutrophil","High","FCGR3B, FPR1, FOS, OSM, CXCR4; activated mature program"
"3","IL1R2+ inflammatory neutrophil","Moderate","IL1R2 with inflammatory/stress program"
"4","DHFR+ proliferative/stress neutrophil","Low","DHFR, DNAJA1 and stress-associated program"
"5","PADI4/translation-high neutrophil","Moderate","PADI4 enrichment with EEF1A1, PTMA, RACK1"
"6","HLA-II antigen-presenting/monocyte-like","Low","HLA-DRA, HLA-DRB1, CD74, LYZ, VCAN"
"7","CLC+ granulocyte-like","Low","CLC, PDE4D; possible eosinophil-like contamination"
"8","SPARC/CLU vascular-like outlier","Low","SPARC, CLU, ITGB3, GNG11"
"9","LTF/BPI immature neutrophil","High","LTF, BPI, CD24, S100A8"
"10","RORA+ atypical neutrophil","Low","RORA, SETBP1, ZBTB20"
"11","B-cell-like doublet","Low","CD79A, MS4A1, HLA-DQA1, HLA-DPA1"
"12","Singleton/outlier","Low","Very small graph community"
"13","Singleton/outlier","Low","Very small graph community"
"14","Singleton/outlier","Low","Very small graph community"
"15","Singleton/outlier","Low","Very small graph community"
"16","Singleton/outlier","Low","Very small graph community"
"17","Singleton/outlier","Low","Very small graph community"
"18","Singleton/outlier","Low","Very small graph community"
"19","Singleton/outlier","Low","Very small graph community"
"20","Singleton/outlier","Low","Very small graph community"
"21","Singleton/outlier","Low","Very small graph community"
"22","Singleton/outlier","Low","Very small graph community"
"23","Singleton/outlier","Low","Very small graph community"
"24","Singleton/outlier","Low","Very small graph community"
"25","Singleton/outlier","Low","Very small graph community"
"26","Singleton/outlier","Low","Very small graph community"
"27","Singleton/outlier","Low","Very small graph community"
"28","CCL3/CCL4 inflammatory neutrophil","Moderate","CCL3, CCL3L3, CCL4L2"
"29","Singleton/outlier","Low","Very small graph community"
"30","Singleton/outlier","Low","Very small graph community"
"31","Singleton/outlier","Low","Very small graph community"
