"Subcluster","Condition","Freq"
"1","CF",9908
"2","CF",9190
"3","CF",1899
"4","CF",742
"5","CF",202
"6","CF",156
"7","CF",197
"8","CF",115
"9","CF",47
"10","CF",67
"11","CF",20
"12","CF",0
"13","CF",0
"14","CF",0
"15","CF",1
"16","CF",0
"17","CF",0
"18","CF",0
"19","CF",0
"20","CF",0
"21","CF",0
"22","CF",0
"23","CF",1
"24","CF",1
"25","CF",0
"26","CF",0
"27","CF",1
"28","CF",95
"29","CF",1
"30","CF",0
"31","CF",0
"1","N",1326
"2","N",689
"3","N",397
"4","N",90
"5","N",69
"6","N",37
"7","N",34
"8","N",9
"9","N",81
"10","N",22
"11","N",4
"12","N",0
"13","N",0
"14","N",0
"15","N",0
"16","N",0
"17","N",0
"18","N",0
"19","N",0
"20","N",0
"21","N",0
"22","N",0
"23","N",0
"24","N",0
"25","N",0
"26","N",0
"27","N",0
"28","N",20
"29","N",0
"30","N",0
"31","N",0
"1","NA5",13619
"2","NA5",9531
"3","NA5",2699
"4","NA5",831
"5","NA5",246
"6","NA5",155
"7","NA5",243
"8","NA5",205
"9","NA5",65
"10","NA5",133
"11","NA5",10
"12","NA5",0
"13","NA5",2
"14","NA5",0
"15","NA5",0
"16","NA5",1
"17","NA5",0
"18","NA5",0
"19","NA5",1
"20","NA5",0
"21","NA5",0
"22","NA5",0
"23","NA5",0
"24","NA5",0
"25","NA5",0
"26","NA5",1
"27","NA5",0
"28","NA5",128
"29","NA5",0
"30","NA5",0
"31","NA5",0
"1","NNAMPT",818
"2","NNAMPT",293
"3","NNAMPT",210
"4","NNAMPT",36
"5","NNAMPT",29
"6","NNAMPT",22
"7","NNAMPT",31
"8","NNAMPT",5
"9","NNAMPT",20
"10","NNAMPT",13
"11","NNAMPT",1
"12","NNAMPT",0
"13","NNAMPT",0
"14","NNAMPT",1
"15","NNAMPT",1
"16","NNAMPT",0
"17","NNAMPT",0
"18","NNAMPT",0
"19","NNAMPT",0
"20","NNAMPT",0
"21","NNAMPT",0
"22","NNAMPT",0
"23","NNAMPT",0
"24","NNAMPT",0
"25","NNAMPT",0
"26","NNAMPT",0
"27","NNAMPT",0
"28","NNAMPT",8
"29","NNAMPT",0
"30","NNAMPT",0
"31","NNAMPT",0
"1","PRE",18202
"2","PRE",23821
"3","PRE",2608
"4","PRE",790
"5","PRE",2408
"6","PRE",1623
"7","PRE",647
"8","PRE",629
"9","PRE",139
"10","PRE",56
"11","PRE",189
"12","PRE",1
"13","PRE",0
"14","PRE",0
"15","PRE",0
"16","PRE",0
"17","PRE",0
"18","PRE",0
"19","PRE",0
"20","PRE",0
"21","PRE",0
"22","PRE",1
"23","PRE",0
"24","PRE",0
"25","PRE",0
"26","PRE",0
"27","PRE",1
"28","PRE",165
"29","PRE",1
"30","PRE",2
"31","PRE",2
"1","UA5",11518
"2","UA5",6612
"3","UA5",2540
"4","UA5",916
"5","UA5",925
"6","UA5",450
"7","UA5",220
"8","UA5",291
"9","UA5",222
"10","UA5",160
"11","UA5",36
"12","UA5",0
"13","UA5",1
"14","UA5",0
"15","UA5",0
"16","UA5",0
"17","UA5",0
"18","UA5",0
"19","UA5",0
"20","UA5",2
"21","UA5",0
"22","UA5",1
"23","UA5",1
"24","UA5",1
"25","UA5",2
"26","UA5",0
"27","UA5",0
"28","UA5",124
"29","UA5",0
"30","UA5",0
"31","UA5",0
"1","UD",11081
"2","UD",6217
"3","UD",2685
"4","UD",1045
"5","UD",1111
"6","UD",447
"7","UD",225
"8","UD",322
"9","UD",260
"10","UD",117
"11","UD",48
"12","UD",2
"13","UD",0
"14","UD",0
"15","UD",0
"16","UD",0
"17","UD",0
"18","UD",2
"19","UD",1
"20","UD",0
"21","UD",2
"22","UD",0
"23","UD",0
"24","UD",0
"25","UD",0
"26","UD",1
"27","UD",0
"28","UD",161
"29","UD",0
"30","UD",0
"31","UD",0
"1","UF",5481
"2","UF",7628
"3","UF",1399
"4","UF",763
"5","UF",143
"6","UF",181
"7","UF",127
"8","UF",82
"9","UF",68
"10","UF",30
"11","UF",15
"12","UF",0
"13","UF",0
"14","UF",1
"15","UF",0
"16","UF",0
"17","UF",0
"18","UF",0
"19","UF",0
"20","UF",0
"21","UF",0
"22","UF",0
"23","UF",0
"24","UF",0
"25","UF",0
"26","UF",0
"27","UF",0
"28","UF",65
"29","UF",0
"30","UF",0
"31","UF",0
"1","UN",3102
"2","UN",4648
"3","UN",879
"4","UN",479
"5","UN",85
"6","UN",95
"7","UN",91
"8","UN",47
"9","UN",47
"10","UN",14
"11","UN",7
"12","UN",0
"13","UN",0
"14","UN",0
"15","UN",0
"16","UN",1
"17","UN",2
"18","UN",0
"19","UN",0
"20","UN",0
"21","UN",0
"22","UN",0
"23","UN",0
"24","UN",0
"25","UN",0
"26","UN",0
"27","UN",0
"28","UN",40
"29","UN",0
"30","UN",0
"31","UN",0
