"Subcluster","Existing_state","Freq"
"1","Activated FAP+ fibroblast",0
"2","Activated FAP+ fibroblast",0
"3","Activated FAP+ fibroblast",0
"4","Activated FAP+ fibroblast",0
"5","Activated FAP+ fibroblast",0
"6","Activated FAP+ fibroblast",0
"7","Activated FAP+ fibroblast",0
"8","Activated FAP+ fibroblast",0
"9","Activated FAP+ fibroblast",0
"10","Activated FAP+ fibroblast",0
"11","Activated FAP+ fibroblast",0
"12","Activated FAP+ fibroblast",0
"13","Activated FAP+ fibroblast",0
"14","Activated FAP+ fibroblast",0
"15","Activated FAP+ fibroblast",0
"16","Activated FAP+ fibroblast",0
"17","Activated FAP+ fibroblast",0
"18","Activated FAP+ fibroblast",0
"19","Activated FAP+ fibroblast",0
"20","Activated FAP+ fibroblast",0
"21","Activated FAP+ fibroblast",0
"22","Activated FAP+ fibroblast",0
"23","Activated FAP+ fibroblast",0
"24","Activated FAP+ fibroblast",0
"25","Activated FAP+ fibroblast",0
"26","Activated FAP+ fibroblast",0
"27","Activated FAP+ fibroblast",0
"28","Activated FAP+ fibroblast",0
"29","Activated FAP+ fibroblast",0
"30","Activated FAP+ fibroblast",0
"31","Activated FAP+ fibroblast",0
"1","Antigen-presenting fibroblast-like",0
"2","Antigen-presenting fibroblast-like",0
"3","Antigen-presenting fibroblast-like",0
"4","Antigen-presenting fibroblast-like",0
"5","Antigen-presenting fibroblast-like",0
"6","Antigen-presenting fibroblast-like",0
"7","Antigen-presenting fibroblast-like",0
"8","Antigen-presenting fibroblast-like",0
"9","Antigen-presenting fibroblast-like",0
"10","Antigen-presenting fibroblast-like",0
"11","Antigen-presenting fibroblast-like",0
"12","Antigen-presenting fibroblast-like",0
"13","Antigen-presenting fibroblast-like",0
"14","Antigen-presenting fibroblast-like",0
"15","Antigen-presenting fibroblast-like",0
"16","Antigen-presenting fibroblast-like",0
"17","Antigen-presenting fibroblast-like",0
"18","Antigen-presenting fibroblast-like",0
"19","Antigen-presenting fibroblast-like",0
"20","Antigen-presenting fibroblast-like",0
"21","Antigen-presenting fibroblast-like",0
"22","Antigen-presenting fibroblast-like",0
"23","Antigen-presenting fibroblast-like",0
"24","Antigen-presenting fibroblast-like",0
"25","Antigen-presenting fibroblast-like",0
"26","Antigen-presenting fibroblast-like",0
"27","Antigen-presenting fibroblast-like",0
"28","Antigen-presenting fibroblast-like",0
"29","Antigen-presenting fibroblast-like",0
"30","Antigen-presenting fibroblast-like",0
"31","Antigen-presenting fibroblast-like",0
"1","CXCR4",2471
"2","CXCR4",15380
"3","CXCR4",925
"4","CXCR4",311
"5","CXCR4",448
"6","CXCR4",167
"7","CXCR4",102
"8","CXCR4",66
"9","CXCR4",15
"10","CXCR4",68
"11","CXCR4",31
"12","CXCR4",0
"13","CXCR4",0
"14","CXCR4",0
"15","CXCR4",0
"16","CXCR4",0
"17","CXCR4",0
"18","CXCR4",0
"19","CXCR4",0
"20","CXCR4",0
"21","CXCR4",1
"22","CXCR4",0
"23","CXCR4",0
"24","CXCR4",0
"25","CXCR4",0
"26","CXCR4",0
"27","CXCR4",0
"28","CXCR4",77
"29","CXCR4",0
"30","CXCR4",0
"31","CXCR4",0
"1","ECM-remodeling fibroblast",0
"2","ECM-remodeling fibroblast",0
"3","ECM-remodeling fibroblast",0
"4","ECM-remodeling fibroblast",0
"5","ECM-remodeling fibroblast",0
"6","ECM-remodeling fibroblast",0
"7","ECM-remodeling fibroblast",0
"8","ECM-remodeling fibroblast",0
"9","ECM-remodeling fibroblast",0
"10","ECM-remodeling fibroblast",0
"11","ECM-remodeling fibroblast",0
"12","ECM-remodeling fibroblast",0
"13","ECM-remodeling fibroblast",0
"14","ECM-remodeling fibroblast",0
"15","ECM-remodeling fibroblast",0
"16","ECM-remodeling fibroblast",0
"17","ECM-remodeling fibroblast",0
"18","ECM-remodeling fibroblast",0
"19","ECM-remodeling fibroblast",0
"20","ECM-remodeling fibroblast",0
"21","ECM-remodeling fibroblast",0
"22","ECM-remodeling fibroblast",0
"23","ECM-remodeling fibroblast",0
"24","ECM-remodeling fibroblast",0
"25","ECM-remodeling fibroblast",0
"26","ECM-remodeling fibroblast",0
"27","ECM-remodeling fibroblast",0
"28","ECM-remodeling fibroblast",0
"29","ECM-remodeling fibroblast",0
"30","ECM-remodeling fibroblast",0
"31","ECM-remodeling fibroblast",0
"1","Fibroblast candidate: low stromal signal",0
"2","Fibroblast candidate: low stromal signal",0
"3","Fibroblast candidate: low stromal signal",0
"4","Fibroblast candidate: low stromal signal",0
"5","Fibroblast candidate: low stromal signal",0
"6","Fibroblast candidate: low stromal signal",0
"7","Fibroblast candidate: low stromal signal",0
"8","Fibroblast candidate: low stromal signal",0
"9","Fibroblast candidate: low stromal signal",0
"10","Fibroblast candidate: low stromal signal",0
"11","Fibroblast candidate: low stromal signal",0
"12","Fibroblast candidate: low stromal signal",0
"13","Fibroblast candidate: low stromal signal",0
"14","Fibroblast candidate: low stromal signal",0
"15","Fibroblast candidate: low stromal signal",0
"16","Fibroblast candidate: low stromal signal",0
"17","Fibroblast candidate: low stromal signal",0
"18","Fibroblast candidate: low stromal signal",0
"19","Fibroblast candidate: low stromal signal",0
"20","Fibroblast candidate: low stromal signal",0
"21","Fibroblast candidate: low stromal signal",0
"22","Fibroblast candidate: low stromal signal",0
"23","Fibroblast candidate: low stromal signal",0
"24","Fibroblast candidate: low stromal signal",0
"25","Fibroblast candidate: low stromal signal",0
"26","Fibroblast candidate: low stromal signal",0
"27","Fibroblast candidate: low stromal signal",0
"28","Fibroblast candidate: low stromal signal",0
"29","Fibroblast candidate: low stromal signal",0
"30","Fibroblast candidate: low stromal signal",0
"31","Fibroblast candidate: low stromal signal",0
"1","Fibroblast candidate: mixed immune-stromal",0
"2","Fibroblast candidate: mixed immune-stromal",0
"3","Fibroblast candidate: mixed immune-stromal",0
"4","Fibroblast candidate: mixed immune-stromal",0
"5","Fibroblast candidate: mixed immune-stromal",0
"6","Fibroblast candidate: mixed immune-stromal",0
"7","Fibroblast candidate: mixed immune-stromal",0
"8","Fibroblast candidate: mixed immune-stromal",0
"9","Fibroblast candidate: mixed immune-stromal",0
"10","Fibroblast candidate: mixed immune-stromal",0
"11","Fibroblast candidate: mixed immune-stromal",0
"12","Fibroblast candidate: mixed immune-stromal",0
"13","Fibroblast candidate: mixed immune-stromal",0
"14","Fibroblast candidate: mixed immune-stromal",0
"15","Fibroblast candidate: mixed immune-stromal",0
"16","Fibroblast candidate: mixed immune-stromal",0
"17","Fibroblast candidate: mixed immune-stromal",0
"18","Fibroblast candidate: mixed immune-stromal",0
"19","Fibroblast candidate: mixed immune-stromal",0
"20","Fibroblast candidate: mixed immune-stromal",0
"21","Fibroblast candidate: mixed immune-stromal",0
"22","Fibroblast candidate: mixed immune-stromal",0
"23","Fibroblast candidate: mixed immune-stromal",0
