"cell","UMAP1","UMAP2","condition","state","patient","lineage"
"SAM24406426_150692",-2.67855794545894,-1.11474465339589,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_128188",4.9797872770142,4.41861213237834,"Uninflamed UC","Resting crypt-top fibroblast","P007","Fibroblast"
"SAM24406426_618715",-2.22624547597652,-1.86771856754231,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_336203",-1.3525782358337,-1.37824927776265,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_301897",-2.75970418569332,-3.86040841548848,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_381809",-1.969495369165,-1.11031662433552,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_373012",-3.45912511464839,-3.02421437709736,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_843231",-3.39559037801509,-1.23127447574544,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_209008",-2.38375241872554,-1.39303742855,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_723199",-2.054869247644,-1.48209225147175,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_466509",-1.33052880880123,-1.34665261714863,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_40566",-3.31726558324581,-1.47396503894734,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_379505",-3.57886703130489,-3.14839350192952,"Uninflamed UC","Crypt-bottom fibroblast","P007","Fibroblast"
"SAM24406426_53508",-2.11145980474239,-2.07629667728352,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_293629",-4.5794201624084,-4.00420772045064,"Uninflamed UC","Crypt-bottom fibroblast","P007","Fibroblast"
"SAM24406426_575038",-4.07906062719112,-4.23278867214131,"Uninflamed UC","Crypt-bottom fibroblast","P007","Fibroblast"
"SAM24406426_375530",-2.70419414159542,-1.03769766300129,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_194139",0.85665647867436,4.03046072513652,"Uninflamed UC","Activated crypt-top fibroblast","P007","Fibroblast"
"SAM24406426_100909",-2.18530709859615,1.53443259985042,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_724384",-3.80597169515377,-0.68157206981587,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_85154",5.23299960973973,5.37522924930644,"Uninflamed UC","Resting crypt-top fibroblast","P007","Fibroblast"
"SAM24406426_170977",-4.64661224004512,-0.389833321265455,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_362383",-3.76225288030391,0.0951911905486624,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_82447",1.38005082491154,3.99283565074993,"Uninflamed UC","Activated crypt-top fibroblast","P007","Fibroblast"
"SAM24406426_483717",-3.37743384954219,-0.146972706012007,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_675235",-3.03566272374874,-0.584981789283033,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_23327",-3.46731956121211,1.10800925881458,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_76763",4.12794874231631,4.59410584957195,"Uninflamed UC","Resting crypt-top fibroblast","P007","Fibroblast"
"SAM24406426_365659",4.82574157598729,5.33910597354961,"Uninflamed UC","Resting crypt-top fibroblast","P007","Fibroblast"
"SAM24406426_414070",5.03999631288762,4.13554061443401,"Uninflamed UC","Resting crypt-top fibroblast","P007","Fibroblast"
"SAM24406426_815237",4.61963267806286,4.10049332172466,"Uninflamed UC","Resting crypt-top fibroblast","P007","Fibroblast"
"SAM24406426_281103",-3.51780469533687,-0.290447225264784,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_764981",-2.08345563527828,-0.84968685119557,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_540527",-5.63542754766231,-1.38253699748921,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_840955",-6.04474074956661,-1.63006245105671,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_44143",-4.85502441045528,-2.65845238178181,"Uninflamed UC","Crypt-bottom fibroblast","P007","Fibroblast"
"SAM24406426_607271",-1.83620126363521,-0.679795612982984,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_645448",-1.58402402517086,-0.793736805609937,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_405692",-3.54499776479488,-0.29658489435124,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_128182",-5.87866313573604,-1.73919331043171,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_110961",-2.1051998865295,-1.35997783153462,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_638475",-3.7363296281982,-0.0105463167946298,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_631284",0.642994807989545,-0.359424223593946,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_341386",-1.80258472081905,-1.94968282192158,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_274244",-3.21127278920894,-3.88763343303608,"Uninflamed UC","Resting crypt-top fibroblast","P007","Fibroblast"
"SAM24406426_110020",-5.07770164129024,-4.96268950908589,"Uninflamed UC","Crypt-bottom fibroblast","P007","Fibroblast"
"SAM24406426_80919",-2.44185931798702,-3.98004447429585,"Uninflamed UC","Resting crypt-top fibroblast","P007","Fibroblast"
"SAM24406426_94286",-3.96214492437129,-3.4787570139687,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_8338",4.84866754892582,5.04950798542095,"Uninflamed UC","Resting crypt-top fibroblast","P007","Fibroblast"
"SAM24406426_504546",-5.53739554998165,-6.20653735607075,"Uninflamed UC","Crypt-bottom fibroblast","P007","Fibroblast"
"SAM24406426_651162",-2.74368674871211,-2.5979410311501,"Uninflamed UC","Resting crypt-top fibroblast","P007","Fibroblast"
"SAM24406426_224108",-1.75603492376094,-0.686102618865247,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_126988",-3.42526013967281,-2.55418764560628,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_162368",-4.11153228399044,-1.54978167026448,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_318840",-3.41091735479122,-1.66389166324544,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_41012",-4.02713019963985,-1.77762352435994,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_272081",-2.50699193593746,-4.02454577892231,"Uninflamed UC","Resting crypt-top fibroblast","P007","Fibroblast"
"SAM24406426_511063",-2.94961698171382,-2.41978203266072,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_607253",-2.15283019658809,-1.01693915336537,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_136121",-5.2515679132629,-1.81119166820454,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_540929",2.03563134554143,5.85485304386211,"Uninflamed UC","Activated crypt-top fibroblast","P007","Fibroblast"
"SAM24406426_536200",4.01530811372513,2.75955332309795,"Uninflamed UC","Resting crypt-top fibroblast","P007","Fibroblast"
"SAM24406426_620277",-4.84498508092647,-4.35366641490864,"Uninflamed UC","Crypt-bottom fibroblast","P007","Fibroblast"
"SAM24406426_394895",-2.74418695089107,-0.60115157573628,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_500629",-2.71253593084102,-4.07584678142476,"Uninflamed UC","Resting crypt-top fibroblast","P007","Fibroblast"
"SAM24406426_602763",-1.70162541982418,-1.12390243022847,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_448531",-5.164328647821,-3.61894713848042,"Uninflamed UC","Crypt-bottom fibroblast","P007","Fibroblast"
"SAM24406426_162668",-4.75796611425167,-3.59640847652363,"Uninflamed UC","Crypt-bottom fibroblast","P007","Fibroblast"
"SAM24406426_618583",-4.06209571477657,-1.10388540237355,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_420496",-4.86955745336299,-0.354847957782026,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_196367",2.22517280462498,5.65813005954814,"Uninflamed UC","Activated crypt-top fibroblast","P007","Fibroblast"
"SAM24406426_561164",-2.71742971059566,-3.03389417140889,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_333843",-5.21546752568965,-5.15125762432026,"Uninflamed UC","Crypt-bottom fibroblast","P007","Fibroblast"
"SAM24406426_130270",-3.25113065358882,-0.498048534087415,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_458289",-1.2600808870483,-1.55716525524067,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_166002",-2.8295102846313,-4.0525513788979,"Uninflamed UC","Resting crypt-top fibroblast","P007","Fibroblast"
"SAM24406426_727290",-4.29406936284786,0.451829607196574,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_830339",-3.43407065984493,-0.967048396758314,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_404914",-4.69544704076534,-2.40478621929097,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_80956",-2.37592656728511,-0.808109035186048,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_608460",-3.56893165227657,1.03904003889156,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_3424",-5.4017496835876,-0.433471908263441,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_584222",-1.65268714544063,-0.892389645270582,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_677475",3.28634230974431,5.46738852054668,"Uninflamed UC","Activated crypt-top fibroblast","P007","Fibroblast"
"SAM24406426_45915",5.16366188410039,5.03292168171001,"Uninflamed UC","Resting crypt-top fibroblast","P007","Fibroblast"
"SAM24406426_589761",-6.0120077860046,-1.8012872835915,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_774397",4.70699916961903,4.68623913318706,"Uninflamed UC","Resting crypt-top fibroblast","P007","Fibroblast"
"SAM24406426_294952",-1.70849807378536,-1.19549929111409,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_669333",-4.35616881963497,-3.21296798198628,"Uninflamed UC","Crypt-bottom fibroblast","P007","Fibroblast"
"SAM24406426_260455",-3.8636170160461,-0.182975699595686,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_127407",-4.48006541845088,-4.1215587755959,"Uninflamed UC","Crypt-bottom fibroblast","P007","Fibroblast"
"SAM24406426_41726",-2.58958680745845,-3.98144923656392,"Uninflamed UC","Resting crypt-top fibroblast","P007","Fibroblast"
"SAM24406426_719663",-3.53979785558467,-1.34120379894185,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_711103",3.24044536236043,5.31532610447002,"Uninflamed UC","Activated crypt-top fibroblast","P007","Fibroblast"
"SAM24406426_617395",-3.3082404863525,-2.14961086719441,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_870664",-4.39337356206661,-2.74494945018696,"Uninflamed UC","Crypt-bottom fibroblast","P007","Fibroblast"
"SAM24406426_7160",-4.42221267339473,-4.33757363765645,"Uninflamed UC","Crypt-bottom fibroblast","P007","Fibroblast"
"SAM24406426_846020",-2.35031039830928,-1.91677128284382,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_654342",-1.95240409490352,-1.46670376270222,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
"SAM24406426_9076",-2.68072803136592,-0.78492330520558,"Uninflamed UC","LP fibroblast","P007","Fibroblast"
