contrast,group,sender,receiver,ligand,receptor,lr_interaction,id,scaled_lfc_ligand,scaled_p_val_ligand_adapted,scaled_lfc_receptor,scaled_p_val_receptor_adapted,max_scaled_activity,scaled_pb_ligand,scaled_pb_receptor,fraction_expressing_ligand_receptor,prioritization_score,top_group,direction,interaction,force,interaction_display,interaction_f
Inflamed.UC-Uninflamed.UC,Inflamed.UC,Fibroblast,Neutrophil,CSF3,CSF3R,CSF3_CSF3R,CSF3_CSF3R_Fibroblast_Neutrophil,1,1,0.8570110701107011,0.8136531365313653,0.6269912561511878,1.001,1.001,0.5555555555555556,0.83664648583796275,Inflamed.UC,Fibroblast to neutrophil,CSF3 -> CSF3R,TRUE,CSF3 -> CSF3R,CSF3 -> CSF3R
Inflamed.UC-Uninflamed.UC,Inflamed.UC,Fibroblast,Neutrophil,HGF,CD44,HGF_CD44,HGF_CD44_Fibroblast_Neutrophil,0.9466292134831461,0.9634831460674157,0.9760147601476015,0.9354243542435424,0.6802120230721347,1.001,1.001,0.7777777777777778,0.8951275896367942,Inflamed.UC,Fibroblast to neutrophil,HGF -> CD44,FALSE,HGF -> CD44,HGF -> CD44
Inflamed.UC-Uninflamed.UC,Inflamed.UC,Fibroblast,Neutrophil,CCL2,CCR1,CCL2_CCR1,CCL2_CCR1_Fibroblast_Neutrophil,0.4550561797752809,0.46348314606741575,0.9621771217712177,0.9234317343173432,1.001,1.001,1.001,0.8888888888888888,0.8823271633090863,Inflamed.UC,Fibroblast to neutrophil,CCL2 -> CCR1,FALSE,CCL2 -> CCR1,CCL2 -> CCR1
Inflamed.UC-Uninflamed.UC,Inflamed.UC,Fibroblast,Neutrophil,RARRES2,CCRL2,RARRES2_CCRL2,RARRES2_CCRL2_Fibroblast_Neutrophil,0.8848314606741573,0.9466292134831461,0.9861623616236163,0.9391143911439115,0.5854993764945214,1.001,1.001,0.7777777777777778,0.8739409779557856,Inflamed.UC,Fibroblast to neutrophil,RARRES2 -> CCRL2,FALSE,RARRES2 -> CCRL2,RARRES2 -> CCRL2
Inflamed.UC-Uninflamed.UC,Inflamed.UC,Fibroblast,Neutrophil,C3,ITGAX,C3_ITGAX,C3_ITGAX_Fibroblast_Neutrophil,0.7682584269662921,0.8497191011235955,0.9428044280442804,0.8819188191881919,0.5047489279180342,1.001,1.001,1,0.8713498859298691,Inflamed.UC,Fibroblast to neutrophil,C3 -> ITGAX,FALSE,C3 -> ITGAX,C3 -> ITGAX
Inflamed.UC-Uninflamed.UC,Inflamed.UC,Fibroblast,Neutrophil,CXCL1,CXCR1,CXCL1_CXCR1,CXCL1_CXCR1_Fibroblast_Neutrophil,0.9550561797752809,0.9803370786516854,0.8284132841328413,0.7509225092250923,0.4593590222954845,1.001,1.001,1,0.8697872580313224,Inflamed.UC,Fibroblast to neutrophil,CXCL1 -> CXCR1,FALSE,CXCL1 -> CXCR1,CXCL1 -> CXCR1
Inflamed.UC-Uninflamed.UC,Inflamed.UC,Fibroblast,Neutrophil,ANXA1,FPR2,ANXA1_FPR2,ANXA1_FPR2_Fibroblast_Neutrophil,0.7303370786516854,0.7780898876404494,0.8985239852398524,0.8173431734317343,0.5602573606931033,1.001,1.001,1,0.8624007371958273,Inflamed.UC,Fibroblast to neutrophil,ANXA1 -> FPR2,FALSE,ANXA1 -> FPR2,ANXA1 -> FPR2
Inflamed.UC-Uninflamed.UC,Inflamed.UC,Fibroblast,Neutrophil,CXCL1,CXCR2,CXCL1_CXCR2,CXCL1_CXCR2_Fibroblast_Neutrophil,0.9550561797752809,0.9803370786516854,0.7841328413284133,0.7029520295202952,0.4593590222954845,1.001,1.001,1,0.8620996811555536,Inflamed.UC,Fibroblast to neutrophil,CXCL1 -> CXCR2,FALSE,CXCL1 -> CXCR2,CXCL1 -> CXCR2
Inflamed.UC-Uninflamed.UC,Inflamed.UC,Fibroblast,Neutrophil,ANXA1,FPR1,ANXA1_FPR1,ANXA1_FPR1_Fibroblast_Neutrophil,0.7303370786516854,0.7780898876404494,0.8376383763837638,0.7915129151291513,0.5602573606931033,1.001,1.001,1,0.8551744149326046,Inflamed.UC,Fibroblast to neutrophil,ANXA1 -> FPR1,FALSE,ANXA1 -> FPR1,ANXA1 -> FPR1
Inflamed.UC-Uninflamed.UC,Inflamed.UC,Neutrophil,Fibroblast,NAMPT,ITGA5,NAMPT_ITGA5,NAMPT_ITGA5_Neutrophil_Fibroblast,0.8778089887640449,0.851123595505618,0.9520295202952029,0.977859778597786,0.4335428809831885,1.001,1.001,1,0.8774923037607524,Inflamed.UC,Neutrophil to fibroblast,NAMPT -> ITGA5,TRUE,NAMPT -> ITGA5+ITGB1,NAMPT -> ITGA5+ITGB1
Inflamed.UC-Uninflamed.UC,Inflamed.UC,Neutrophil,Fibroblast,NAMPT,ITGB1,NAMPT_ITGB1,NAMPT_ITGB1_Neutrophil_Fibroblast,0.8778089887640449,0.851123595505618,0.37822878228782286,0.34317343173431736,0.4335428809831885,1.001,0.9536101057851841,1,0.7688867309857124,Inflamed.UC,Neutrophil to fibroblast,NAMPT -> ITGB1,TRUE,NAMPT -> ITGA5+ITGB1,NAMPT -> ITGA5+ITGB1
Inflamed.UC-Uninflamed.UC,Inflamed.UC,Neutrophil,Fibroblast,OSM,OSMR,OSM_OSMR,OSM_OSMR_Neutrophil_Fibroblast,0.9178370786516854,0.8426966292134831,0.8099630996309963,0.9022140221402214,0.8014758809783712,1.001,0.9972861520594817,0.8888888888888888,0.9041677227908222,Inflamed.UC,Neutrophil to fibroblast,OSM -> OSMR,FALSE,OSM -> OSMR,OSM -> OSMR
Inflamed.UC-Uninflamed.UC,Inflamed.UC,Neutrophil,Fibroblast,IL1B,IL1R1,IL1B_IL1R1,IL1B_IL1R1_Neutrophil_Fibroblast,0.9501404494382022,0.9115168539325843,0.3339483394833948,0.3007380073800738,1.001,1.001,0.9252576470777725,1,0.8625715786991499,Inflamed.UC,Neutrophil to fibroblast,IL1B -> IL1R1,FALSE,IL1B -> IL1R1,IL1B -> IL1R1
Inflamed.UC-Uninflamed.UC,Inflamed.UC,Neutrophil,Fibroblast,IL1A,IL1R1,IL1A_IL1R1,IL1A_IL1R1_Neutrophil_Fibroblast,0.9403089887640449,0.8609550561797753,0.3339483394833948,0.3007380073800738,1.001,1.001,0.9252576470777725,0.8888888888888888,0.8390202886450508,Inflamed.UC,Neutrophil to fibroblast,IL1A -> IL1R1,FALSE,IL1A -> IL1R1,IL1A -> IL1R1
Inflamed.UC-Uninflamed.UC,Inflamed.UC,Neutrophil,Fibroblast,CD44,HAS2,CD44_HAS2,CD44_HAS2_Neutrophil_Fibroblast,0.9438202247191011,0.8792134831460674,0.52214022140221406,0.559040590405904,0.5819008687591994,1.001,1.001,0.8888888888888888,0.8208161695807885,Inflamed.UC,Neutrophil to fibroblast,CD44 -> HAS2,FALSE,CD44 -> HAS2,CD44 -> HAS2
Inflamed.UC-Uninflamed.UC,Inflamed.UC,Neutrophil,Fibroblast,TNF,TNFRSF21,TNF_TNFRSF21,TNF_TNFRSF21_Neutrophil_Fibroblast,0.827247191011236,0.6446629213483146,0.8431734317343174,0.8570110701107011,1.001,1.001,1.001,0.3333333333333333,0.8203967734059361,Inflamed.UC,Neutrophil to fibroblast,TNF -> TNFRSF21,FALSE,TNF -> TNFRSF21,TNF -> TNFRSF21
Inflamed.UC-Uninflamed.UC,Inflamed.UC,Neutrophil,Fibroblast,IL1RN,IL1R1,IL1RN_IL1R1,IL1RN_IL1R1_Neutrophil_Fibroblast,0.9782303370786517,0.9536516853932584,0.3339483394833948,0.3007380073800738,0.6664448052555642,1.001,0.9252576470777725,1,0.8126644395001709,Inflamed.UC,Neutrophil to fibroblast,IL1RN -> IL1R1,FALSE,IL1RN -> IL1R1,IL1RN -> IL1R1
Inflamed.UC-Uninflamed.UC,Inflamed.UC,Neutrophil,Fibroblast,OSM,IL6ST,OSM_IL6ST,OSM_IL6ST_Neutrophil_Fibroblast,0.9178370786516854,0.8426966292134831,0.24907749077490776,0.1522140221402214,0.8014758809783712,1.001,0.8859464174098243,1,0.7948891514630573,Inflamed.UC,Neutrophil to fibroblast,OSM -> IL6ST,FALSE,OSM -> IL6ST,OSM -> IL6ST
