"cell","UMAP1","UMAP2","condition","state","patient","lineage"
"SAM24406426_264619",-2.01717335260571,-3.96461869438138,"Uninflamed UC","Neutrophil lowRNA","P007","Neutrophil"
"SAM24406426_701911",-1.89260155237378,-4.3660323735043,"Uninflamed UC","Neutrophil lowRNA","P007","Neutrophil"
"SAM24406426_99205",-0.672250079876793,-4.37516761978116,"Uninflamed UC","Neutrophil lowRNA","P007","Neutrophil"
"SAM24406426_602144",-1.68049574173154,-4.46434045989957,"Uninflamed UC","Neutrophil lowRNA","P007","Neutrophil"
"SAM24406426_781622",0.57866435968219,-4.11800790985074,"Uninflamed UC","Neutrophil lowRNA","P007","Neutrophil"
"SAM24406426_773052",-0.938118244475735,-4.47954965789761,"Uninflamed UC","Neutrophil lowRNA","P007","Neutrophil"
"SAM24406426_120675",-1.0852164802617,-3.7357845421597,"Uninflamed UC","Neutrophil lowRNA","P007","Neutrophil"
"SAM24406426_836730",-1.02291944897832,-3.50731469352688,"Uninflamed UC","Neutrophil lowRNA","P007","Neutrophil"
"SAM24406426_438158",-1.03659807420434,-3.01864815910306,"Uninflamed UC","Neutrophil lowRNA","P007","Neutrophil"
"SAM24406426_645120",-0.816363542295111,-3.829597246246,"Uninflamed UC","Neutrophil lowRNA","P007","Neutrophil"
"SAM24406426_461834",1.04706829511462,-2.61571050842251,"Uninflamed UC","Neutrophil lowRNA","P007","Neutrophil"
"SAM24406426_346166",-0.801051425701989,-3.94130064208951,"Uninflamed UC","Neutrophil lowRNA","P007","Neutrophil"
"SAM24406426_450271",-1.27369609749974,-3.71164513786282,"Uninflamed UC","Neutrophil lowRNA","P007","Neutrophil"
"SAM24406426_391626",-2.19092053449811,-4.1910588856503,"Uninflamed UC","Neutrophil lowRNA","P007","Neutrophil"
"SAM24406426_352877",-0.141245904333008,-2.48811925609555,"Uninflamed UC","Neutrophil lowRNA","P007","Neutrophil"
"SAM24406426_123525",1.73486894094287,-2.2335518713757,"Uninflamed UC","Neutrophil lowRNA","P007","Neutrophil"
"SAM24406426_724969",-1.0935580012864,-3.45095492561307,"Uninflamed UC","Neutrophil lowRNA","P007","Neutrophil"
