sample,patient,group,interaction,score
SAM24406426,P007,Uninflamed.UC,OSM -> OSMR,14.170610966900114
SAM24406427,P007,Inflamed.UC,OSM -> OSMR,19.979563178717136
SAM24406429,P008,Uninflamed.UC,OSM -> OSMR,17.88933218841066
SAM24406430,P008,Inflamed.UC,OSM -> OSMR,18.98589141005195
SAM24410862,P013,Uninflamed.UC,OSM -> OSMR,16.936176287527843
SAM24410863,P013,Inflamed.UC,OSM -> OSMR,17.03786754460854
SAM24410865,P014,Uninflamed.UC,OSM -> OSMR,18.739810334481618
SAM24410866,P014,Inflamed.UC,OSM -> OSMR,17.252937853119832
SAM24410871,P016,Uninflamed.UC,OSM -> OSMR,15.611085171996816
SAM24410872,P016,Inflamed.UC,OSM -> OSMR,20.153732833325833
SAM24411909,P017,Uninflamed.UC,OSM -> OSMR,7.215393100657719
SAM24411910,P017,Inflamed.UC,OSM -> OSMR,18.107232736963
SAM24412534,P019,Uninflamed.UC,OSM -> OSMR,17.420438435641913
SAM24412535,P019,Inflamed.UC,OSM -> OSMR,16.098264479129075
SAM24412540,P021,Uninflamed.UC,OSM -> OSMR,7.442533882665177
SAM24412541,P021,Inflamed.UC,OSM -> OSMR,10.813557033513037
SAM24416192,P028,Uninflamed.UC,OSM -> OSMR,13.771162889761008
SAM24416193,P028,Inflamed.UC,OSM -> OSMR,19.154021724231672
SAM24406426,P007,Uninflamed.UC,IL1B -> IL1R1,20.301178053843195
SAM24406427,P007,Inflamed.UC,IL1B -> IL1R1,23.10744022536736
SAM24406429,P008,Uninflamed.UC,IL1B -> IL1R1,21.867650565833408
SAM24406430,P008,Inflamed.UC,IL1B -> IL1R1,22.0194929239844
SAM24410862,P013,Uninflamed.UC,IL1B -> IL1R1,20.700453537684194
SAM24410863,P013,Inflamed.UC,IL1B -> IL1R1,22.008014223640153
SAM24410865,P014,Uninflamed.UC,IL1B -> IL1R1,22.090141722706527
SAM24410866,P014,Inflamed.UC,IL1B -> IL1R1,20.454385744160597
SAM24410871,P016,Uninflamed.UC,IL1B -> IL1R1,18.91232800704283
SAM24410872,P016,Inflamed.UC,IL1B -> IL1R1,21.686716820779854
SAM24411909,P017,Uninflamed.UC,IL1B -> IL1R1,20.402196915474036
SAM24411910,P017,Inflamed.UC,IL1B -> IL1R1,22.47429623283172
SAM24412534,P019,Uninflamed.UC,IL1B -> IL1R1,22.49572100555664
SAM24412535,P019,Inflamed.UC,IL1B -> IL1R1,22.707589378509304
SAM24412540,P021,Uninflamed.UC,IL1B -> IL1R1,10.10148942738966
SAM24412541,P021,Inflamed.UC,IL1B -> IL1R1,20.84774410009601
SAM24416192,P028,Uninflamed.UC,IL1B -> IL1R1,19.692359246802475
SAM24416193,P028,Inflamed.UC,IL1B -> IL1R1,21.096006709875724
SAM24406426,P007,Uninflamed.UC,CXCL1 -> CXCR2,17.439694405781722
SAM24406427,P007,Inflamed.UC,CXCL1 -> CXCR2,22.683167540019213
SAM24406429,P008,Uninflamed.UC,CXCL1 -> CXCR2,18.35130641933613
SAM24406430,P008,Inflamed.UC,CXCL1 -> CXCR2,21.60372942973592
SAM24410862,P013,Uninflamed.UC,CXCL1 -> CXCR2,18.170857668524434
SAM24410863,P013,Inflamed.UC,CXCL1 -> CXCR2,19.520121319268295
SAM24410865,P014,Uninflamed.UC,CXCL1 -> CXCR2,21.39242938959614
SAM24410866,P014,Inflamed.UC,CXCL1 -> CXCR2,19.504966321351148
SAM24410871,P016,Uninflamed.UC,CXCL1 -> CXCR2,10.324684200397028
SAM24410872,P016,Inflamed.UC,CXCL1 -> CXCR2,19.899913467170997
SAM24411909,P017,Uninflamed.UC,CXCL1 -> CXCR2,16.580052425041078
