gene,ConditionCode,pt_bin,mean_expression,se_expression,contrast_id,contrast,condition_label
GRIP1,UF,1,3.30023645304526,0.482251588979443,UA5_vs_UF,alpha5beta1i vs UC,UC fibroblasts
COMMD1,UF,1,0.383204034937069,0.205864729144481,UA5_vs_UF,alpha5beta1i vs UC,UC fibroblasts
PRIM1,UF,1,0.605415496907531,0.147991194754012,UA5_vs_UF,alpha5beta1i vs UC,UC fibroblasts
GRIP1,UF,2,4.02318484209458,0.631450771198329,UA5_vs_UF,alpha5beta1i vs UC,UC fibroblasts
COMMD1,UF,2,0.445607820898805,0.230071370868634,UA5_vs_UF,alpha5beta1i vs UC,UC fibroblasts
PRIM1,UF,2,0.768865714009997,0.249098444881147,UA5_vs_UF,alpha5beta1i vs UC,UC fibroblasts
GRIP1,UF,3,3.57886621736562,0.77295202402782,UA5_vs_UF,alpha5beta1i vs UC,UC fibroblasts
COMMD1,UF,3,0.556479009568973,0.383486586954632,UA5_vs_UF,alpha5beta1i vs UC,UC fibroblasts
PRIM1,UF,3,0.517172728031762,0.168776222714479,UA5_vs_UF,alpha5beta1i vs UC,UC fibroblasts
GRIP1,UF,4,2.52746116368084,0.426471711638918,UA5_vs_UF,alpha5beta1i vs UC,UC fibroblasts
COMMD1,UF,4,0.563982744625972,0.170841198171023,UA5_vs_UF,alpha5beta1i vs UC,UC fibroblasts
PRIM1,UF,4,0.498716601533861,0.092303160699041,UA5_vs_UF,alpha5beta1i vs UC,UC fibroblasts
GRIP1,UF,5,2.53742016581919,0.515019194781497,UA5_vs_UF,alpha5beta1i vs UC,UC fibroblasts
COMMD1,UF,5,0.205465679440014,0.0714715786796746,UA5_vs_UF,alpha5beta1i vs UC,UC fibroblasts
PRIM1,UF,5,0.476202653601153,0.127492398928778,UA5_vs_UF,alpha5beta1i vs UC,UC fibroblasts
GRIP1,UF,6,2.76755424582589,0.431406539163127,UA5_vs_UF,alpha5beta1i vs UC,UC fibroblasts
COMMD1,UF,6,0.218663900061442,0.0890437937601942,UA5_vs_UF,alpha5beta1i vs UC,UC fibroblasts
PRIM1,UF,6,0.391664381735894,0.110280512412626,UA5_vs_UF,alpha5beta1i vs UC,UC fibroblasts
GRIP1,UF,7,2.75068954389118,0.544523669616775,UA5_vs_UF,alpha5beta1i vs UC,UC fibroblasts
COMMD1,UF,7,0.570494255091829,0.24595979127022,UA5_vs_UF,alpha5beta1i vs UC,UC fibroblasts
PRIM1,UF,7,0.880310836574583,0.317458024091191,UA5_vs_UF,alpha5beta1i vs UC,UC fibroblasts
GRIP1,UF,8,2.85465247613076,0.430520235283022,UA5_vs_UF,alpha5beta1i vs UC,UC fibroblasts
COMMD1,UF,8,0.373655369334923,0.114266624549985,UA5_vs_UF,alpha5beta1i vs UC,UC fibroblasts
PRIM1,UF,8,0.516452321608382,0.0676164696436624,UA5_vs_UF,alpha5beta1i vs UC,UC fibroblasts
GRIP1,UA5,1,5.90038709307949,0.376172318533653,UA5_vs_UF,alpha5beta1i vs UC,UC + α5β1i
COMMD1,UA5,1,2.23343660318312,0.549713322582837,UA5_vs_UF,alpha5beta1i vs UC,UC + α5β1i
PRIM1,UA5,1,3.17942365903497,0.259395359417971,UA5_vs_UF,alpha5beta1i vs UC,UC + α5β1i
GRIP1,UA5,2,5.79245472546119,0.418510822179937,UA5_vs_UF,alpha5beta1i vs UC,UC + α5β1i
COMMD1,UA5,2,2.70000317648714,0.644152987033891,UA5_vs_UF,alpha5beta1i vs UC,UC + α5β1i
PRIM1,UA5,2,3.68911850585656,0.462005912435044,UA5_vs_UF,alpha5beta1i vs UC,UC + α5β1i
GRIP1,UA5,3,5.49154797989263,0.357359477322913,UA5_vs_UF,alpha5beta1i vs UC,UC + α5β1i
COMMD1,UA5,3,1.82500165956432,0.714640829654461,UA5_vs_UF,alpha5beta1i vs UC,UC + α5β1i
PRIM1,UA5,3,2.5517881577931,0.612852485435274,UA5_vs_UF,alpha5beta1i vs UC,UC + α5β1i
GRIP1,UA5,4,4.91449219663469,0.475017388143375,UA5_vs_UF,alpha5beta1i vs UC,UC + α5β1i
COMMD1,UA5,4,2.12878103250326,0.643907708751575,UA5_vs_UF,alpha5beta1i vs UC,UC + α5β1i
PRIM1,UA5,4,2.23649549272869,0.347830217089758,UA5_vs_UF,alpha5beta1i vs UC,UC + α5β1i
GRIP1,UA5,5,4.673244825421,0.418180240836885,UA5_vs_UF,alpha5beta1i vs UC,UC + α5β1i
