direction,downstream_pathway,receiver,lr_pathway,overlap,target_genes,pathway_genes,gene_ratio,p_value,leading_targets,fdr,enrichment_strength
Fibroblast -> Neutrophil,Apoptosis,Neutrophil,IL1/IL33,26,171,34,0.152046783625731,9.67220348592728e-15,"Bax, Il6, Satb1, Anxa1, Bcl2l1",2.41805087148182e-13,6
Fibroblast -> Neutrophil,Apoptosis,Neutrophil,CXCL-CXCR2,22,125,34,0.176,3.22957762009948e-13,"Bax, Il6, Anxa1, App, Bcl2l1",5.38262936683247e-12,6
Fibroblast -> Neutrophil,Apoptosis,Neutrophil,TGF-beta/ECM,18,98,34,0.183673469387755,8.41018613044278e-11,"Bax, Il6, App, Bcl2l1, Bcl2l11",2.1025465326107e-09,6
Fibroblast -> Neutrophil,Apoptosis,Neutrophil,VCAM adhesion,17,103,34,0.16504854368932,2.28116550951556e-09,"Bax, Il6, App, Bcl2l1, Bcl2l11",3.80194251585927e-08,6
Fibroblast -> Neutrophil,Apoptosis,Neutrophil,MHC-II/CD74,18,95,34,0.189473684210526,4.77580991277318e-11,"Bax, Il6, Anxa1, App, Bcl2l1",1.1939524781933e-09,6
Fibroblast -> Neutrophil,Hypoxia,Neutrophil,IL1/IL33,20,171,46,0.116959064327485,1.39560961104369e-05,"Has1, Il6, Cxcr4, Dcn, Ets1",8.72256006902306e-05,4.05935603104518
Fibroblast -> Neutrophil,Hypoxia,Neutrophil,CXCL-CXCR2,26,125,46,0.208,1.70303837506165e-13,"Il6, Bhlhe40, Cdkn1a, Cxcr4, Ets1",4.25759593765412e-12,6
Fibroblast -> Neutrophil,Hypoxia,Neutrophil,TGF-beta/ECM,19,98,46,0.193877551020408,5.36312653198784e-09,"Il6, Aldoa, Bhlhe40, Btg1, Cdkn1a",8.93854421997973e-08,6
Fibroblast -> Neutrophil,Hypoxia,Neutrophil,VCAM adhesion,22,103,46,0.213592233009709,2.04104337416297e-11,"Il6, Bhlhe40, Btg1, Cdkn1a, Cxcr4",5.10260843540743e-10,6
Fibroblast -> Neutrophil,Hypoxia,Neutrophil,MHC-II/CD74,20,95,46,0.210526315789474,3.47635076773547e-10,"Il6, Bhlhe40, Btg1, Cdkn1a, Cxcr4",5.79391794622578e-09,6
Fibroblast -> Neutrophil,Tnfa Signaling via Nfkb,Neutrophil,IL1/IL33,64,171,83,0.374269005847953,1.40405678643445e-37,"Birc2, Gfpt2, Il6, Ninj1, Tank",7.02028393217225e-36,6
Fibroblast -> Neutrophil,Tnfa Signaling via Nfkb,Neutrophil,CXCL-CXCR2,49,125,83,0.392,3.2567864450674e-27,"Birc2, Il6, Abca1, Bcl3, Bhlhe40",1.6283932225337e-25,6
