condition,score_program,pseudotime_bin,bin_midpoint,mean,sem,mice
Control,Neutrophil OSM,B6,0.916666666666667,-0.596936885363112,0.065720782114462,5
Control,Neutrophil OSM,B5,0.75,-0.382448494216415,0.081510453162461,10
Control,Neutrophil OSM,B4,0.583333333333333,-0.407623911101079,0.0415246754503126,9
Severe DSS colitis,Neutrophil OSM,B1,0.0833333333333333,0.54101349172309,0.0401556509357009,3
Severe DSS colitis,Neutrophil OSM,B2,0.25,0.460829676028555,0.139853400338183,5
Severe DSS colitis,Neutrophil OSM,B3,0.416666666666667,0.738023153606094,0.125412354935865,5
Severe DSS colitis,Neutrophil OSM,B5,0.75,-0.208556524582993,0.0731381640485307,6
Severe DSS colitis,Neutrophil OSM,B4,0.583333333333333,-0.193210872459977,0.0832872897933304,6
Severe DSS colitis,Neutrophil OSM,B6,0.916666666666667,-0.632184939589077,0.0813408342020023,6
Control,Neutrophil OSM,B1,0.0833333333333333,-0.256706312392366,0.103890492795085,6
Control,Neutrophil OSM,B2,0.25,-0.19972160252833,0.0522061229738222,6
Control,Neutrophil OSM,B3,0.416666666666667,-0.302246936828012,0.0708215450871328,6
DSS + alpha5beta1 blockade,Neutrophil OSM,B1,0.0833333333333333,-0.0378936667709659,0.0598926396154123,12
DSS + alpha5beta1 blockade,Neutrophil OSM,B2,0.25,0.253346422242386,0.0843522674462272,6
DSS + alpha5beta1 blockade,Neutrophil OSM,B3,0.416666666666667,-0.584406553610086,0.0702311949091818,2
Control,Neutrophil CXCR4,B6,0.916666666666667,-0.358718953597173,0.0186493075380701,5
Control,Neutrophil CXCR4,B5,0.75,-0.350988378691579,0.0238544504550739,10
Control,Neutrophil CXCR4,B4,0.583333333333333,-0.347748042433732,0.0291493386179177,9
Severe DSS colitis,Neutrophil CXCR4,B1,0.0833333333333333,0.549156401438189,0.0152593769253172,3
Severe DSS colitis,Neutrophil CXCR4,B2,0.25,0.56506689105479,0.0742446922820075,5
Severe DSS colitis,Neutrophil CXCR4,B3,0.416666666666667,0.474681765944066,0.091341038240575,5
Severe DSS colitis,Neutrophil CXCR4,B5,0.75,-0.054855206089299,0.040324329077518,6
Severe DSS colitis,Neutrophil CXCR4,B4,0.583333333333333,-0.123117779080678,0.0448108552414459,6
Severe DSS colitis,Neutrophil CXCR4,B6,0.916666666666667,-0.322657848777137,0.0529774126005298,6
Control,Neutrophil CXCR4,B1,0.0833333333333333,-0.192504305055392,0.0918510101896723,6
Control,Neutrophil CXCR4,B2,0.25,-0.268075649163244,0.0608702490526374,6
Control,Neutrophil CXCR4,B3,0.416666666666667,-0.398002665342833,0.0320630729167013,6
DSS + alpha5beta1 blockade,Neutrophil CXCR4,B1,0.0833333333333333,-0.116282155875573,0.0285754152414903,12
DSS + alpha5beta1 blockade,Neutrophil CXCR4,B2,0.25,-0.106652636931397,0.0738716159417927,6
DSS + alpha5beta1 blockade,Neutrophil CXCR4,B3,0.416666666666667,-0.448261333777737,0.0740528754327681,2
Control,Neutrophil PADI4,B6,0.916666666666667,-0.595679224647968,0.0120421993826586,5
Control,Neutrophil PADI4,B5,0.75,-0.40675284434946,0.0613337093200128,10
Control,Neutrophil PADI4,B4,0.583333333333333,-0.099670767472031,0.0662022276643731,9
Severe DSS colitis,Neutrophil PADI4,B1,0.0833333333333333,0.421814027129883,0.0333367321655987,3
Severe DSS colitis,Neutrophil PADI4,B2,0.25,0.0828807931491352,0.0855877460146174,5
Severe DSS colitis,Neutrophil PADI4,B3,0.416666666666667,0.492663506141965,0.0389871304334468,5
Severe DSS colitis,Neutrophil PADI4,B5,0.75,-0.330184486657465,0.0558786103823929,6
Severe DSS colitis,Neutrophil PADI4,B4,0.583333333333333,-0.137839927805934,0.0439991389675882,6
Severe DSS colitis,Neutrophil PADI4,B6,0.916666666666667,-0.554337869976225,0.0257774642940238,6
Control,Neutrophil PADI4,B1,0.0833333333333333,0.402156691622295,0.189331667431436,6
Control,Neutrophil PADI4,B2,0.25,-0.220473038215025,0.0381061772735146,6
Control,Neutrophil PADI4,B3,0.416666666666667,-0.00470400113970198,0.115011353258,6
DSS + alpha5beta1 blockade,Neutrophil PADI4,B1,0.0833333333333333,0.0905324588642684,0.0474290094153658,12
DSS + alpha5beta1 blockade,Neutrophil PADI4,B2,0.25,-0.0664908766356303,0.140931428389133,6
DSS + alpha5beta1 blockade,Neutrophil PADI4,B3,0.416666666666667,-0.310553821214113,0.146403333874294,2
Control,Neutrophil MX1,B6,0.916666666666667,-0.112397343134871,0.056924817170907,5
Control,Neutrophil MX1,B5,0.75,-0.109175286199587,0.0329794140211899,10
Control,Neutrophil MX1,B4,0.583333333333333,-0.046823527719215,0.0542143000047033,9
Severe DSS colitis,Neutrophil MX1,B1,0.0833333333333333,-0.00563684781648875,0.119813397718226,3
Severe DSS colitis,Neutrophil MX1,B2,0.25,0.120763255165751,0.124996237496544,5
Severe DSS colitis,Neutrophil MX1,B3,0.416666666666667,0.00200223248857015,0.0673090509361812,5
Severe DSS colitis,Neutrophil MX1,B5,0.75,-0.117155453420824,0.0360207469320402,6
Severe DSS colitis,Neutrophil MX1,B4,0.583333333333333,-0.0736818463425597,0.0596642302226728,6
Severe DSS colitis,Neutrophil MX1,B6,0.916666666666667,-0.0994733429922202,0.0468425330573612,6
Control,Neutrophil MX1,B1,0.0833333333333333,0.128770664219677,0.17856928225155,6
Control,Neutrophil MX1,B2,0.25,0.261715849819349,0.104162479745833,6
Control,Neutrophil MX1,B3,0.416666666666667,-0.0984510550679246,0.0523041504338455,6
DSS + alpha5beta1 blockade,Neutrophil MX1,B1,0.0833333333333333,-0.0937466790218957,0.0362900757898438,12
DSS + alpha5beta1 blockade,Neutrophil MX1,B2,0.25,0.0400778633904596,0.0783178574303369,6
DSS + alpha5beta1 blockade,Neutrophil MX1,B3,0.416666666666667,-0.204073385671144,0.0150795863075302,2
