category	feature	effect	p_value	FDR
"Paired program"	"Fibroblast: FAP_inflammatory"	0.451232622586757	0.0010970505857231	0.00438820234289241
"Paired program"	"Fibroblast: Alpha5Beta1_adhesion"	0.166417547576466	0.0900820575789648	0.120109410105286
"Paired program"	"Fibroblast: Neutrophil_recruitment"	0.632980301097509	0.0010970505857231	0.00438820234289241
"Paired program"	"Fibroblast: OSM_response"	0.272845429169635	0.0120369481070948	0.0320985282855861
"Paired program"	"Fibroblast: ECM_remodeling"	0.197883922966133	0.0170556294065931	0.0341112588131861
"Paired program"	"Fibroblast: TGFb_response"	0.0338885179885738	0.187401192001721	0.214172790859109
"Paired program"	"Fibroblast: NFkB_AP1"	0.434271800233684	0.0516462183078041	0.0826339492924865
"Paired program"	"Fibroblast: YAP_mechanotransduction"	-0.0113693765050856	0.949944493522	0.949944493522
"Paired program"	"Neutrophil: Recruitment_migration"	0.178250520449196	0.297672151508384	0.382721337653636
"Paired program"	"Neutrophil: Retention_aging"	0.396141227845902	0.0138325945072521	0.0610929001329395
"Paired program"	"Neutrophil: Degranulation"	0.014609322027901	0.924572011837841	0.924572011837841
"Paired program"	"Neutrophil: NET_associated"	-7.48746517077875e-05	0.569996072896326	0.641245582008367
"Paired program"	"Neutrophil: Oxidative_burst"	0.111924844575812	0.255908620519372	0.382721337653636
"Paired program"	"Neutrophil: Inflammatory"	0.411846629497584	0.015767922944396	0.0610929001329395
"Paired program"	"Neutrophil: Interferon"	0.049529114105597	0.0203643000443132	0.0610929001329395
"Paired program"	"Neutrophil: Survival_immaturity"	0.175284289735996	0.0417967093399603	0.0940425960149106
"Paired program"	"Neutrophil: Tissue_injury"	0.0644122450962635	0.0975530937032685	0.175595568665883
"Cross-compartment"	"Alpha5Beta1_adhesion vs Survival_immaturity"	0.963235294117647	5.74099505504128e-10	7.46329357155366e-08
"Cross-compartment"	"Alpha5Beta1_adhesion vs Retention_aging"	0.901960784313726	7.50399890111985e-07	3.25173285715193e-05
"Cross-compartment"	"ECM_remodeling vs Survival_immaturity"	0.901960784313726	7.50399890111985e-07	3.25173285715193e-05
"Cross-compartment"	"TGFb_response vs Retention_aging"	0.892156862745098	1.48935156613796e-06	4.84039258994836e-05
"Cross-compartment"	"Alpha5Beta1_adhesion vs Oxidative_burst"	0.855392156862745	1.20293791672691e-05	0.000293451427873133
"Cross-compartment"	"Alpha5Beta1_adhesion vs Tissue_injury"	0.852941176470588	1.35439120556831e-05	0.000293451427873133
"Cross-compartment"	"Alpha5Beta1_adhesion vs Recruitment_migration"	0.830882352941177	3.6110599461333e-05	0.00064875054658462
"Cross-compartment"	"TGFb_response vs Survival_immaturity"	0.82843137254902	3.99231105590535e-05	0.00064875054658462
"Cross-compartment"	"ECM_remodeling vs Retention_aging"	0.823529411764706	4.85755334493471e-05	0.000701646594268346
"Cross-compartment"	"FAP_inflammatory vs Survival_immaturity"	0.813725490196079	7.06893364404459e-05	0.000918961373725796
"Cross-compartment"	"Neutrophil_recruitment vs Survival_immaturity"	0.754901960784314	0.000460298412542638	0.00543989033004936
"Cross-compartment"	"FAP_inflammatory vs Retention_aging"	0.747549019607843	0.000561238152431941	0.00608007998467936
"Cross-compartment"	"OSM_response vs Retention_aging"	0.708333333333334	0.00146104977384656	0.0126624313733369
"Cross-compartment"	"ECM_remodeling vs Tissue_injury"	0.708333333333334	0.00146104977384656	0.0126624313733369
"Cross-compartment"	"frac_Inflammatory fibroblast vs Survival_immaturity"	0.71078431372549	0.00138239120269041	0.0126624313733369
"Cross-compartment"	"Alpha5Beta1_adhesion vs frac_Neutrophil PADI4"	0.691176470588235	0.00212111925819104	0.0170736013704622
"Cross-compartment"	"TGFb_response vs Oxidative_burst"	0.688725490196079	0.00223270171767582	0.0170736013704622
"Cross-compartment"	"ECM_remodeling vs Oxidative_burst"	0.683823529411765	0.00247028949220901	0.017840979665954
"Cross-compartment"	"Neutrophil_recruitment vs Retention_aging"	0.676470588235294	0.00286506386532915	0.0195354747225891
"Cross-compartment"	"TGFb_response vs Recruitment_migration"	0.674019607843137	0.003007537803846	0.0195354747225891
"Clinical"	"Alpha5Beta1_adhesion vs Mayo"	0.655654716362957	0.00426912153503931	0.0485368493279402
"Clinical"	"Alpha5Beta1_adhesion vs Endoscopic"	0.655654716362957	0.00426912153503931	0.0485368493279402
"Clinical"	"Survival_immaturity vs Mayo"	0.664338884791605	0.00362783365703173	0.0485368493279402
"Clinical"	"Survival_immaturity vs Histology"	0.707759726934848	0.0014799799664528	0.0485368493279402
"Clinical"	"Survival_immaturity vs Endoscopic"	0.664338884791605	0.00362783365703173	0.0485368493279402
"Clinical"	"Tissue_injury vs Histology"	0.651312632148633	0.00462255707885144	0.0485368493279402
"Clinical"	"frac_Inflammatory fibroblast vs Mayo"	0.659996800577281	0.00393789960179533	0.0485368493279402
"Clinical"	"frac_Inflammatory fibroblast vs Endoscopic"	0.659996800577281	0.00393789960179533	0.0485368493279402
"Clinical"	"frac_Neutrophil PADI4 vs Mayo"	0.659996800577281	0.00393789960179533	0.0485368493279402
"Clinical"	"frac_Neutrophil PADI4 vs Endoscopic"	0.659996800577281	0.00393789960179533	0.0485368493279402
