condition	fib_state	n	FAP_pct	A5B1_RNA_pct	joint_pct
"Healthy"	"Activated crypt-top fibroblast"	9	0	0	0
"Healthy"	"LP fibroblast"	81	0	0	0
"Healthy"	"Pericyte"	1	0	0	0
"Healthy"	"Resting crypt-top fibroblast"	7	0	0	0
"Healthy"	"SMC-1"	4	0	0	0
"Healthy"	"SMC-2"	9	0	0	0
"Uninflamed UC"	"Activated crypt-top fibroblast"	318	0.314465408805031	9.74842767295597	0
"Uninflamed UC"	"Adventitial fibroblast"	25	12	4	0
"Uninflamed UC"	"Crypt-bottom fibroblast"	254	2.36220472440945	3.54330708661417	0.393700787401575
"Uninflamed UC"	"Inflammatory fibroblast"	100	13	22	7
"Uninflamed UC"	"LP fibroblast"	1198	0.250417362270451	4.34056761268781	0.166944908180301
"Uninflamed UC"	"Resting crypt-top fibroblast"	344	0	3.48837209302326	0
"Uninflamed UC"	"SMC-1"	97	0	1.03092783505155	0
"Uninflamed UC"	"SMC-2"	228	0	8.7719298245614	0
"Inflamed UC"	"Activated crypt-top fibroblast"	437	3.20366132723112	38.6727688787185	1.60183066361556
"Inflamed UC"	"Adventitial fibroblast"	8	25	0	0
"Inflamed UC"	"Crypt-bottom fibroblast"	246	10.1626016260163	11.7886178861789	3.65853658536585
"Inflamed UC"	"Inflammatory fibroblast"	1004	33.5657370517928	66.2350597609562	28.3864541832669
"Inflamed UC"	"LP fibroblast"	860	2.32558139534884	13.1395348837209	1.04651162790698
"Inflamed UC"	"Resting crypt-top fibroblast"	296	1.01351351351351	7.43243243243243	0.675675675675676
"Inflamed UC"	"SMC-1"	85	2.35294117647059	4.70588235294118	0
"Inflamed UC"	"SMC-2"	134	4.47761194029851	32.089552238806	2.98507462686567
