analysis	n_pairs	gene	logFC	logCPM	F	PValue	FDR
"All fibroblasts"	5	"IL7R"	4.05800249520104	7.38197635660398	74.8063804222078	2.8163804196618e-07	0.00164110487053693
"All fibroblasts"	5	"CHI3L1"	4.33867665980843	9.27457485218609	69.2890599466687	8.90200979835822e-07	0.00259360055475167
"All fibroblasts"	5	"MMP1"	3.30775143722394	8.49316390214563	61.4413132042113	2.27870701227712e-06	0.00335459607203927
"All fibroblasts"	5	"CLU"	2.53359371062451	7.48367266940204	52.0601476298828	2.30279462642133e-06	0.00335459607203927
"All fibroblasts"	5	"MMP3"	4.33152776106586	8.73394522719959	46.3068273235136	1.01606288169198e-05	0.0118411968232384
"All fibroblasts"	5	"INHBA"	4.86571471668172	7.5700508343877	38.6957258689778	1.3970574536474e-05	0.0135677563040056
"All fibroblasts"	5	"PTGES"	2.13391118783169	7.30528438612103	32.8472906716353	2.97653849957243e-05	0.0247775569100122
"All fibroblasts"	5	"AREG"	2.4915039401358	7.02435482748836	32.3818401064569	3.6368711103551e-05	0.026490059950049
"All fibroblasts"	5	"FBH1"	1.82111142731416	6.92918520773643	30.7830591491838	5.39162522311766e-05	0.0349077779723407
"All fibroblasts"	5	"COL15A1"	-2.06222255647706	8.96128721017034	31.1941780986022	6.74160796812378e-05	0.0392833496302572
"All fibroblasts"	5	"TIMP1"	1.96303171448824	9.68937705602948	30.078159159177	8.23532082491207e-05	0.041779139737516
"All fibroblasts"	5	"CXCL6"	2.86062355171052	7.73649282296822	27.144266027938	8.76280243749971e-05	0.041779139737516
"All fibroblasts"	5	"FURIN"	2.21442905201472	6.42530160133083	25.7811068158354	0.000100336043423541	0.041779139737516
"All fibroblasts"	5	"VSTM2A"	-2.38812552185286	7.48219127696097	27.194685363932	0.000108298730988357	0.041779139737516
"All fibroblasts"	5	"WISP1"	2.26186665041706	6.95795539710356	26.0147206080628	0.000121907310231053	0.041779139737516
"All fibroblasts"	5	"CXCL8"	4.17971567891067	7.50298928038452	24.4885359345328	0.000127169965282651	0.041779139737516
"All fibroblasts"	5	"SURF4"	1.3643163293317	8.04390994920976	27.3816641203078	0.00012899645307705	0.041779139737516
"All fibroblasts"	5	"CTSH"	1.82889316304768	6.43195059149157	25.7112435349944	0.00012905860910851	0.041779139737516
"All fibroblasts"	5	"NECTIN2"	1.77637286221099	6.70247219660911	26.0790094679007	0.000141075040381632	0.0432654873844088
"All fibroblasts"	5	"ZC3H12A"	1.73155791586474	7.16429907209434	25.8188883564451	0.000156454221078586	0.045582937311246
"All fibroblasts"	5	"MT2A"	1.87511283676983	9.20998003142235	25.4617834951265	0.000182779448738	0.0507169451331584
"All fibroblasts"	5	"F2RL2"	2.16712838318533	7.02805540645332	24.0269724135066	0.000210049186798924	0.0541140490539158
"All fibroblasts"	5	"MATN2"	-1.8470264185349	8.84661008676827	24.5127254038438	0.000213595868927418	0.0541140490539158
"All fibroblasts"	5	"BGN"	2.48368315794025	7.94083671929013	23.8473304617239	0.000240600084394801	0.0584156954903543
"All fibroblasts"	5	"TMEM158"	2.02716499344857	8.53013872405467	23.4778873608086	0.000257635030259408	0.0600495728528627
"All fibroblasts"	5	"TXNIP"	-1.91587427732847	10.6504685688013	23.2544920160095	0.000275792796719577	0.0618094087109605
"All fibroblasts"	5	"GSN"	-1.75906064253896	9.89231222256223	22.9595348265972	0.000292242864156556	0.0629612360485568
"All fibroblasts"	5	"SAT1"	1.16676582869934	9.06210465188383	22.7870150333653	0.00030254240764709	0.0629612360485568
"All fibroblasts"	5	"GULP1"	-1.60600010017291	7.50173721501635	21.5831886820595	0.000346318663690541	0.069586167356027
"All fibroblasts"	5	"IGHA1"	1.6358417532142	8.38435394535448	21.8928372474488	0.000362214125932455	0.0703540570602804
"All fibroblasts"	5	"SOD2"	1.43155580267495	9.61725213092338	21.4917726208252	0.000391058567850332	0.0735063959633512
"All fibroblasts"	5	"KIAA0930"	1.46927366358065	6.81985590087204	20.0595078189296	0.000452203095832363	0.0798095728906077
"All fibroblasts"	5	"RANGAP1"	2.10526259552065	5.99011834979682	18.8382525685786	0.000472192430573182	0.0798095728906077
"All fibroblasts"	5	"HM13"	1.50307597275259	7.59734577256346	20.4612378853954	0.000478236756634142	0.0798095728906077
"All fibroblasts"	5	"ABCA8"	-1.43169798310198	9.15778393663055	20.4514812985075	0.000479377904783125	0.0798095728906077
"All fibroblasts"	5	"SLC39A14"	2.10074722935078	7.15912374177174	18.9215732006832	0.000504896190843201	0.0804048589440754
"All fibroblasts"	5	"SHC1"	1.59102460939941	7.4285862271809	20.0020170777552	0.000510550846221176	0.0804048589440754
"All fibroblasts"	5	"RARRES2"	1.30124801962505	9.27160192624697	19.8133785996805	0.000555771543914804	0.084249795044938
"All fibroblasts"	5	"KCTD12"	-1.43133635281752	7.56599978183055	19.7249894519731	0.000563882273340069	0.084249795044938
"All fibroblasts"	5	"PLPP3"	-1.26326268453257	9.46769137621273	19.5358055532077	0.00059084071764289	0.0844213782285878
"All fibroblasts"	5	"PFKFB3"	1.87127095917181	7.22384261212438	18.8901498009775	0.000603271932896984	0.0844213782285878
"All fibroblasts"	5	"RCC2"	1.48743849359886	6.93401623722343	18.8688398720873	0.000619688533223503	0.0844213782285878
"All fibroblasts"	5	"CYB561"	1.63163930926144	6.22561910716134	18.5148910165245	0.000622982540557624	0.0844213782285878
"All fibroblasts"	5	"TSPAN2"	1.56354598439706	6.55672804330367	17.9694692669961	0.000640401176212358	0.0848094921315775
"All fibroblasts"	5	"CD276"	1.53839385137309	7.15302604092808	18.4070317173988	0.000669527235860108	0.0855179565852756
"All fibroblasts"	5	"VWA5A"	1.45318802274462	7.38623296485749	18.7553888036749	0.000675103141054175	0.0855179565852756
"All fibroblasts"	5	"RAB34"	1.48328358680648	6.64359452663691	18.0953483117888	0.000711562114099313	0.0857709251425074
"All fibroblasts"	5	"IL32"	1.25890645413461	8.44200751649409	18.671889449186	0.000714508526320613	0.0857709251425074
"All fibroblasts"	5	"ORAI2"	1.61701334771256	6.349659234253	17.4876813541042	0.000721258852236633	0.0857709251425074
"All fibroblasts"	5	"SELENOP"	-1.26311316434779	10.092240102027	18.4838821407916	0.000743831124435782	0.086686079241746
"All fibroblasts"	5	"FDCSP"	2.4402546653544	6.82933978550933	17.2453183779948	0.00077552084304222	0.0881157170315293
"All fibroblasts"	5	"AGT"	1.71702706873332	8.26800865689899	17.7806120924072	0.000787879701013361	0.0881157170315293
"All fibroblasts"	5	"PROM1"	-1.70998727561967	7.28874921763	17.9614099885335	0.000809757367302038	0.0881157170315293
"All fibroblasts"	5	"NDUFA11"	1.72732613794957	6.28339085700932	16.8379341627394	0.000826660236166542	0.0881157170315293
"All fibroblasts"	5	"CPXM1"	2.47121154113657	6.69652985631278	16.8285259921948	0.000853704551422666	0.0881157170315293
"All fibroblasts"	5	"ARHGAP20"	-1.69812482270104	6.5257173358323	16.9356068164403	0.00085984690291091	0.0881157170315293
"All fibroblasts"	5	"ADAMDEC1"	-1.04608436371332	11.7592644479689	17.7928166366223	0.000869272101558734	0.0881157170315293
"All fibroblasts"	5	"NNMT"	1.65460848033448	8.58756267829806	17.7650420766468	0.000877074238515307	0.0881157170315293
"All fibroblasts"	5	"SFRP1"	-1.43392370303006	8.26732429014908	17.6099620813367	0.000909436984374116	0.0883725608346853
"All fibroblasts"	5	"CXCL12"	-1.33108757774963	9.65176717147565	17.4682185357164	0.000938623839973694	0.0883725608346853
"All fibroblasts"	5	"HGF"	1.59343167638535	7.68666533221823	16.9829732638461	0.00095019765245807	0.0883725608346853
"All fibroblasts"	5	"BMP7"	2.2777050893002	6.87595059215712	16.503580107789	0.000954857378867492	0.0883725608346853
"All fibroblasts"	5	"NME1"	2.00791292698891	6.46346896128474	16.5475667861503	0.000963744939169043	0.0883725608346853
"All fibroblasts"	5	"IL4R"	1.86034178197284	6.82972571746729	16.8606456876876	0.000979565450871626	0.0883725608346853
"All fibroblasts"	5	"MMP11"	-1.78989999322565	6.24383021798227	16.2806435776593	0.00101345865548554	0.0883725608346853
"All fibroblasts"	5	"KIDINS220"	-1.12791156195279	7.40570578342504	17.0893247329987	0.00101386078827594	0.0883725608346853
"All fibroblasts"	5	"ADAMTS7"	1.85105948729205	6.13135977074451	16.2631299701181	0.00101612520609643	0.0883725608346853
"All fibroblasts"	5	"PTGS1"	2.36776623897985	6.87008798477194	15.7139956645296	0.00103538010832729	0.0887229395768107
"All fibroblasts"	5	"PRRX1"	2.1546101838476	7.00664821393654	16.3030066641003	0.00106818652919964	0.0894033004112362
"All fibroblasts"	5	"ZNF704"	-1.97152919480216	6.30687236410615	15.7975224556981	0.00107400566823177	0.0894033004112362
"All fibroblasts"	5	"ALKAL2"	-1.31366194688225	7.85541508034028	16.6320376391514	0.0011335754804856	0.0916577744070827
"All fibroblasts"	5	"CD82"	2.06378303438868	8.02331096166686	16.6005270049507	0.00113849936104567	0.0916577744070827
"All fibroblasts"	5	"FABP1"	-2.04581382617785	8.10974661469441	16.5548356917493	0.00114827827899726	0.0916577744070827
"All fibroblasts"	5	"PDLIM4"	2.08855624900286	6.35140071965611	15.3733651410434	0.00117908667371485	0.0928451087531952
"All fibroblasts"	5	"CPED1"	-1.18640559844966	7.63694336015815	16.3316749803987	0.00122466385769526	0.0937590936207422
"All fibroblasts"	5	"C1QTNF6"	1.87669222541669	6.60987022536195	15.4057841273436	0.00123539851603746	0.0937590936207422
"All fibroblasts"	5	"SEC13"	1.30930967499238	6.87417089121966	16.1213674064579	0.00123896519800878	0.0937590936207422
"All fibroblasts"	5	"IGHA2"	1.43673366712509	7.48744621420043	16.1557833468195	0.00126468898068246	0.0944787524414962
"All fibroblasts"	5	"SRA1"	1.90289244651288	6.04961310221089	14.7896520603548	0.00139074826514649	0.10184390984454
"All fibroblasts"	5	"MAPKAPK2"	1.50297641410383	7.36768336562749	15.6613706438297	0.0014101373568896	0.10184390984454
"All fibroblasts"	5	"SEMA3E"	-1.78134800355949	5.82728182303305	14.555696780092	0.00141571249311958	0.10184390984454
"All fibroblasts"	5	"PHGR1"	-2.03503996919326	8.05103929457898	14.9585995084525	0.00144378534591981	0.102265331069572
"All fibroblasts"	5	"PHLDA2"	1.92731726150097	6.21584897676614	14.9004234846662	0.00145667109640887	0.102265331069572
"All fibroblasts"	5	"CILP"	-1.73825150969975	7.09307664397663	14.8065687406495	0.00152384240487279	0.104220335552339
"All fibroblasts"	5	"RCSD1"	-1.26612341296454	7.50072548084728	15.0964827029882	0.00153407861957895	0.104220335552339
"All fibroblasts"	5	"EFCC1"	1.54434915877129	6.51222579884102	14.9998518405306	0.00153817553758386	0.104220335552339
"All fibroblasts"	5	"SLC12A2"	-1.25360580606066	7.03341803595618	15.0816977139742	0.00158358374280242	0.106063706543789
"All fibroblasts"	5	"IGLC3"	1.62589246093654	6.63452872469582	14.4357474771386	0.00161244309353362	0.106277285100976
"All fibroblasts"	5	"CXCL3"	2.23695708100767	6.8374019768912	14.7344583886283	0.00164140825574677	0.106277285100976
"All fibroblasts"	5	"TGFBR3"	-1.58908417687649	7.55467276327938	14.8611358035114	0.00164937837213134	0.106277285100976
"All fibroblasts"	5	"SLC26A3"	-2.18965312094608	6.56634860817885	14.4128428626442	0.00165972763758175	0.106277285100976
"All fibroblasts"	5	"MAP3K5"	1.23885714636924	6.94929826651308	14.7427559902255	0.00173584110488259	0.107698449004435
"All fibroblasts"	5	"HAPLN3"	2.43050510797399	6.18428557248874	14.1690703055955	0.00175101372090615	0.107698449004435
"All fibroblasts"	5	"SOX6"	-1.12304196448312	7.69594729641102	14.8837714866808	0.00175158565300722	0.107698449004435
"All fibroblasts"	5	"CXCL1"	1.66942916923603	9.38379652975447	14.8917779209854	0.00175585252366936	0.107698449004435
"All fibroblasts"	5	"MTA1"	1.61644430058387	6.28883102809012	14.0776784158521	0.00184356236990838	0.111423499975768
"All fibroblasts"	5	"FZD1"	-1.13221431037039	7.63782847259449	14.5881539148978	0.00185974785134063	0.111423499975768
"All fibroblasts"	5	"RCAN2"	-1.94270014176563	8.07456592145729	14.5642879740817	0.00188616882881177	0.111423499975768
"All fibroblasts"	5	"P3H4"	1.6733578093412	6.07490125526219	14.0693651505528	0.00189307130557766	0.111423499975768
"All fibroblasts"	5	"SLC31A1"	1.21930545529392	6.83747409915852	14.3123568556111	0.00193402729335474	0.11269577038378
"All fibroblasts"	5	"SNRPD1"	1.23826870550672	6.91306547952369	14.283344651736	0.00199006075965588	0.11481271333183
"All fibroblasts"	5	"EMID1"	1.59937949681027	7.22306067896228	14.2081363538657	0.0020398712996842	0.116231393365104
"All fibroblasts"	5	"PDK4"	-1.54025872692348	7.87260586073343	14.0075835000218	0.00208174575062723	0.116231393365104
"All fibroblasts"	5	"SPARCL1"	-1.47238279934962	10.1752186962679	14.2142197519411	0.0020917197929552	0.116231393365104
"All fibroblasts"	5	"FKBP2"	1.5155015330909	6.56904861450102	13.6696059844954	0.00209443904296137	0.116231393365104
"All fibroblasts"	5	"PLAU"	1.89002465371099	9.49847312241364	14.0841189991001	0.00216531760533264	0.119031185719559
"All fibroblasts"	5	"CLCA4"	-2.39941246496593	5.60959615648158	12.6262534975909	0.00229772912139461	0.122564043976475
"All fibroblasts"	5	"ADGRE5"	1.60988302703245	6.13858084526648	13.4525950139178	0.00230629879096473	0.122564043976475
"All fibroblasts"	5	"ABI3BP"	-1.00232101645177	9.00438184389943	13.8427180792067	0.00230969223635694	0.122564043976475
"All fibroblasts"	5	"NRG1"	1.12732360615388	8.21609064569778	13.8166402645137	0.00231371972497208	0.122564043976475
"All fibroblasts"	5	"NTN4"	-1.6097435525277	5.81972535297525	13.0627518328753	0.00235158932115532	0.123447846615964
"All fibroblasts"	5	"RAI14"	1.30192234198094	7.49805916973781	13.6242902463077	0.00242998146922682	0.125565221543024
"All fibroblasts"	5	"EDIL3"	-0.875742399728157	9.75755965483817	13.636612943823	0.002435021457759	0.125565221543024
"All fibroblasts"	5	"SBNO2"	1.53426422059117	6.63844807761858	13.1359318688125	0.0026347629139195	0.133706210347477
