analysis	n_pairs	gene	logFC	logCPM	F	PValue	FDR
"All mature neutrophils"	12	"TST"	-1.63871281142946	7.32638620342594	18.4985101730013	0.000144592151289027	0.162589058754442
"All mature neutrophils"	12	"CKB"	-2.93246462527468	6.84142532180633	17.2582453386849	0.00032914239288296	0.162589058754442
"All mature neutrophils"	12	"SH3BP5"	1.33228817750828	8.74313277344817	15.6393155854565	0.000350430076245622	0.162589058754442
"All mature neutrophils"	12	"TOB1"	-1.07129315373986	7.77661397969078	15.2962822964069	0.000446533877701437	0.162589058754442
"All mature neutrophils"	12	"SLC26A2"	-2.26295350115604	7.21358957996539	15.042247325564	0.000622134319435366	0.162589058754442
"All mature neutrophils"	12	"CES2"	-1.93731162643276	7.64717421764179	14.211465532118	0.000951886109619279	0.162589058754442
"All mature neutrophils"	12	"ATP5MC3"	-1.21977624053667	8.18844577266328	12.8258964520498	0.00109237604914407	0.162589058754442
"All mature neutrophils"	12	"MIR3945HG"	1.27993462614185	8.86456172233373	12.2917632521316	0.00123688235099905	0.162589058754442
"All mature neutrophils"	12	"PNPLA8"	1.07100498429767	8.82152647252107	12.1712567736328	0.00137690556968483	0.162589058754442
"All mature neutrophils"	12	"KTN1"	-1.18546912214713	7.48657675339742	11.9776504902739	0.00153226948759454	0.162589058754442
"All mature neutrophils"	12	"TSPAN8"	-1.22409580887926	8.62933434161453	11.7547366464069	0.00165026022343224	0.162589058754442
"All mature neutrophils"	12	"TAGAP"	0.878827559895919	10.4152318898407	11.8796356174497	0.00165206365412739	0.162589058754442
"All mature neutrophils"	12	"PLEK"	0.882517551123068	12.4220578586371	11.7564943180601	0.00172717546589595	0.162589058754442
"All mature neutrophils"	12	"SRI"	-1.1406099660087	7.88352476005787	11.5716813009812	0.00184269805841373	0.162589058754442
"All mature neutrophils"	12	"ITM2C"	-1.6016384704527	8.26013403628218	12.288799214433	0.00189772332250551	0.162589058754442
"All mature neutrophils"	12	"RHOH"	1.16787892728538	9.44970038326594	11.1215786372499	0.00203478287906573	0.162589058754442
"All mature neutrophils"	12	"ARFIP1"	-1.20728793009545	7.08928471227396	11.1854603708471	0.00203761466690776	0.162589058754442
"All mature neutrophils"	12	"PPIA"	-1.04732343075789	9.68820643534856	11.2134682866484	0.00214168327658987	0.162589058754442
"All mature neutrophils"	12	"CD24"	-1.25078614313364	9.38937598316329	11.398470942829	0.00232325762595766	0.162589058754442
"All mature neutrophils"	12	"PDE4B"	0.916756072667115	10.636619763576	10.8082408943531	0.00251613372910911	0.162589058754442
"All mature neutrophils"	12	"SOCS3"	1.24284867901681	10.8243583462137	11.3278842550005	0.00252106084084613	0.162589058754442
"All mature neutrophils"	12	"SBNO2"	0.992969290824604	8.61444540943148	10.5934306213345	0.0025527512540374	0.162589058754442
"All mature neutrophils"	12	"CYCS"	-1.30035763243369	7.34166399980984	10.5322375134565	0.00261481979844452	0.162589058754442
"All mature neutrophils"	12	"LPCAT1"	1.20171136451893	7.6193111376758	10.3200654049354	0.00261938162592274	0.162589058754442
"All mature neutrophils"	12	"ICAM1"	0.978035066964113	10.1592282316117	10.5949419972204	0.00273260401131144	0.162589058754442
"All mature neutrophils"	12	"KLF5"	-1.19807945522018	6.96236452378576	10.3363659138297	0.00283840819954734	0.162589058754442
"All mature neutrophils"	12	"ISG20"	1.26762254122785	8.01405936496969	10.2023068871181	0.00285233852118358	0.162589058754442
"All mature neutrophils"	12	"CXCL1"	0.900593434583699	9.46894781471772	10.4164117984197	0.00292912433710944	0.162589058754442
"All mature neutrophils"	12	"HMGCS2"	-3.03477163553633	6.8375222073376	11.3531328758166	0.00293815653905604	0.162589058754442
"All mature neutrophils"	12	"IL1R2"	0.846518543055138	10.8182699597443	10.3846806358494	0.00297265569663426	0.162589058754442
"All mature neutrophils"	12	"MARCKSL1"	-0.973307988447654	8.17528550239871	10.3044638397697	0.00300328188075668	0.162589058754442
"All mature neutrophils"	12	"ZNF267"	0.985434037745309	9.20962293391958	10.2578854341274	0.00303196379961663	0.162589058754442
"All mature neutrophils"	12	"HCAR3"	1.02064614955049	10.5630329167896	10.1166180010179	0.00333834563015278	0.173593972767945
"All mature neutrophils"	12	"PHGR1"	-1.85625811748146	9.25661118339017	11.5923392136674	0.00346391266877099	0.174825709988559
"All mature neutrophils"	12	"IL1RN"	1.15236367504128	11.8855991937358	10.5534918444812	0.00369151687291949	0.18076752791625
"All mature neutrophils"	12	"IRF1"	0.781365959679036	10.9498085039535	9.79420230097429	0.00379232576048078	0.18076752791625
"All mature neutrophils"	12	"CREM"	1.03767305995429	8.8753765620345	9.52838526484615	0.00404016897961532	0.18656793214635
"All mature neutrophils"	12	"MEFV"	1.23467577163863	7.93631716003758	9.26064636596064	0.00429359748317986	0.18656793214635
"All mature neutrophils"	12	"TPM4"	0.819618705431465	10.2786132248645	9.49313571184852	0.00429746512837634	0.18656793214635
"All mature neutrophils"	12	"BCL3"	0.810346439535874	9.56143783963914	9.40162962896115	0.00444824942971652	0.18656793214635
"All mature neutrophils"	12	"UQCRH"	-1.0616268924123	7.589171321421	9.28892718369864	0.00445762541841512	0.18656793214635
"All mature neutrophils"	12	"IER3"	0.730360746523265	10.6754311937516	9.31152860389562	0.00463387768324721	0.189327002486958
"All mature neutrophils"	12	"LILRB3"	0.76346181003845	10.1615574267714	9.11253810674496	0.00501900899607362	0.192674037386159
"All mature neutrophils"	12	"MT1E"	-1.78487839448336	6.86804820188395	9.12472609561629	0.00511170737960154	0.192674037386159
"All mature neutrophils"	12	"CA2"	-2.08686870444262	6.99742636914573	9.7292743942335	0.0052994083420303	0.192674037386159
"All mature neutrophils"	12	"NPM1"	-0.858699963767916	8.63092040194321	8.89246918756553	0.00540375894096808	0.192674037386159
"All mature neutrophils"	12	"ATP6V1C1"	0.964287078308752	8.11137096841349	8.66223381887969	0.00546481813236233	0.192674037386159
"All mature neutrophils"	12	"CLEC7A"	0.739097695357405	9.88817496368947	8.84504120657306	0.00561250117986892	0.192674037386159
"All mature neutrophils"	12	"COX7C"	-1.11605908963149	8.41786455744573	8.78653033705817	0.00564358917539664	0.192674037386159
"All mature neutrophils"	12	"CCR1"	0.842661921283614	9.63331438089187	8.71342994371982	0.00578406895664979	0.192674037386159
"All mature neutrophils"	12	"TRIM25"	0.885545806353944	9.07592427356934	8.56397356854009	0.00615972383962878	0.192674037386159
"All mature neutrophils"	12	"TREM1"	0.778825327177894	10.5711698774739	8.63725269763973	0.0061622871712602	0.192674037386159
"All mature neutrophils"	12	"COX6C"	-1.2814990247578	8.13450923014767	8.86193480409701	0.00628537085093669	0.192674037386159
"All mature neutrophils"	12	"ETS2"	0.775043692657269	9.72820905203829	8.54227399261603	0.00633172803713756	0.192674037386159
"All mature neutrophils"	12	"PFKFB3"	0.803509581416714	10.1353641325443	8.51018407117881	0.00645266021720506	0.192674037386159
"All mature neutrophils"	12	"HCAR2"	0.886784274123776	9.85473145398095	8.44736727190177	0.00662775769908719	0.192674037386159
"All mature neutrophils"	12	"LAPTM5"	0.704442757244567	10.4915131894663	8.4587512911689	0.0066546246498744	0.192674037386159
"All mature neutrophils"	12	"HES1"	-1.15852272284066	7.17044685708846	8.26389449133391	0.00675636225133386	0.192674037386159
"All mature neutrophils"	12	"MID1IP1"	-0.893330768235605	8.00760557444028	8.37710808030468	0.00678415649398077	0.192674037386159
"All mature neutrophils"	12	"HMGN1"	-0.92891329964645	7.56521568187246	8.31221554211238	0.00684460539744266	0.192674037386159
"All mature neutrophils"	12	"MCEMP1"	0.825565248797714	8.91551614218289	8.18642475400939	0.00692831525062328	0.192674037386159
"All mature neutrophils"	12	"PLAU"	1.10998239225222	8.7578674157181	8.18318575480536	0.0072888503847741	0.192674037386159
"All mature neutrophils"	12	"GK"	0.839946013822282	9.85147320286627	8.18053576115411	0.00733915748985585	0.192674037386159
"All mature neutrophils"	12	"SERPINB1"	0.604315308333973	10.6719757545259	8.22003136909259	0.00737870505580221	0.192674037386159
"All mature neutrophils"	12	"SAT1"	0.669404578737651	12.4192002824017	8.21254346617961	0.00739278859141791	0.192674037386159
"All mature neutrophils"	12	"ALPL"	0.84504721481193	9.96478162224516	8.19138328467797	0.00741053989946764	0.192674037386159
"All mature neutrophils"	12	"KRT8"	-1.16909633848374	8.17021367076042	8.03637154515657	0.00790631176871144	0.198170677796543
"All mature neutrophils"	12	"DNAJB9"	1.18026302716907	7.87125864607632	7.85130831474499	0.00793447703112105	0.198170677796543
"All mature neutrophils"	12	"MAFF"	0.725209407011111	9.2652722323678	8.02569065319656	0.00798039056475702	0.198170677796543
"All mature neutrophils"	12	"IFI27"	-1.26316673867874	7.70641127451835	8.02474380621732	0.00808388545790094	0.198170677796543
"All mature neutrophils"	12	"FABP1"	-1.83172589787509	9.49547631599975	9.01316149487574	0.0085170835536515	0.205849512367127
