fibroblast_predictor	neutrophil_outcome	n_biopsies	rho	p_value	FDR
"Alpha5Beta1_adhesion"	"Survival_immaturity"	17	0.963235294117647	5.74099505504128e-10	7.46329357155366e-08
"Alpha5Beta1_adhesion"	"Retention_aging"	17	0.901960784313726	7.50399890111985e-07	3.25173285715193e-05
"ECM_remodeling"	"Survival_immaturity"	17	0.901960784313726	7.50399890111985e-07	3.25173285715193e-05
"TGFb_response"	"Retention_aging"	17	0.892156862745098	1.48935156613796e-06	4.84039258994836e-05
"Alpha5Beta1_adhesion"	"Oxidative_burst"	17	0.855392156862745	1.20293791672691e-05	0.000293451427873133
"Alpha5Beta1_adhesion"	"Tissue_injury"	17	0.852941176470588	1.35439120556831e-05	0.000293451427873133
"Alpha5Beta1_adhesion"	"Recruitment_migration"	17	0.830882352941177	3.6110599461333e-05	0.00064875054658462
"TGFb_response"	"Survival_immaturity"	17	0.82843137254902	3.99231105590535e-05	0.00064875054658462
"ECM_remodeling"	"Retention_aging"	17	0.823529411764706	4.85755334493471e-05	0.000701646594268346
"FAP_inflammatory"	"Survival_immaturity"	17	0.813725490196079	7.06893364404459e-05	0.000918961373725796
"Neutrophil_recruitment"	"Survival_immaturity"	17	0.754901960784314	0.000460298412542638	0.00543989033004936
"FAP_inflammatory"	"Retention_aging"	17	0.747549019607843	0.000561238152431941	0.00608007998467936
"OSM_response"	"Retention_aging"	17	0.708333333333334	0.00146104977384656	0.0126624313733369
"ECM_remodeling"	"Tissue_injury"	17	0.708333333333334	0.00146104977384656	0.0126624313733369
"frac_Inflammatory fibroblast"	"Survival_immaturity"	17	0.71078431372549	0.00138239120269041	0.0126624313733369
"Alpha5Beta1_adhesion"	"frac_Neutrophil PADI4"	17	0.691176470588235	0.00212111925819104	0.0170736013704622
"TGFb_response"	"Oxidative_burst"	17	0.688725490196079	0.00223270171767582	0.0170736013704622
"ECM_remodeling"	"Oxidative_burst"	17	0.683823529411765	0.00247028949220901	0.017840979665954
"Neutrophil_recruitment"	"Retention_aging"	17	0.676470588235294	0.00286506386532915	0.0195354747225891
"TGFb_response"	"Recruitment_migration"	17	0.674019607843137	0.003007537803846	0.0195354747225891
"YAP_mechanotransduction"	"Retention_aging"	17	0.671568627450981	0.00315573053211055	0.0195354747225891
"ECM_remodeling"	"Recruitment_migration"	17	0.669117647058824	0.00330981324288434	0.0195579873443166
"OSM_response"	"Survival_immaturity"	17	0.661764705882353	0.00380915992772716	0.02153003437411
"TGFb_response"	"frac_Neutrophil MX1"	17	0.631514527037008	0.00654653478055518	0.0354603967280072
"Alpha5Beta1_adhesion"	"frac_Neutrophil MX1"	17	0.629062043436864	0.00682399651405723	0.0354847818730976
"FAP_inflammatory"	"Tissue_injury"	17	0.620098039215686	0.00791952057076271	0.0374595296060204
"ECM_remodeling"	"frac_Neutrophil MX1"	17	0.616799625436145	0.00835635660441993	0.0374595296060204
"TGFb_response"	"Inflammatory"	17	0.61764705882353	0.00824232891210193	0.0374595296060204
"TGFb_response"	"Tissue_injury"	17	0.620098039215686	0.00791952057076271	0.0374595296060204
"Neutrophil_recruitment"	"Tissue_injury"	17	0.612745098039216	0.00891949507827313	0.0386511453391835
"frac_Inflammatory fibroblast"	"Retention_aging"	17	0.607843137254902	0.00964034773549731	0.0404272646972468
"FAP_inflammatory"	"Oxidative_burst"	17	0.580882352941177	0.0144767180850722	0.056086931402559
"OSM_response"	"Recruitment_migration"	17	0.57843137254902	0.0149969368546501	0.056086931402559
"OSM_response"	"Oxidative_burst"	17	0.575980392156863	0.0155317656191702	0.056086931402559
"OSM_response"	"Tissue_injury"	17	0.575980392156863	0.0155317656191702	0.056086931402559
"YAP_mechanotransduction"	"Recruitment_migration"	17	0.57843137254902	0.0149969368546501	0.056086931402559
"YAP_mechanotransduction"	"Inflammatory"	17	0.536764705882353	0.0263119019523056	0.0924472230756682
"YAP_mechanotransduction"	"frac_Neutrophil CXCR4"	17	0.534313725490196	0.0271397758044596	0.0928466014363093
"OSM_response"	"frac_Neutrophil CXCR4"	17	0.531862745098039	0.027987612204855	0.0932920406828501
"TGFb_response"	"frac_Neutrophil CXCR4"	17	0.526960784313726	0.0297444194091824	0.0966693630798427
"FAP_inflammatory"	"Recruitment_migration"	17	0.522058823529412	0.0315848269163221	0.100147012173704
"Neutrophil_recruitment"	"Oxidative_burst"	17	0.509803921568628	0.0365681455312163	0.103344759109959
"OSM_response"	"Inflammatory"	17	0.514705882352941	0.0345076988320426	0.103344759109959
"YAP_mechanotransduction"	"Survival_immaturity"	17	0.512254901960784	0.0355265241168909	0.103344759109959
"frac_Inflammatory fibroblast"	"Tissue_injury"	17	0.509803921568628	0.0365681455312163	0.103344759109959
"frac_Inflammatory fibroblast"	"frac_Neutrophil CXCR4"	17	0.509803921568628	0.0365681455312163	0.103344759109959
"FAP_inflammatory"	"frac_Neutrophil CXCR4"	17	0.507352941176471	0.0376328810248356	0.104090947515503
"Alpha5Beta1_adhesion"	"Inflammatory"	17	0.49264705882353	0.0445245262088992	0.11812629402361
"Neutrophil_recruitment"	"Recruitment_migration"	17	0.49264705882353	0.0445245262088992	0.11812629402361
"ECM_remodeling"	"frac_Neutrophil PADI4"	17	0.487745098039216	0.0470210969967303	0.122254852191499
"TGFb_response"	"NET_associated"	17	0.480392156862745	0.0509616000523244	0.125000151071739
"YAP_mechanotransduction"	"Oxidative_burst"	17	0.480392156862745	0.0509616000523244	0.125000151071739
"frac_Inflammatory fibroblast"	"Oxidative_burst"	17	0.480392156862745	0.0509616000523244	0.125000151071739
"Alpha5Beta1_adhesion"	"Interferon"	17	0.477941176470588	0.0523285418908112	0.125976119366768
"Alpha5Beta1_adhesion"	"NET_associated"	17	0.470588235294118	0.0565941087969963	0.133767893520173
"YAP_mechanotransduction"	"NET_associated"	17	0.468137254901961	0.0580719248958362	0.134809825651048
"Neutrophil_recruitment"	"Inflammatory"	17	0.465686274509804	0.0595782421081178	0.135880201299216
"FAP_inflammatory"	"Inflammatory"	17	0.46078431372549	0.0626776221113285	0.140484325421943
"Neutrophil_recruitment"	"frac_Neutrophil CXCR4"	17	0.458333333333333	0.0642713028440202	0.141614735080045
"ECM_remodeling"	"Inflammatory"	17	0.45343137254902	0.0675481801337169	0.141633280925535
"ECM_remodeling"	"frac_Neutrophil CXCR4"	17	0.45343137254902	0.0675481801337169	0.141633280925535
"TGFb_response"	"Interferon"	17	0.45343137254902	0.0675481801337169	0.141633280925535
"ECM_remodeling"	"Interferon"	17	0.443627450980392	0.074468490732616	0.153665139606985
"FAP_inflammatory"	"frac_Neutrophil PADI4"	17	0.436274509803922	0.0799888724598653	0.162477397184101
"TGFb_response"	"frac_Neutrophil PADI4"	17	0.428921568627451	0.0858010189515453	0.171602037903091
"YAP_mechanotransduction"	"frac_Neutrophil MX1"	17	0.425505904624935	0.0886023425901233	0.174519765707819
"YAP_mechanotransduction"	"Interferon"	17	0.416666666666667	0.0961571099142059	0.183829768953629
"YAP_mechanotransduction"	"Tissue_injury"	17	0.416666666666667	0.0961571099142059	0.183829768953629
"FAP_inflammatory"	"frac_Neutrophil MX1"	17	0.413243486624217	0.0992032084523717	0.186904595634903
"OSM_response"	"frac_Neutrophil PADI4"	17	0.406862745098039	0.10506394931044	0.195118763005103
"ECM_remodeling"	"Degranulation"	17	0.394607843137255	0.117002321602297	0.214229602933784
"frac_Inflammatory fibroblast"	"frac_Neutrophil PADI4"	17	0.392156862745098	0.119499784613816	0.215763499997168
"frac_Activated crypt-top fibroblast"	"NET_associated"	17	0.375	0.138034843968049	0.245815475559539
"NFkB_AP1"	"frac_Neutrophil CXCR4"	17	0.372549019607843	0.140835721892622	0.247414106027579
"Alpha5Beta1_adhesion"	"Degranulation"	17	0.367647058823529	0.146554291784015	0.254027439092292
"Neutrophil_recruitment"	"frac_Neutrophil MX1"	17	0.351931396620624	0.165953884426242	0.276589807377069
"OSM_response"	"frac_Neutrophil MX1"	17	0.351931396620624	0.165953884426242	0.276589807377069
"frac_Inflammatory fibroblast"	"Recruitment_migration"	17	0.352941176470588	0.164657973316417	0.276589807377069
"YAP_mechanotransduction"	"frac_Neutrophil OSM"	17	0.348039215686275	0.171013148869103	0.281414042442828
"ECM_remodeling"	"NET_associated"	17	0.340686274509804	0.180850799570501	0.293882549302065
"Neutrophil_recruitment"	"frac_Neutrophil PADI4"	17	0.338235294117647	0.184211882852102	0.295648700873743
"Alpha5Beta1_adhesion"	"frac_Neutrophil CXCR4"	17	0.318627450980392	0.212591592370428	0.33297478323079
"frac_Activated crypt-top fibroblast"	"Interferon"	17	0.318627450980392	0.212591592370428	0.33297478323079
"frac_Inflammatory fibroblast"	"Inflammatory"	17	0.316176470588235	0.216326971668755	0.334791741868312
"OSM_response"	"frac_Neutrophil OSM"	17	0.311274509803922	0.223923936072405	0.342471902228383
"frac_Inflammatory fibroblast"	"frac_Neutrophil MX1"	17	0.306560450017965	0.231388817938137	0.349773794557649
"NFkB_AP1"	"frac_Neutrophil PADI4"	17	0.279411764705882	0.277430325791221	0.414551061527112
"NFkB_AP1"	"Oxidative_burst"	17	0.267156862745098	0.299917912095902	0.443060551959856
"OSM_response"	"NET_associated"	17	0.264705882352941	0.30454222000576	0.444836950570212
"YAP_mechanotransduction"	"frac_Neutrophil PADI4"	17	0.252450980392157	0.328294229565018	0.47420277603836
"NFkB_AP1"	"Retention_aging"	17	0.247549019607843	0.338087647858881	0.482982354084116
"NFkB_AP1"	"Tissue_injury"	17	0.230392156862745	0.373664866717299	0.528004702970096
"NFkB_AP1"	"Inflammatory"	17	0.227941176470588	0.378910588269483	0.529659962097127
"FAP_inflammatory"	"Degranulation"	17	0.223039215686275	0.389522878396792	0.538701853101946
"NFkB_AP1"	"Recruitment_migration"	17	0.208333333333333	0.422312981800965	0.571882162855474
"NFkB_AP1"	"Survival_immaturity"	17	0.208333333333333	0.422312981800965	0.571882162855474
"Neutrophil_recruitment"	"Degranulation"	17	0.198529411764706	0.444950543678809	0.584278491699446
"TGFb_response"	"frac_Neutrophil OSM"	17	0.198529411764706	0.444950543678809	0.584278491699446
"frac_Activated crypt-top fibroblast"	"Retention_aging"	17	0.198529411764706	0.444950543678809	0.584278491699446
"frac_Inflammatory fibroblast"	"Degranulation"	17	0.196078431372549	0.450704980881878	0.585916475146441
"Neutrophil_recruitment"	"frac_Neutrophil OSM"	17	0.191176470588235	0.462326120624514	0.595073224566206
"OSM_response"	"Interferon"	17	0.181372549019608	0.486009775519929	0.613410396287288
"NFkB_AP1"	"Interferon"	17	-0.181372549019608	0.486009775519929	0.613410396287288
"frac_Activated crypt-top fibroblast"	"frac_Neutrophil MX1"	17	0.175352577410276	0.500837554856972	0.626046943571215
"FAP_inflammatory"	"frac_Neutrophil OSM"	17	0.17156862745098	0.510266309871794	0.631758288412697
"frac_Activated crypt-top fibroblast"	"Recruitment_migration"	17	0.166666666666667	0.522603153588037	0.640928395909857
"OSM_response"	"Degranulation"	17	0.161764705882353	0.535075506276651	0.650091736597801
"FAP_inflammatory"	"Interferon"	17	0.156862745098039	0.547680584702937	0.653197027627356
"NFkB_AP1"	"NET_associated"	17	0.156862745098039	0.547680584702937	0.653197027627356
"FAP_inflammatory"	"NET_associated"	17	0.151960784313726	0.560415506280904	0.656342484833492
"frac_Activated crypt-top fibroblast"	"frac_Neutrophil CXCR4"	17	0.151960784313726	0.560415506280904	0.656342484833492
"TGFb_response"	"Degranulation"	17	0.147058823529412	0.573277290866	0.66541114118375
"frac_Activated crypt-top fibroblast"	"Survival_immaturity"	17	0.139705882352941	0.592801081886076	0.681983545532653
"frac_Activated crypt-top fibroblast"	"Oxidative_burst"	17	0.137254901960784	0.599369052164824	0.683491024398483
"frac_Activated crypt-top fibroblast"	"frac_Neutrophil OSM"	17	-0.129901960784314	0.619247336652413	0.700018728389685
"Neutrophil_recruitment"	"Interferon"	17	0.120098039215686	0.646142698586307	0.724125438070861
"frac_Activated crypt-top fibroblast"	"frac_Neutrophil PADI4"	17	0.117647058823529	0.652933439953992	0.72548159994888
