program	clinical_variable	n	rho	p_value	FDR
"Alpha5Beta1_adhesion"	"Mayo"	17	0.655654716362957	0.00426912153503931	0.0485368493279402
"Alpha5Beta1_adhesion"	"Endoscopic"	17	0.655654716362957	0.00426912153503931	0.0485368493279402
"Survival_immaturity"	"Mayo"	17	0.664338884791605	0.00362783365703173	0.0485368493279402
"Survival_immaturity"	"Histology"	17	0.707759726934848	0.0014799799664528	0.0485368493279402
"Survival_immaturity"	"Endoscopic"	17	0.664338884791605	0.00362783365703173	0.0485368493279402
"Tissue_injury"	"Histology"	17	0.651312632148633	0.00462255707885144	0.0485368493279402
"frac_Inflammatory fibroblast"	"Mayo"	17	0.659996800577281	0.00393789960179533	0.0485368493279402
"frac_Inflammatory fibroblast"	"Endoscopic"	17	0.659996800577281	0.00393789960179533	0.0485368493279402
"frac_Neutrophil PADI4"	"Mayo"	17	0.659996800577281	0.00393789960179533	0.0485368493279402
"frac_Neutrophil PADI4"	"Endoscopic"	17	0.659996800577281	0.00393789960179533	0.0485368493279402
"Alpha5Beta1_adhesion"	"Histology"	17	0.633944295291336	0.00628065536445089	0.050715663895992
"ECM_remodeling"	"Histology"	17	0.629602211077012	0.0067620885194656	0.050715663895992
"Retention_aging"	"Fecal_calprotectin"	15	0.667056075381083	0.00659820459426688	0.050715663895992
"frac_Neutrophil PADI4"	"Histology"	17	0.63828637950566	0.00582717957831143	0.050715663895992
"FAP_inflammatory"	"Fecal_calprotectin"	15	0.639339063938656	0.0102800797903135	0.0599671321101623
"Neutrophil_recruitment"	"Fecal_calprotectin"	15	0.639339063938656	0.0102800797903135	0.0599671321101623
"ECM_remodeling"	"Mayo"	17	0.60789179000539	0.00963297208208116	0.0599671321101623
"ECM_remodeling"	"Endoscopic"	17	0.60789179000539	0.00963297208208116	0.0599671321101623
"TGFb_response"	"Fecal_calprotectin"	15	0.630100060124514	0.0118101830820631	0.0652668012429803
"Oxidative_burst"	"Mayo"	17	0.586181368933769	0.0134006228601411	0.0670031143007052
"Oxidative_burst"	"Endoscopic"	17	0.586181368933769	0.0134006228601411	0.0670031143007052
"FAP_inflammatory"	"Mayo"	17	0.551444695219176	0.0217540350259711	0.0975072825069374
"FAP_inflammatory"	"Endoscopic"	17	0.551444695219176	0.0217540350259711	0.0975072825069374
"OSM_response"	"Fecal_calprotectin"	15	0.583905041053801	0.0222873788587286	0.0975072825069374
"Tissue_injury"	"Mayo"	17	0.542760526790527	0.0243688908616096	0.0984128284795772
"Tissue_injury"	"Endoscopic"	17	0.542760526790527	0.0243688908616096	0.0984128284795772
"Alpha5Beta1_adhesion"	"Fecal_calprotectin"	15	0.57281823647683	0.0256201884314991	0.0996340661224964
"frac_Inflammatory fibroblast"	"Fecal_calprotectin"	15	0.569122634951174	0.026811075393527	0.100541532725726
"Oxidative_burst"	"Histology"	17	0.521050105718906	0.0319741440824344	0.114435968676097
"Survival_immaturity"	"Fecal_calprotectin"	15	0.552492428085717	0.0326959910503133	0.114435968676097
"Retention_aging"	"Mayo"	17	0.503681768861609	0.039271615928778	0.128859989766303
"Retention_aging"	"Endoscopic"	17	0.503681768861609	0.039271615928778	0.128859989766303
"Recruitment_migration"	"Histology"	17	0.499339684647285	0.0412791580646679	0.131342775660307
"Degranulation"	"Histology"	17	0.490655516218637	0.0455264488668168	0.13657934660045
"frac_Neutrophil CXCR4"	"Fecal_calprotectin"	15	0.522927615880461	0.0454848771149672	0.13657934660045
"Retention_aging"	"Histology"	17	0.481971347789988	0.0500951519373542	0.142161917660059
"frac_Inflammatory fibroblast"	"CRP_num"	16	0.499061418946679	0.0490720164349223	0.142161917660059
"TGFb_response"	"Mayo"	17	0.47328717936134	0.0549993822159816	0.148075259812258
"TGFb_response"	"Endoscopic"	17	0.47328717936134	0.0549993822159816	0.148075259812258
"Neutrophil_recruitment"	"Mayo"	17	0.460260926718367	0.0630154580183308	0.159804259383761
"Neutrophil_recruitment"	"Endoscopic"	17	0.460260926718367	0.0630154580183308	0.159804259383761
"YAP_mechanotransduction"	"Fecal_calprotectin"	15	0.489667202149549	0.0639217037535044	0.159804259383761
"Oxidative_burst"	"Fecal_calprotectin"	15	0.473036995284092	0.0749373152399534	0.182986467446398
"ECM_remodeling"	"Fecal_calprotectin"	15	0.449015585367322	0.0931601446717431	0.217373670900734
"frac_Inflammatory fibroblast"	"Histology"	17	0.421182168789449	0.092242270860519	0.217373670900734
"Recruitment_migration"	"Mayo"	17	0.412498000360801	0.0998756083330343	0.218477893228512
"Recruitment_migration"	"Endoscopic"	17	0.412498000360801	0.0998756083330343	0.218477893228512
"Tissue_injury"	"Fecal_calprotectin"	15	0.445319983841665	0.0962177029432003	0.218477893228512
"TGFb_response"	"Histology"	17	0.386445495074855	0.125464013290539	0.268851457051155
"FAP_inflammatory"	"Histology"	17	0.377761326646207	0.134925633277341	0.283343829882417
"Interferon"	"Fecal_calprotectin"	15	0.38988596095681	0.150826917496047	0.310526006609508
"Recruitment_migration"	"Fecal_calprotectin"	15	0.384342558668325	0.157232422265672	0.317488544959529
"Interferon"	"Histology"	17	0.351708821360262	0.166240449754865	0.329344287250203
"FAP_inflammatory"	"CRP_num"	16	0.341781456611968	0.195089441824298	0.379340581325024
"Neutrophil_recruitment"	"Histology"	17	0.308287979217019	0.228635076419025	0.436485145890865
"Inflammatory"	"Fecal_calprotectin"	15	0.321517332732156	0.24258156927583	0.454840442392182
"frac_Neutrophil PADI4"	"Fecal_calprotectin"	15	0.308582727392357	0.263122833612296	0.48469995665423
"Neutrophil_recruitment"	"CRP_num"	16	0.285826085396734	0.283202280261651	0.512693783232299
"TGFb_response"	"CRP_num"	16	0.276752241415885	0.299429795550237	0.523686092599511
"Inflammatory"	"Mayo"	17	0.264867137073777	0.304236682367335	0.523686092599511
"Inflammatory"	"Endoscopic"	17	0.264867137073777	0.304236682367335	0.523686092599511
"Retention_aging"	"CRP_num"	16	0.264653782774754	0.321903212946086	0.532840973499453
"frac_Neutrophil OSM"	"Fecal_calprotectin"	15	0.277170114424273	0.317251404089454	0.532840973499453
"frac_Neutrophil OSM"	"CRP_num"	16	-0.263141475444612	0.324779260037762	0.532840973499453
"OSM_response"	"Mayo"	17	0.230130463359184	0.374223028574914	0.545741916671749
"OSM_response"	"Endoscopic"	17	0.230130463359184	0.374223028574914	0.545741916671749
"Degranulation"	"Mayo"	17	0.230130463359184	0.374223028574914	0.545741916671749
"Degranulation"	"Endoscopic"	17	0.230130463359184	0.374223028574914	0.545741916671749
"Oxidative_burst"	"CRP_num"	16	0.252555324133622	0.345324515670214	0.545741916671749
"Survival_immaturity"	"CRP_num"	16	0.238944558162349	0.372790806570921	0.545741916671749
"frac_Neutrophil OSM"	"Histology"	17	-0.238814631787832	0.355948398269103	0.545741916671749
"frac_Neutrophil CXCR4"	"CRP_num"	16	0.246506094813056	0.357386860361195	0.545741916671749
"Alpha5Beta1_adhesion"	"CRP_num"	16	0.225333792191076	0.401417639505243	0.577381536274665
"ECM_remodeling"	"CRP_num"	16	0.199624567578671	0.458550125360595	0.622762864414169
"NFkB_AP1"	"Histology"	17	-0.191051705430266	0.46262384213624	0.622762864414169
"frac_Neutrophil PADI4"	"CRP_num"	16	0.207186104229379	0.441341188930337	0.622762864414169
"frac_Neutrophil CXCR4"	"Mayo"	17	0.19539378964459	0.452319103523436	0.622762864414169
"frac_Neutrophil CXCR4"	"Endoscopic"	17	0.19539378964459	0.452319103523436	0.622762864414169
"Tissue_injury"	"CRP_num"	16	0.193575338258106	0.472553589620707	0.62807755582499
"NET_associated"	"Mayo"	17	0.178025452787293	0.494227625277711	0.638838496872482
"NET_associated"	"Endoscopic"	17	0.178025452787293	0.494227625277711	0.638838496872482
"frac_Neutrophil OSM"	"Mayo"	17	-0.173683368572969	0.504986621337295	0.638838496872482
"frac_Neutrophil OSM"	"Endoscopic"	17	-0.173683368572969	0.504986621337295	0.638838496872482
"NFkB_AP1"	"Fecal_calprotectin"	15	0.166302068654564	0.553611252699809	0.675920715505581
"Interferon"	"Mayo"	17	0.156315031715672	0.54909711299806	0.675920715505581
"Interferon"	"Endoscopic"	17	0.156315031715672	0.54909711299806	0.675920715505581
"OSM_response"	"CRP_num"	16	0.146693811023721	0.587732542903516	0.709332379366312
"YAP_mechanotransduction"	"CRP_num"	16	-0.122496893741457	0.651305318091013	0.777125663631323
"Degranulation"	"Fecal_calprotectin"	15	0.118259248821023	0.674661062143529	0.795948444101916
"OSM_response"	"Histology"	17	0.099867936929457	0.702937899180184	0.820094215710214
"NET_associated"	"Fecal_calprotectin"	15	0.101629041955567	0.718551234681351	0.829097578478482
"Inflammatory"	"Histology"	17	0.0911837685008086	0.727802818618207	0.83064452124904
"NET_associated"	"CRP_num"	16	-0.0892261324783456	0.742450936698166	0.838251057562446
"Degranulation"	"CRP_num"	16	-0.0801522884974968	0.767935276557272	0.848770568826458
"Interferon"	"CRP_num"	16	-0.0816645958276383	0.763671631132818	0.848770568826458
"frac_Neutrophil CXCR4"	"Histology"	17	0.0651312632148633	0.80386268765792	0.87922481462585
"NET_associated"	"Histology"	17	0.0477629263575664	0.855555884790638	0.926117194876464
"YAP_mechanotransduction"	"Histology"	17	0.0347366737145937	0.894705332206502	0.948929897794775
"Inflammatory"	"CRP_num"	16	-0.0378076832535363	0.889440834966131	0.948929897794775
"NFkB_AP1"	"CRP_num"	16	0.0241969172822632	0.929122724759954	0.975578860997952
