ligand	receptor	ligand_pct	ligand_avg	receptor_pct	receptor_avg	direction	expression_score	supported
"CXCL1"	"CXCR2"	0.435504885993485	1.28365364108249	0.431348232820209	1.44059004031818	"Fibroblast -> Neutrophil"	0.589392574307797	TRUE
"CSF3"	"CSF3R"	0.152442996742671	0.389290361166383	0.827676380988327	3.04240592881632	"Fibroblast -> Neutrophil"	0.386571136908487	TRUE
"CXCL5"	"CXCR2"	0.187947882736156	0.548388763275976	0.431348232820209	1.44059004031818	"Fibroblast -> Neutrophil"	0.253073812696485	TRUE
"CXCL8"	"CXCR1"	0.240065146579805	0.656090381868084	0.324050359906182	1.0192224165689	"Fibroblast -> Neutrophil"	0.228079960597675	TRUE
"CXCL3"	"CXCR2"	0.179153094462541	0.414904845113847	0.431348232820209	1.44059004031818	"Fibroblast -> Neutrophil"	0.214916928763765	TRUE
"CXCL6"	"CXCR1"	0.209446254071661	0.521315049993327	0.324050359906182	1.0192224165689	"Fibroblast -> Neutrophil"	0.189900963260003	TRUE
"CXCL2"	"CXCR2"	0.147557003257329	0.33005886131323	0.431348232820209	1.44059004031818	"Fibroblast -> Neutrophil"	0.173964177191051	TRUE
"FN1"	"ITGA5"	0.435504885993485	1.11838857403926	0.0633273124309169	0.190513099610462	"Fibroblast -> Neutrophil"	0.0766568248610921	TRUE
"COL1A1"	"ITGB1"	0.937785016286645	3.40664061449054	0.0235893564823552	0.0724221859312843	"Fibroblast -> Neutrophil"	0.0738769004220047	FALSE
"IL6"	"IL6R"	0.0833876221498371	0.177409704851356	0.264092955544173	0.817921521265915	"Fibroblast -> Neutrophil"	0.0565293130429589	TRUE
"ICAM1"	"ITGAL"	0.262866449511401	0.572924686575427	0.0639473755155959	0.189146904685777	"Fibroblast -> Neutrophil"	0.0426802868326489	TRUE
"VEGFA"	"FLT1"	0.366449511400651	0.807609662635917	0.0432696196047772	0.134282944637381	"Fibroblast -> Neutrophil"	0.0414676852405146	FALSE
"IL1B"	"IL1R1"	0.0739413680781759	0.150755269864364	0.0913649475642304	0.277574186747781	"Fibroblast -> Neutrophil"	0.0168135467112577	TRUE
"TGFB1"	"TGFBR2"	0.0986970684039088	0.158688244339644	0.0376620925781145	0.109851257466591	"Fibroblast -> Neutrophil"	0.00804969163342776	FALSE
"SPP1"	"CD44"	0.00456026058631922	0.00844724173426098	0.504920065780606	1.68348154279937	"Fibroblast -> Neutrophil"	0.00572226262583904	FALSE
"VCAM1"	"ITGA4"	0.261237785016287	0.578431365293235	0.00301943762974146	0.00943384801880775	"Fibroblast -> Neutrophil"	0.00207468125418308	FALSE
"AREG"	"EGFR"	0.166775244299674	0.392977556201276	0.0017523521958321	0.00555863631615539	"Fibroblast -> Neutrophil"	0.000798995798019934	FALSE
"TNF"	"TNFRSF1A"	0.00162866449511401	0.00243223922275029	0.188337422155124	0.567971790581767	"Fibroblast -> Neutrophil"	0.000650954527975873	FALSE
"CCL2"	"CCR2"	0.453094462540717	1.34518777278152	0.000431348232820209	0.00137406722467874	"Fibroblast -> Neutrophil"	0.000601040635012771	FALSE
"HBEGF"	"EGFR"	0.0289902280130293	0.0515145213657331	0.0017523521958321	0.00555863631615539	"Fibroblast -> Neutrophil"	0.000120610600263251	FALSE
"CCL7"	"CCR2"	0.0407166123778502	0.0876949856443913	0.000431348232820209	0.00137406722467874	"Fibroblast -> Neutrophil"	4.60035346095278e-05	FALSE
"OSM"	"OSMR"	0.00325732899022801	0.00488978823088496	0.000862696465640417	0.00266280801231443	"Fibroblast -> Neutrophil"	6.04887729450164e-06	FALSE
"IL1B"	"IL1R1"	0.63672391017173	2.42251419181046	0.507817589576547	1.1905882692598	"Neutrophil -> Fibroblast"	0.965702629169084	TRUE
"OSM"	"OSMR"	0.210012670854339	0.672271651279368	0.314983713355049	0.609310661701005	"Neutrophil -> Fibroblast"	0.164610898765212	TRUE
"HBEGF"	"EGFR"	0.139271560671825	0.450161666056673	0.171009771986971	0.296326681258854	"Neutrophil -> Fibroblast"	0.0563652345331105	TRUE
"TGFB1"	"TGFBR2"	0.0570188445259213	0.166066896342241	0.281758957654723	0.527215307174622	"Neutrophil -> Fibroblast"	0.0375045200562954	TRUE
"TNF"	"TNFRSF1A"	0.0499555172134904	0.15475938668694	0.262540716612378	0.469804708761233	"Neutrophil -> Fibroblast"	0.0308799967307322	FALSE
"COL1A1"	"ITGB1"	0.0156363734397326	0.0481621854255494	0.679478827361564	1.84045188656298	"Neutrophil -> Fibroblast"	0.0306881923982867	FALSE
"SPP1"	"CD44"	0.010352357587685	0.0332152741306243	0.392182410423453	0.851886383131227	"Neutrophil -> Fibroblast"	0.0107182392460468	FALSE
"AREG"	"EGFR"	0.0261235273501739	0.0803215276778477	0.171009771986971	0.296326681258854	"Neutrophil -> Fibroblast"	0.0103116397327724	FALSE
"CXCL8"	"CXCR1"	0.795999245140593	3.24517237389451	0.00390879478827362	0.0060672944989535	"Neutrophil -> Fibroblast"	0.00782697931552618	FALSE
"VEGFA"	"FLT1"	0.119267786374788	0.385381598074811	0.0192182410423453	0.0337824130635262	"Neutrophil -> Fibroblast"	0.0054627234887874	FALSE
"ICAM1"	"ITGAL"	0.379882996791848	1.22741681199495	0.00358306188925081	0.00699018513687122	"Neutrophil -> Fibroblast"	0.00341737356353993	FALSE
"CXCL1"	"CXCR2"	0.210902326584531	0.705221887551361	0.00586319218241042	0.00988344310792152	"Neutrophil -> Fibroblast"	0.0029357885673332	FALSE
"FN1"	"ITGA5"	0.00148275955031947	0.0046806573048534	0.390879478827362	0.892467707361039	"Neutrophil -> Fibroblast"	0.00155598884193284	FALSE
"CXCL2"	"CXCR2"	0.0414903081443938	0.137272380543614	0.00586319218241042	0.00988344310792152	"Neutrophil -> Fibroblast"	0.000574494811689072	FALSE
"CXCL3"	"CXCR2"	0.0125090987517861	0.0397659010909158	0.00586319218241042	0.00988344310792152	"Neutrophil -> Fibroblast"	0.000169781209317345	FALSE
"IL6"	"IL6R"	0.0012401261693581	0.0039676680297806	0.0413680781758958	0.0721871232191915	"Neutrophil -> Fibroblast"	0.000121216890809763	FALSE
"CSF3"	"CSF3R"	0.00218370042865231	0.0068889282668766	0.0231270358306189	0.0400578199674934	"Neutrophil -> Fibroblast"	0.000118052721314696	FALSE
"CXCL5"	"CXCR2"	0.00563448629121398	0.0181064039032156	0.00586319218241042	0.00988344310792152	"Neutrophil -> Fibroblast"	7.68890444119072e-05	FALSE
"CXCL6"	"CXCR1"	0.00237241528051115	0.00690625876531205	0.00390879478827362	0.0060672944989535	"Neutrophil -> Fibroblast"	1.97122297663838e-05	FALSE
"CCL2"	"CCR2"	0.00512226026473998	0.0168040151457245	0.00130293159609121	0.00182534069168246	"Neutrophil -> Fibroblast"	1.43077099864392e-05	FALSE
"VCAM1"	"ITGA4"	0.000188714851858841	0.000535535566051776	0.0218241042345277	0.0437791887208543	"Neutrophil -> Fibroblast"	9.82650926099948e-06	FALSE
"CCL7"	"CCR2"	0.000296551910063894	0.000886748241277933	0.00130293159609121	0.00182534069168246	"Neutrophil -> Fibroblast"	7.9083031053933e-07	FALSE
